Record Number,Year,County,District,District Code,Population,Avg. Household Income,Avg. Property Valuation / ADM,Unemployment %,Poverty %,Single-Parent Family %,Student/Offender,Offense/Offender,NCNT in Gang,H.S. Diploma w/o College Degree,Less than 12th Grade,College Degree or Above,Free Reduced Lunch %
3186,2014,ALFALFA,CHEROKEE,02I046,"1,878"," 61,271.14 "," 94,656.39 ", 0.06 , 0.12 , 0.23 ,368.0,3.0,0.0, 0.62 , 0.10 , 0.29 , 0.48 
3187,2014,ALFALFA,TIMBERLAKE,02I093,"2,921"," 51,705.13 "," 137,145.08 ", 0.07 , 0.13 , 0.27 ,274.0,9.0,0.0, 0.68 , 0.17 , 0.15 , 0.55 
3188,2014,ATOKA,HARMONY,03C021,"1,750"," 48,656.09 "," 26,861.84 ", 0.18 , 0.20 , 0.32 ,117.0,1.0,0.0, 0.57 , 0.22 , 0.21 , 0.77 
3189,2014,ATOKA,LANE,03C022,"2,781"," 53,350.00 "," 22,114.46 ", 0.06 , 0.22 , 0.26 ,,0.0,0.0, 0.75 , 0.17 , 0.08 , 0.76 
3190,2014,ATOKA,STRINGTOWN,03I007,747," 56,850.29 "," 26,219.97 ", 0.08 , 0.10 , 0.04 ,233.0,1.0,0.0, 0.55 , 0.18 , 0.27 , 0.70 
3191,2014,ATOKA,ATOKA,03I015,"4,044"," 41,397.54 "," 34,342.69 ", 0.11 , 0.34 , 0.64 ,105.3,1.3,0.0, 0.66 , 0.20 , 0.14 , 0.71 
3192,2014,ATOKA,TUSHKA,03I019,"1,641"," 53,268.37 "," 30,724.90 ", 0.12 , 0.15 , 0.35 ,,0.0,0.0, 0.74 , 0.12 , 0.13 , 0.66 
3193,2014,ATOKA,CANEY,03I026,"1,588"," 49,051.92 "," 37,285.80 ", 0.06 , 0.13 , 0.23 ,128.5,1.0,0.0, 0.75 , 0.11 , 0.15 , 0.68 
3194,2014,BEAVER,BEAVER,04I022,"1,794"," 68,555.47 "," 75,030.01 ", 0.01 , 0.09 , 0.32 ,74.2,1.2,0.0, 0.66 , 0.18 , 0.16 , 0.55 
3195,2014,BEAVER,BALKO,04I075,881," 78,447.21 "," 241,181.83 ", -   , 0.04 , 0.21 ,,0.0,0.0, 0.68 , 0.09 , 0.24 , 0.35 
3196,2014,BEAVER,FORGAN,04I123,853," 64,411.97 "," 205,484.52 ", 0.08 , 0.18 , 0.18 ,,0.0,0.0, 0.64 , 0.17 , 0.19 , 0.47 
3197,2014,BEAVER,TURPIN,04I128,"2,033"," 66,715.94 "," 90,766.86 ", 0.08 , 0.12 , 0.09 ,84.8,11.4,0.0, 0.66 , 0.19 , 0.16 , 0.58 
3198,2014,BECKHAM,MERRITT,05I002,"2,474"," 110,200.92 "," 67,217.64 ", 0.02 , 0.12 , 0.27 ,185.0,1.5,0.0, 0.69 , 0.11 , 0.21 , 0.59 
3199,2014,BECKHAM,ELK CITY,05I006,"12,228"," 64,128.85 "," 45,990.00 ", 0.04 , 0.15 , 0.45 ,119.8,1.7,2.0, 0.66 , 0.17 , 0.17 , 0.51 
3200,2014,BECKHAM,SAYRE,05I031,"6,417"," 59,001.74 "," 111,985.75 ", 0.02 , 0.14 , 0.34 ,71.2,3.9,0.0, 0.63 , 0.23 , 0.14 , 0.53 
3201,2014,BECKHAM,ERICK,05I051,"1,279"," 46,846.01 "," 37,877.22 ", 0.01 , 0.27 , 0.14 ,262.0,3.0,0.0, 0.72 , 0.16 , 0.12 , 0.48 
3202,2014,BLAINE,OKEENE,06I009,"1,599"," 56,228.10 "," 63,014.23 ", 0.02 , 0.05 , 0.20 ,323.0,1.0,0.0, 0.71 , 0.12 , 0.18 , 0.56 
3203,2014,BLAINE,WATONGA,06I042,"4,776"," 54,556.96 "," 46,591.90 ", 0.02 , 0.21 , 0.53 ,56.1,2.6,0.0, 0.66 , 0.21 , 0.14 , 0.75 
3204,2014,BLAINE,GEARY,06I080,"1,909"," 58,544.00 "," 98,215.81 ", 0.07 , 0.24 , 0.46 ,418.0,1.0,0.0, 0.70 , 0.13 , 0.17 , 0.84 
3205,2014,BLAINE,CANTON,06I105,"1,920"," 56,893.05 "," 88,346.82 ", 0.09 , 0.09 , 0.29 ,193.5,4.5,0.0, 0.67 , 0.16 , 0.16 , 0.63 
3206,2014,BRYAN,SILO,07I001,"7,125"," 62,277.21 "," 52,658.66 ", 0.04 , 0.11 , 0.34 ,144.8,1.5,0.0, 0.61 , 0.12 , 0.27 , 0.76 
3207,2014,BRYAN,ROCK CREEK,07I002,"3,301"," 50,740.85 "," 41,683.75 ", 0.03 , 0.14 , 0.08 ,120.5,1.5,0.0, 0.67 , 0.15 , 0.18 , 0.74 
3208,2014,BRYAN,ACHILLE,07I003,"2,663"," 53,922.35 "," 79,151.59 ", 0.09 , 0.11 , 0.24 ,100.7,1.0,0.0, 0.70 , 0.16 , 0.15 , 0.75 
3209,2014,BRYAN,COLBERT,07I004,"5,213"," 46,995.05 "," 21,576.82 ", 0.12 , 0.21 , 0.39 ,149.8,1.2,0.0, 0.65 , 0.21 , 0.14 , 0.76 
