,Year,CountyName,DistrictName,SchoolName,DistrictCode,SchoolCode,IndexScore,LetterGrade
146,2014,WOODS,ALVA,WASHINGTON ES,76I001,76I001115,91.0,A-
147,2015,WOODS,ALVA,WASHINGTON ES,76I001,76I001115,92.0,A-
148,2016,WOODS,ALVA,WASHINGTON ES,76I001,76I001115,93.0,A
149,2013,GRADY,AMBER-POCASSET,AMBER-POCASSET ES,26I128,26I128105,94.0,A
150,2014,GRADY,AMBER-POCASSET,AMBER-POCASSET ES,26I128,26I128105,90.0,A-
151,2015,GRADY,AMBER-POCASSET,AMBER-POCASSET ES,26I128,26I128105,87.0,B+
152,2016,GRADY,AMBER-POCASSET,AMBER-POCASSET ES,26I128,26I128105,94.0,A
153,2013,GRADY,AMBER-POCASSET,AMBER-POCASSET HS,26I128,26I128715,96.0,A
154,2014,GRADY,AMBER-POCASSET,AMBER-POCASSET HS,26I128,26I128715,98.0,A+
155,2015,GRADY,AMBER-POCASSET,AMBER-POCASSET HS,26I128,26I128715,101.0,A+
156,2016,GRADY,AMBER-POCASSET,AMBER-POCASSET HS,26I128,26I128715,98.0,A+
157,2013,GRADY,AMBER-POCASSET,AMBER-POCASSET JHS,26I128,26I128615,88.0,B+
158,2014,GRADY,AMBER-POCASSET,AMBER-POCASSET JHS,26I128,26I128615,90.0,A-
159,2015,GRADY,AMBER-POCASSET,AMBER-POCASSET JHS,26I128,26I128615,86.0,B
160,2016,GRADY,AMBER-POCASSET,AMBER-POCASSET JHS,26I128,26I128615,82.0,B-
161,2013,CADDO,ANADARKO,ANADARKO EAST ES,08I020,08I020105,63.0,D
162,2014,CADDO,ANADARKO,ANADARKO EAST ES,8I020,08I020105,65.0,D
163,2015,CADDO,ANADARKO,ANADARKO EAST ES,08I020,08I020105,68.0,D+
164,2016,CADDO,ANADARKO,ANADARKO EAST ES,08I020,08I020105,62.0,D-
165,2013,CADDO,ANADARKO,ANADARKO HS,08I020,08I020705,78.0,C+
166,2014,CADDO,ANADARKO,ANADARKO HS,8I020,08I020705,82.0,B-
167,2015,CADDO,ANADARKO,ANADARKO HS,08I020,08I020705,82.0,B-
168,2016,CADDO,ANADARKO,ANADARKO HS,08I020,08I020705,78.0,C+
169,2013,CADDO,ANADARKO,ANADARKO MS,08I020,08I020510,63.0,D
170,2014,CADDO,ANADARKO,ANADARKO MS,8I020,08I020510,75.0,C
171,2015,CADDO,ANADARKO,ANADARKO MS,08I020,08I020510,72.0,C-
172,2016,CADDO,ANADARKO,ANADARKO MS,08I020,08I020510,76.0,C
173,2013,CADDO,ANADARKO,MISSION ES,08I020,08I020120,59.0,F
174,2014,CADDO,ANADARKO,MISSION ES,8I020,08I020120,65.0,D
175,2015,CADDO,ANADARKO,MISSION ES,08I020,08I020120,68.0,D+
176,2016,CADDO,ANADARKO,MISSION ES,08I020,08I020120,62.0,D-
177,2013,CADDO,ANADARKO,SUNSET ES,08I020,08I020115,63.0,D
178,2014,CADDO,ANADARKO,SUNSET ES,8I020,08I020115,65.0,D
179,2015,CADDO,ANADARKO,SUNSET ES,08I020,08I020115,68.0,D+
180,2016,CADDO,ANADARKO,SUNSET ES,08I020,08I020115,62.0,D-
181,2013,OSAGE,ANDERSON,ANDERSON PUBLIC SCHOOL,57C052,57C052105,83.0,B
182,2014,OSAGE,ANDERSON,ANDERSON PUBLIC SCHOOL,57C052,57C052105,73.0,C
183,2015,OSAGE,ANDERSON,ANDERSON PUBLIC SCHOOL,57C052,57C052105,81.0,B-
184,2016,OSAGE,ANDERSON,ANDERSON PUBLIC SCHOOL,57C052,57C052105,72.0,C-
185,2013,PUSHMATAHA,ANTLERS,ANTLERS HS,64I013,64I013705,89.0,B+
186,2014,PUSHMATAHA,ANTLERS,ANTLERS HS,64I013,64I013705,85.0,B
187,2015,PUSHMATAHA,ANTLERS,ANTLERS HS,64I013,64I013705,74.0,C
188,2016,PUSHMATAHA,ANTLERS,ANTLERS HS,64I013,64I013705,77.0,C+
189,2013,PUSHMATAHA,ANTLERS,BRANTLY ES,64I013,64I013105,78.0,C+
