RecordNumber,Year,CountyCode,DistrictCode,SiteCode,SchoolCode,DistrictName,SchoolName,ELA_ExamCount,ELA_GrowthIndex,ELA_LetterGrade,Math_ExamCount,Math_GrowthIndex,Math_LetterGrade,OverallExamCount,OverallGrowthIndex,OverallLetterGrade
3933,2016,16,I008,220,16I008220,LAWTON,"WOODLAND HILLS ES",32,63,"D    ",32,66,"D    ",64,64,"D    "
2499,2014,40,I016,105,40I016105,"Le Flore","Leflore ES",19,26,"F    ",19,53,"F    ",38,39,"F    "
708,2015,40,I016,105,40I016105,"LE FLORE","LEFLORE ES",19,32,"F    ",19,63,"D    ",38,47,"F    "
4294,2016,40,I016,105,40I016105,"LE FLORE","LEFLORE ES",17,53,"F    ",17,59,"F    ",34,56,"F    "
2500,2014,40,I016,705,40I016705,"Le Flore","Leflore HS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL"
709,2015,40,I016,705,40I016705,"LE FLORE","LEFLORE HS",,,,,,,,,""
4295,2016,40,I016,705,40I016705,"LE FLORE","LEFLORE HS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL"
2231,2014,21,C014,105,21C014105,Leach,"Leach Public School",14,29,"F    ",14,79,"C    ",28,54,"F    "
440,2015,21,C014,105,21C014105,LEACH,"LEACH PUBLIC SCHOOL",19,58,"F    ",19,58,"F    ",38,58,"F    "
4023,2016,21,C014,105,21C014105,LEACH,"LEACH PUBLIC SCHOOL",16,38,"F    ",16,44,"F    ",32,41,"F    "
3187,2014,65,I003,105,65I003105,Leedey,"Leedey ES",13,54,"F    ",12,58,"F    ",25,56,"F    "
1394,2015,65,I003,105,65I003105,LEEDEY,"LEEDEY ES",18,50,"F    ",18,11,"F    ",36,31,"F    "
4980,2016,65,I003,105,65I003105,LEEDEY,"LEEDEY ES",18,50,"F    ",18,33,"F    ",36,42,"F    "
3188,2014,65,I003,705,65I003705,Leedey,"Leedey HS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL"
1395,2015,65,I003,705,65I003705,LEEDEY,"LEEDEY HS",,,,,,,,,""
4981,2016,65,I003,705,65I003705,LEEDEY,"LEEDEY HS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL"
2090,2014,14,I057,105,14I057105,Lexington,"Lexington ES",18,33,"F    ",18,28,"F    ",36,31,"F    "
300,2015,14,I057,105,14I057105,LEXINGTON,"LEXINGTON ES",15,20,"F    ",15,33,"F    ",30,27,"F    "
3888,2016,14,I057,105,14I057105,LEXINGTON,"LEXINGTON ES",21,48,"F    ",22,64,"D    ",43,56,"F    "
2093,2014,14,I057,705,14I057705,Lexington,"Lexington HS",NULL,NULL,"B    ",NULL,NULL,NULL,18,83,"B    "
303,2015,14,I057,705,14I057705,LEXINGTON,"LEXINGTON HS",14,57,"F    ",17,65,"D    ",31,61,"D    "
3891,2016,14,I057,705,14I057705,LEXINGTON,"LEXINGTON HS",19,53,"F    ",15,53,"F    ",34,53,"F    "
2091,2014,14,I057,110,14I057110,Lexington,"Lexington Intermediate School",39,44,"F    ",40,53,"F    ",79,48,"F    "
301,2015,14,I057,110,14I057110,LEXINGTON,"LEXINGTON INTERMEDIATE SCHOOL",39,51,"F    ",39,56,"F    ",78,54,"F    "
3889,2016,14,I057,110,14I057110,LEXINGTON,"LEXINGTON INTERMEDIATE SCHOOL",30,53,"F    ",30,40,"F    ",60,47,"F    "
2092,2014,14,I057,605,14I057605,Lexington,"Lexington JHS",31,48,"F    ",43,51,"F    ",74,50,"F    "
302,2015,14,I057,510,14I057510,LEXINGTON,"LEXINGTON MS",40,40,"F    ",40,50,"F    ",80,45,"F    "
3890,2016,14,I057,510,14I057510,LEXINGTON,"LEXINGTON MS",40,53,"F    ",40,73,"C    ",80,63,"D    "
3519,2014,72,I014,105,72I014105,Liberty,"Liberty ES",37,46,"F    ",38,29,"F    ",75,37,"F    "
1726,2015,72,I014,105,72I014105,LIBERTY,"LIBERTY ES",48,52,"F    ",48,42,"F    ",96,47,"F    "
5318,2016,72,I014,105,72I014105,LIBERTY,"LIBERTY ES",44,43,"F    ",44,50,"F    ",88,47,"F    "
3520,2014,72,I014,705,72I014705,Liberty,"Liberty HS",NULL,NULL,"B    ",NULL,NULL,NULL,19,84,"B    "
1727,2015,72,I014,705,72I014705,LIBERTY,"LIBERTY HS",,,,,,,15,87,"B    "
5319,2016,72,I014,705,72I014705,LIBERTY,"LIBERTY HS",NULL,NULL,NULL,NULL,NULL,"F    ",18,39,"F    "
3253,2014,68,C001,105,68C001105,Liberty,"Liberty Public School",26,65,"D    ",28,71,"C    ",54,69,"D    "
