Record Number,Year,County,District,District Code,Population,Avg. Household Income,Avg. Property Valuation / ADM,Unemployment %,Poverty %,Single-Parent Family %,Student/Offender,Offense/Offender,NCNT in Gang,H.S. Diploma w/o College Degree,Less than 12th Grade,College Degree or Above,Free Reduced Lunch %
4292,2016,CHOCTAW,BOSWELL,12I001,1705,36950.33289,19855.8237,0.091891892,0.265413975,0.424242424,62.66666667,2.333333333,0,0.113636364,0.683501684,0.202861953,0.7606
4293,2016,CHOCTAW,FORT TOWSON,12I002,2137,45733.1677,38223.6994,0.102564103,0.259259259,0.345794393,56.71428571,2.285714286,0,0.141456583,0.705882353,0.152661064,0.8363
4294,2016,CHOCTAW,SOPER,12I004,1523,48372.83333,12449.9069,0.058208955,0.171372292,0.233082707,197.5,2,0,0.141284404,0.714678899,0.144036697,0.6481
4295,2016,CHOCTAW,HUGO,12I039,7804,43121.87289,29351.8957,0.102069449,0.345189657,0.590540541,53.09090909,2.045454545,0,0.136434715,0.654417514,0.209147772,0.9118
4296,2016,CIMARRON,BOISE CITY,13I002,1587,62630.97983,135479.8809,0.025380711,0.207717042,0.411392405,41.85714286,2.285714286,0,0.175531915,0.659574468,0.164893617,0.7372
4297,2016,CIMARRON,FELT,13I010,336,69534.53237,57964.5085,0.017647059,0.139880952,0.2,,0,0,0.310185185,0.592592593,0.097222222,0.5269
4298,2016,CIMARRON,KEYES,13I011,377,50941.04046,170144.3417,0.010989011,0.116710875,0,,0,0,0.163194444,0.680555556,0.15625,0.6386
4299,2016,CLEVELAND,ROBIN HILL,14C016,761,87270.77465,24818.4002,0.052486188,0.052770449,0.064935065,,0,0,0.214539007,0.679078014,0.106382979,0.3953
4300,2016,CLEVELAND,MOORE,14I002,132645,74645.4849,45730.8031,0.043347128,0.083676696,0.292599178,225.3773585,1.773584906,2,0.261639003,0.654571743,0.083789255,0.4463
4301,2016,CLEVELAND,NORMAN,14I029,114645,71495.25111,60163.6488,0.049202651,0.178913559,0.324831402,198.6582278,4.860759494,5,0.424241512,0.505774298,0.06998419,0.4883
4302,2016,CLEVELAND,NOBLE,14I040,15892,61827.71148,25888.763,0.071538265,0.138488754,0.41875,136.0952381,1.761904762,0,0.164801235,0.709668082,0.125530683,0.662
4303,2016,CLEVELAND,LEXINGTON,14I057,7953,57687.54503,18142.4856,0.084200996,0.131863882,0.21799308,160.7142857,2.428571429,0,0.076316241,0.691819585,0.231864174,0.6444
4304,2016,CLEVELAND,LITTLE AXE,14I070,5727,59387.52546,17886.4308,0.075618375,0.115094008,0.233455882,213.3333333,2.666666667,1,0.127885863,0.684046693,0.188067445,0.7063
4305,2016,COAL,COTTONWOOD,15C004,468,66733.16327,24545.2224,0.109649123,0.16025641,0.090909091,,0,0,0.127218935,0.74260355,0.130177515,0.6348
