Year,CountyName,DistrictName,SchoolName,DistrictCode,SchoolCode,IndexScore,LetteGrade
2013,Custer,Arapaho-Butler,"Arapaho-Butler HS",20I005,20I005715,104,A+
2014,Custer,Arapaho-Butler,"Arapaho-Butler HS",20I005,20I005715,91,A-
2015,CUSTER,ARAPAHO-BUTLER,"ARAPAHO-BUTLER HS",20I005,20I005715,92,A-
2016,CUSTER,ARAPAHO-BUTLER,"ARAPAHO-BUTLER HS",20I005,20I005715,92,A-
2013,Carter,Ardmore,"Ardmore HS",10I019,10I019705,79,C+
2014,Carter,Ardmore,"Ardmore HS",10I019,10I019705,70,C-
2015,CARTER,ARDMORE,"ARDMORE HS",10I019,10I019705,68,D+
2016,CARTER,ARDMORE,"ARDMORE HS",10I019,10I019705,63,D
2013,Carter,Ardmore,"Ardmore MS",10I019,10I019505,68,D+
2014,Carter,Ardmore,"Ardmore MS",10I019,10I019505,67,D+
2015,CARTER,ARDMORE,"ARDMORE MS",10I019,10I019505,63,D
2016,CARTER,ARDMORE,"ARDMORE MS",10I019,10I019505,62,D-
2013,Carter,Ardmore,"Charles Evans ES",10I019,10I019110,61,D-
2014,Carter,Ardmore,"Charles Evans ES",10I019,10I019110,59,F
2015,CARTER,ARDMORE,"CHARLES EVANS ES",10I019,10I019110,63,D
2016,CARTER,ARDMORE,"CHARLES EVANS ES",10I019,10I019110,70,C-
2013,Carter,Ardmore,"Jefferson ES",10I019,10I019120,78,C+
2014,Carter,Ardmore,"Jefferson ES",10I019,10I019120,76,C
2015,CARTER,ARDMORE,"JEFFERSON ES",10I019,10I019120,75,C
2016,CARTER,ARDMORE,"JEFFERSON ES",10I019,10I019120,69,D+
2013,Carter,Ardmore,"Lincoln ES",10I019,10I019125,83,B
2014,Carter,Ardmore,"Lincoln ES",10I019,10I019125,71,C-
2015,CARTER,ARDMORE,"LINCOLN ES",10I019,10I019125,79,C+
2016,CARTER,ARDMORE,"LINCOLN ES",10I019,10I019125,78,C+
2013,Carter,Ardmore,"Will Rogers ES",10I019,10I019135,0,N/
2014,Carter,Ardmore,"Will Rogers ES",10I019,10I019135,NULL,NULL
2015,CARTER,ARDMORE,"WILL ROGERS ES",10I019,10I019135,NULL,N/
2016,CARTER,ARDMORE,"WILL ROGERS ES",10I019,10I019135,N/A,N/
2013,"Le Flore",Arkoma,"Arkoma HS",40I091,40I091715,82,B-
2014,"Le Flore",Arkoma,"Arkoma HS",40I091,40I091715,70,C-
2015,"LE FLORE",ARKOMA,"ARKOMA HS",40I091,40I091715,85,B
2016,"LE FLORE",ARKOMA,"ARKOMA HS",40I091,40I091715,80,B-
2015,"LE FLORE",ARKOMA,"ARKOMA JHS",40I091,40I091605,74,C
2016,"LE FLORE",ARKOMA,"ARKOMA JHS",40I091,40I091605,77,C+
2013,"Le Flore",Arkoma,"Singleton ES",40I091,40I091105,68,D+
2014,"Le Flore",Arkoma,"Singleton ES",40I091,40I091105,75,C
2015,"LE FLORE",ARKOMA,"SINGLETON ES",40I091,40I091205,76,C
2016,"LE FLORE",ARKOMA,"SINGLETON ES",40I091,40I091205,72,C-
2013,Ellis,Arnett,"Arnett ES",23I003,23I003105,81,B-
2014,Ellis,Arnett,"Arnett ES",23I003,23I003105,79,C+
2015,ELLIS,ARNETT,"ARNETT ES",23I003,23I003105,66,D
2016,ELLIS,ARNETT,"ARNETT ES",23I003,23I003105,73,C
2013,Ellis,Arnett,"Arnett HS",23I003,23I003705,93,A
2014,Ellis,Arnett,"Arnett HS",23I003,23I003705,98,A+
2015,ELLIS,ARNETT,"ARNETT HS",23I003,23I003705,93,A
2016,ELLIS,ARNETT,"ARNETT HS",23I003,23I003705,93,A
2013,Pottawatomie,Asher,"Asher ES",63I112,63I112105,75,C
2014,Pottawatomie,Asher,"Asher ES",63I112,63I112105,73,C
2015,POTTAWATOMIE,ASHER,"ASHER ES",63I112,63I112105,69,D+
2016,POTTAWATOMIE,ASHER,"ASHER ES",63I112,63I112105,77,C+
2013,Pottawatomie,Asher,"Asher HS",63I112,63I112705,83,B
2014,Pottawatomie,Asher,"Asher HS",63I112,63I112705,87,B+
2015,POTTAWATOMIE,ASHER,"ASHER HS",63I112,63I112705,80,B-
2016,POTTAWATOMIE,ASHER,"ASHER HS",63I112,63I112705,81,B-
2015,OKLAHOMA,"ASTEC CHARTERS","ASTEC CHARTER HS",55E004,55E004972,96,A
2016,OKLAHOMA,"ASTEC CHARTERS","ASTEC CHARTER HS",55E004,55E004972,85,B
2015,OKLAHOMA,"ASTEC CHARTERS","ASTEC CHARTER MS",55E004,55E004971,70,C-
2016,OKLAHOMA,"ASTEC CHARTERS","ASTEC CHARTER MS",55E004,55E004971,66,D
2013,Atoka,Atoka,"Atoka ES",03I015,03I015120,69,D+
2014,Atoka,Atoka,"Atoka ES",3I015,03I015120,76,C
2015,ATOKA,ATOKA,"ATOKA ES",03I015,03I015120,79,C+
2016,ATOKA,ATOKA,"ATOKA ES",03I015,03I015120,80,B-
2013,Atoka,Atoka,"Atoka HS",03I015,03I015705,71,C-
2014,Atoka,Atoka,"Atoka HS",3I015,03I015705,82,B-
2015,ATOKA,ATOKA,"ATOKA HS",03I015,03I015705,72,C-
2016,ATOKA,ATOKA,"ATOKA HS",03I015,03I015705,68,D+
2013,Atoka,Atoka,"McCall MS",03I015,03I015505,63,D
2014,Atoka,Atoka,"McCall MS",3I015,03I015505,55,F
2015,ATOKA,ATOKA,"MCCALL MS",03I015,03I015505,68,D+
2016,ATOKA,ATOKA,"MCCALL MS",03I015,03I015505,74,C
2013,Osage,Avant,"Avant Public School",57C035,57C035105,69,D+
2014,Osage,Avant,"Avant Public School",57C035,57C035105,46,F
2015,OSAGE,AVANT,"AVANT PUBLIC SCHOOL",57C035,57C035105,49,F
2016,OSAGE,AVANT,"AVANT PUBLIC SCHOOL",57C035,57C035105,67,D+
2013,Beaver,Balko,"Balko ES",04I075,04I075105,73,C
2014,Beaver,Balko,"Balko ES",4I075,04I075105,71,C-
2015,BEAVER,BALKO,"BALKO ES",04I075,04I075105,84,B
2016,BEAVER,BALKO,"BALKO ES",04I075,04I075105,84,B
2013,Beaver,Balko,"Balko HS",04I075,04I075705,101,A+
2014,Beaver,Balko,"Balko HS",4I075,04I075705,91,A-
2015,BEAVER,BALKO,"BALKO HS",04I075,04I075705,71,C-
2016,BEAVER,BALKO,"BALKO HS",04I075,04I075705,66,D
2013,Canadian,Banner,"Banner Public School",09C031,09C031105,85,B
2014,Canadian,Banner,"Banner Public School",9C031,09C031105,90,A-
2015,CANADIAN,BANNER,"BANNER PUBLIC SCHOOL",09C031,09C031105,86,B
2016,CANADIAN,BANNER,"BANNER PUBLIC SCHOOL",09C031,09C031105,87,B+
2013,Osage,Barnsdall,"Barnsdall ES",57I029,57I029105,74,C
2014,Osage,Barnsdall,"Barnsdall ES",57I029,57I029105,76,C
2015,OSAGE,BARNSDALL,"BARNSDALL ES",57I029,57I029105,82,B-
2016,OSAGE,BARNSDALL,"BARNSDALL ES",57I029,57I029105,87,B+
2013,Osage,Barnsdall,"Barnsdall HS",57I029,57I029715,88,B+
2014,Osage,Barnsdall,"Barnsdall HS",57I029,57I029715,83,B
2015,OSAGE,BARNSDALL,"BARNSDALL HS",57I029,57I029715,68,D+
2016,OSAGE,BARNSDALL,"BARNSDALL HS",57I029,57I029715,72,C-
2013,Osage,Barnsdall,"Barnsdall JHS",57I029,57I029615,74,C
2014,Osage,Barnsdall,"Barnsdall JHS",57I029,57I029615,66,D
2015,OSAGE,BARNSDALL,"BARNSDALL JHS",57I029,57I029615,65,D
2016,OSAGE,BARNSDALL,"BARNSDALL JHS",57I029,57I029615,66,D
