Year,DistrictName,SchoolName,DistrictKey,DistrictCode,SiteCode,FullCode,DropOutRate,AP_participationIndex,AP_PerformanceIndex,GradRate,LowPerfm_Grade8,CollegeEntranceExam_Participation,CollegeEntranceExam_Performance,EOIPerformanceRate,AchievedGrowthTarget,OverallParticipation_County
2016,ADA,ADA HS,I019,,705,62I019705,,0.95,0.95,0.84,0.81,0.76,0.59,0.56,4,892
2013,Ada,Ada JHS,I019,,610,,0.05,0.81,,,,,,,,1365
2014,Ada,Ada JHS,I019,,610,62I019610,0.05,0.95,,,,,,,,1603
2015,ADA,ADA JHS,I019,62I019,610,62I019610,0.05,0.77,,,0,,0,0,0,1597
2016,ADA,ADA JHS,I019,,610,62I019610,0.05,0.95,,,0,,0,0,0,1460
2013,Ada,Hayes ES,I019,,110,,,,,,,,,,,
2014,Ada,Hayes ES,I019,,110,62I019110,,,,,,,,,,
2015,ADA,HAYES ES,I019,62I019,110,62I019110,,,,,0,,0,0,0,756
2016,ADA,HAYES ES,I019,,110,62I019110,,,,,0,,0,0,0,770
2013,Ada,Washington ES,I019,,125,,,,,,,,,,,772
2014,Ada,Washington ES,I019,,125,62I019125,,,,,,,,,,742
2015,ADA,WASHINGTON ES,I019,62I019,125,62I019125,,,,,0,,0,0,0,756
2016,ADA,WASHINGTON ES,I019,,125,62I019125,,,,,0,,0,0,0,770
2013,Ada,Willard ES,I019,,130,,,,,,,,,,,1104
2014,Ada,Willard ES,I019,,130,62I019130,,,,,,,,,,1331
2015,ADA,WILLARD ES,I019,62I019,130,62I019130,,,,,0,,0,0,0,1360
2016,ADA,WILLARD ES,I019,,130,62I019130,,,,,0,,0,0,0,971
2013,Adair,Adair HS,I002,,705,,,0.29,0.82,0.91,0.95,0.74,0.48,0.77,,453
2014,Adair,Adair HS,I002,,705,46I002705,,0.5,0.87,0.91,0.88,0.91,0.6,0.77,4,481
2015,ADAIR,ADAIR HS,I002,46I002,705,46I002705,,0.43,0.95,0.95,0.92,0.91,0.67,0.83,5,490
2016,ADAIR,ADAIR HS,I002,,705,46I002705,,0.37,0.95,0.94,0.71,0.82,0.59,0.84,4,490
2013,Adair,Adair MS,I002,,505,,0.05,0.05,,,,,,,,682
2014,Adair,Adair MS,I002,,505,46I002505,0.05,0.05,,,,,,,,674
2015,ADAIR,ADAIR MS,I002,46I002,505,46I002505,0.05,0.17,,,0,,0,0,0,722
2016,ADAIR,ADAIR MS,I002,,505,46I002505,0.05,0.25,,,0,,0,0,0,591
2013,Adair,Bernita Hughes ES,I002,,105,,,,,,,,,,,517
2014,Adair,Bernita Hughes ES,I002,,105,46I002105,,,,,,,,,,634
2015,ADAIR,BERNITA HUGHES ES,I002,46I002,105,46I002105,,,,,0,,0,0,0,695
2016,ADAIR,BERNITA HUGHES ES,I002,,105,46I002105,,,,,0,,0,0,0,584
2013,Afton,Afton ES,I026,,105,,0.05,0.24,,,,,,,,532
2014,Afton,Afton ES,I026,,105,58I026105,0.05,0.14,,,,,,,,741
2015,AFTON,AFTON ES,I026,58I026,105,58I026105,0.05,0.12,,,0,,0,0,0,744
2016,AFTON,AFTON ES,I026,,105,58I026105,0.05,0.54,,,0,,0,0,0,629
2013,Afton,Afton HS,I026,,705,,,0.6,0.9,0.84,0.95,0.53,0.5,0.64,,268
2014,Afton,Afton HS,I026,,705,58I026705,,0.45,0.94,0.88,0.85,0.51,0.35,0.64,3,289
2015,AFTON,AFTON HS,I026,58I026,705,58I026705,,0.74,0.95,0.93,0.89,0.53,0.4,0.38,3,244
2016,AFTON,AFTON HS,I026,,705,58I026705,,0.59,0.95,0.89,0.83,0.59,0.57,0.38,2,231
2013,Agra,Agra ES,I134,,105,,0.05,0.05,,,,,,,,506
2014,Agra,Agra ES,I134,,105,41I134105,0.05,0.05,,,,,,,,621
2015,AGRA,AGRA ES,I134,41I134,105,41I134105,0.05,0.05,,,0,,0,0,0,582
2016,AGRA,AGRA ES,I134,,105,41I134105,0.05,0.05,,,0,,0,0,0,412
2013,Agra,Agra HS,I134,,705,,,0.51,0.89,0.83,0.8,0.72,0.33,0.59,,174
2014,Agra,Agra HS,I134,,705,41I134705,,0.58,0.95,0.95,0.95,0.79,0.32,0.59,4,188
2015,AGRA,AGRA HS,I134,41I134,705,41I134705,,0.48,0.95,0.95,0,0.35,0.33,0.54,3,229
2016,AGRA,AGRA HS,I134,,705,41I134705,,0.37,0.95,0.81,0.67,0.58,0.44,0.53,2,149
2013,Albion,Albion Public School,C002,,105,,0.05,0.05,,,,,,,,124
2014,Albion,Albion Public School,C002,,105,64C002105,0.05,0.05,,,,,,,,96
2015,ALBION,ALBION PUBLIC SCHOOL,C002,64C002,105,64C002105,0.05,0.05,,,0,,0,0,0,125
2016,ALBION,ALBION PUBLIC SCHOOL,C002,,105,64C002105,0.05,0.95,,,0,,0,0,0,115
2013,Alex,Alex ES,I056,,105,,0.05,0.64,,,,,,,,374
2014,Alex,Alex ES,I056,,105,26I056105,0.05,0.43,,,,,,,,436
2015,ALEX,ALEX ES,I056,26I056,105,26I056105,0.05,0.72,,,0,,0,0,0,449
2016,ALEX,ALEX ES,I056,,105,26I056105,0.05,0.95,,,0,,0,0,0,396
2013,Alex,Alex HS,I056,,715,,,0.33,0.94,0.95,0.95,0.69,0.11,0.82,,217
2014,Alex,Alex HS,I056,,715,26I056715,,0.39,0.95,0.92,0.88,0.74,0.28,0.91,5,139
2015,ALEX,ALEX HS,I056,26I056,715,26I056715,,0.95,0.95,0.92,0.94,0.65,0.33,0.76,3,126
2016,ALEX,ALEX HS,I056,,715,26I056715,,0.95,0.95,0.83,0.73,0.68,0.4,0.6,2,137
2014,Alexis Rainbow (Charter),Alexis Rainbow Cs,G003,,973,55G003973,,,,,,,,,0,
2015,ALEXIS RAINBOW (CHARTER),ALEXIS RAINBOW CS,G003,55G003,973,55G003973,,,,,0,,0,0,0,0
2013,Alexis Rainbow Charter School,Alexis Rainbow Charter School,G003,,973,,,,,,,,,,,
2013,Aline-Cleo,Aline-Cleo ES,I004,,105,,0.05,0.05,,,,,,,,161
2014,Aline-Cleo,Aline-Cleo ES,I004,,105,44I004105,0.05,0.35,,,,,,,,192
2015,ALINE-CLEO,ALINE-CLEO ES,I004,44I004,105,44I004105,0.05,0.05,,,0,,0,0,0,195
2016,ALINE-CLEO,ALINE-CLEO ES,I004,,105,44I004105,0.05,0.05,,,0,,0,0,0,170
2013,Aline-Cleo,Aline-Cleo HS,I004,,705,,,0.5,0.8,0.95,0.95,0.42,0.8,0.78,,53
2014,Aline-Cleo,Aline-Cleo HS,I004,,705,44I004705,,0.24,0.95,0.9,0.67,0.33,0.05,0.78,2,85
2015,ALINE-CLEO,ALINE-CLEO HS,I004,44I004,705,44I004705,,0.86,0.95,0.67,0.67,0.6,0.33,0.25,2,48
2016,ALINE-CLEO,ALINE-CLEO HS,I004,,705,44I004705,,0.37,0.95,0.91,0,0.67,0.75,0.6,5,77
2013,Allen,Allen ES,I001,,105,,0.05,0.05,,,,,,,,548
2014,Allen,Allen ES,I001,,105,62I001105,0.05,0.05,,,,,,,,571
2015,ALLEN,ALLEN ES,I001,62I001,105,62I001105,0.05,0.05,,,0,,0,0,0,658
2016,ALLEN,ALLEN ES,I001,,105,62I001105,0.05,0.44,,,0,,0,0,0,630
2013,Allen,Allen HS,I001,,705,,,0.14,0.88,0.95,0.95,0.72,0.48,0.67,,173
2014,Allen,Allen HS,I001,,705,62I001705,,0.12,0.95,0.95,0.95,0.5,0.43,0.67,3,220
2015,ALLEN,ALLEN HS,I001,62I001,705,62I001705,,0.31,0.95,0.93,0.88,0.59,0.58,0.64,4,218
2016,ALLEN,ALLEN HS,I001,,705,62I001705,,0.34,0.95,0.95,0,0.87,0.54,0.6,4,233
2013,Allen-Bowden,Allen-Bowden Public School,C035,,105,,0.05,0.1,,,,,,,,509
2014,Allen-Bowden,Allen-Bowden Public School,C035,,105,19C035105,0.05,0.11,,,,,,,,583
2015,ALLEN-BOWDEN,ALLEN-BOWDEN PUBLIC SCHOOL,C035,19C035,105,19C035105,0.05,0.05,,,0,,0,0,0,650
2016,ALLEN-BOWDEN,ALLEN-BOWDEN PUBLIC SCHOOL,C035,,105,19C035105,0.05,0.15,,,0,,0,0,0,660
2013,Altus,Altus HS,I018,,705,,,0.95,0.9,0.38,0.56,0.62,0.61,0.66,,1433
2014,Altus,Altus HS,I018,,705,33I018705,,0.95,0.52,0.8,0.62,0.72,0.59,0.66,4,1435
2015,ALTUS,ALTUS HS,I018,33I018,705,33I018705,,0.95,0.95,0.88,0.71,0.75,0.65,0.7,5,1350
2016,ALTUS,ALTUS HS,I018,,705,33I018705,,0.71,0.95,0.86,0.67,0.72,0.64,0.64,2,1340
2013,Altus,Altus Intermediate School,I018,,145,,,,,,,,,,,1529
2014,Altus,Altus Intermediate School,I018,,145,33I018145,,,,,,,,,,1801
2015,ALTUS,ALTUS INTERMEDIATE SCHOOL,I018,33I018,145,33I018145,,,,,0,,0,0,0,1688
2016,ALTUS,ALTUS INTERMEDIATE SCHOOL,I018,,145,33I018145,,,,,0,,0,0,0,1324
2013,Altus,Altus JHS,I018,,625,,0.05,0.95,,,,,,,,1547
2014,Altus,Altus JHS,I018,,625,33I018625,0.05,0.95,,,,,,,,1754
2015,ALTUS,ALTUS JHS,I018,33I018,625,33I018625,0.05,0.95,,,0,,0,0,0,1888
2016,ALTUS,ALTUS JHS,I018,,625,33I018625,0.05,0.95,,,0,,0,0,0,1688
2013,Altus,Rivers ES,I018,,105,,,,,,,,,,,184
2014,Altus,Rivers ES,I018,,105,33I018105,,,,,,,,,,194
2015,ALTUS,RIVERS ES,I018,33I018,105,33I018105,,,,,0,,0,0,0,169
2016,ALTUS,RIVERS ES,I018,,105,33I018105,,,,,0,,0,0,0,178
2013,Altus,Roosevelt ES,I018,,120,,,,,,,,,,,203
2014,Altus,Roosevelt ES,I018,,120,33I018120,,,,,,,,,,208
2015,ALTUS,ROOSEVELT ES,I018,33I018,120,33I018120,,,,,0,,0,0,0,181
2016,ALTUS,ROOSEVELT ES,I018,,120,33I018120,,,,,0,,0,0,0,174
2013,Altus,Sunset ES,I018,,125,,,,,,,,,,,328
2014,Altus,Sunset ES,I018,,125,33I018125,,,,,,,,,,317
2015,ALTUS,SUNSET ES,I018,33I018,125,33I018125,,,,,0,,0,0,0,292
2016,ALTUS,SUNSET ES,I018,,125,33I018125,,,,,0,,0,0,0,338
2013,Altus,Washington ES,I018,,130,,,,,,,,,,,236
2014,Altus,Washington ES,I018,,130,33I018130,,,,,,,,,,213
2015,ALTUS,WASHINGTON ES,I018,33I018,130,33I018130,,,,,0,,0,0,0,157
2016,ALTUS,WASHINGTON ES,I018,,130,33I018130,,,,,0,,0,0,0,176
2013,Altus,Will Rogers ES,I018,,135,,,,,,,,,,,205
2014,Altus,Will Rogers ES,I018,,135,33I018135,,,,,,,,,,173
2015,ALTUS,WILL ROGERS ES,I018,33I018,135,33I018135,,,,,0,,0,0,0,155
2016,ALTUS,WILL ROGERS ES,I018,,135,33I018135,,,,,0,,0,0,0,148
2013,Alva,Alva HS,I001,,705,,,0.56,0.94,0.8,0.71,0.77,0.58,0.78,,403
2014,Alva,Alva HS,I001,,705,76I001705,,0.71,0.95,0.86,0.88,0.74,0.47,0.78,3,286
2015,ALVA,ALVA HS,I001,76I001,705,76I001705,,0.95,0.95,0.79,0.9,0.79,0.62,0.64,3,245
2016,ALVA,ALVA HS,I001,,705,76I001705,,0.95,0.95,0.81,0.89,0.66,0.6,0.68,5,298
2013,Alva,Alva MS,I001,,505,,0.05,0.23,,,,,,,,572
2014,Alva,Alva MS,I001,,505,76I001505,0.05,0.44,,,,,,,,668
2015,ALVA,ALVA MS,I001,76I001,505,76I001505,0.05,0.45,,,0,,0,0,0,694
2016,ALVA,ALVA MS,I001,,505,76I001505,0.05,0.95,,,0,,0,0,0,576
2013,Alva,Lincoln ES,I001,,105,,,,,,,,,,,402
2014,Alva,Lincoln ES,I001,,105,76I001105,,,,,,,,,,506
2015,ALVA,LINCOLN ES,I001,76I001,105,76I001105,,,,,0,,0,0,0,492
2016,ALVA,LINCOLN ES,I001,,105,76I001105,,,,,0,,0,0,0,352
2013,Alva,Longfellow ES,I001,,110,,,,,,,,,,,134
2014,Alva,Longfellow ES,I001,,110,76I001110,,,,,,,,,,132
2015,ALVA,LONGFELLOW ES,I001,76I001,110,76I001110,,,,,0,,0,0,0,110
2016,ALVA,LONGFELLOW ES,I001,,110,76I001110,,,,,0,,0,0,0,194
2013,Alva,Washington ES,I001,,115,,,,,,,,,,,
2014,Alva,Washington ES,I001,,115,76I001115,,,,,,,,,,
2015,ALVA,WASHINGTON ES,I001,76I001,115,76I001115,,,,,0,,0,0,0,110
2016,ALVA,WASHINGTON ES,I001,,115,76I001115,,,,,0,,0,0,0,194
2013,Amber-Pocasset,Amber-Pocasset ES,I128,,105,,,,,,,,,,,300
2014,Amber-Pocasset,Amber-Pocasset ES,I128,,105,26I128105,,,,,,,,,,379
2015,AMBER-POCASSET,AMBER-POCASSET ES,I128,26I128,105,26I128105,,,,,0,,0,0,0,365
2016,AMBER-POCASSET,AMBER-POCASSET ES,I128,,105,26I128105,,,,,0,,0,0,0,336
2013,Amber-Pocasset,Amber-Pocasset HS,I128,,715,,,0.95,0.94,0.94,0.95,0.77,0.7,0.86,,229
2014,Amber-Pocasset,Amber-Pocasset HS,I128,,715,26I128715,,0.95,0.95,0.94,0.9,0.68,0.63,0.86,4,253
2015,AMBER-POCASSET,AMBER-POCASSET HS,I128,26I128,715,26I128715,,0.68,0.91,0.95,0,0.7,0.48,0.81,4,215
2016,AMBER-POCASSET,AMBER-POCASSET HS,I128,,715,26I128715,,0.95,0.95,0.93,0.89,0.95,0.46,0.71,4,154
2013,Amber-Pocasset,Amber-Pocasset JHS,I128,,615,,0.05,0.17,,,,,,,,288
2014,Amber-Pocasset,Amber-Pocasset JHS,I128,,615,26I128615,0.05,0.2,,,,,,,,276
2015,AMBER-POCASSET,AMBER-POCASSET JHS,I128,26I128,615,26I128615,0.05,0.07,,,0,,0,0,0,363
2016,AMBER-POCASSET,AMBER-POCASSET JHS,I128,,615,26I128615,0.05,0.14,,,0,,0,0,0,317
2013,Anadarko,Anadarko East ES,I020,,105,,,,,,,,,,,264
2014,Anadarko,Anadarko East ES,I020,,105,08I020105,,,,,,,,,,294
2015,ANADARKO,ANADARKO EAST ES,I020,08I020,105,08I020105,,,,,0,,0,0,0,1197
2016,ANADARKO,ANADARKO EAST ES,I020,,105,08I020105,,,,,0,,0,0,0,1069
2013,Anadarko,Anadarko HS,I020,,705,,,0.37,0.57,0.75,0.7,0.7,0.32,0.54,,777
2014,Anadarko,Anadarko HS,I020,,705,08I020705,,0.41,0.69,0.9,0.9,0.68,0.28,0.54,3,769
2015,ANADARKO,ANADARKO HS,I020,08I020,705,08I020705,,0.63,0.95,0.81,0.76,0.71,0.32,0.42,2,779
2016,ANADARKO,ANADARKO HS,I020,,705,08I020705,,0.36,0.95,0.81,0.78,0.67,0.27,0.44,2,737
2013,Anadarko,Anadarko MS,I020,,510,,0.05,0.09,,,,,,,,1177
2014,Anadarko,Anadarko MS,I020,,510,08I020510,0.05,0.34,,,,,,,,1271
2015,ANADARKO,ANADARKO MS,I020,08I020,510,08I020510,0.05,0.36,,,0,,0,0,0,1340
2016,ANADARKO,ANADARKO MS,I020,,510,08I020510,0.05,0.4,,,0,,0,0,0,1201
2013,Anadarko,Mission ES,I020,,120,,,,,,,,,,,932
2014,Anadarko,Mission ES,I020,,120,08I020120,,,,,,,,,,1005
2015,ANADARKO,MISSION ES,I020,08I020,120,08I020120,,,,,0,,0,0,0,1197
2016,ANADARKO,MISSION ES,I020,,120,08I020120,,,,,0,,0,0,0,1069
2013,Anadarko,Sunset ES,I020,,115,,,,,,,,,,,
2014,Anadarko,Sunset ES,I020,,115,08I020115,,,,,,,,,,
2015,ANADARKO,SUNSET ES,I020,08I020,115,08I020115,,,,,0,,0,0,0,1197
2016,ANADARKO,SUNSET ES,I020,,115,08I020115,,,,,0,,0,0,0,1069
2013,Anderson,Anderson Public School,C052,,105,,,,,,,,,,,342
2014,Anderson,Anderson Public School,C052,,105,57C052105,,,,,,,,,,380
2015,ANDERSON,ANDERSON PUBLIC SCHOOL,C052,57C052,105,57C052105,,,,,0,,0,0,0,399
2016,ANDERSON,ANDERSON PUBLIC SCHOOL,C052,,105,57C052105,,,,,0,,0,0,0,336
2013,Antlers,Antlers HS,I013,,705,,,0.76,0.95,0.77,0.75,0.67,0.44,0.72,,447
2014,Antlers,Antlers HS,I013,,705,64I013705,,0.82,0.95,0.94,0.89,0.71,0.55,0.72,4,395
2015,ANTLERS,ANTLERS HS,I013,64I013,705,64I013705,,0.62,0.95,0.85,0.86,0.59,0.42,0.74,2,389
2016,ANTLERS,ANTLERS HS,I013,,705,64I013705,,0.89,0.95,0.94,0.79,0.69,0.45,0.57,3,346
2013,Antlers,Brantly ES,I013,,105,,,,,,,,,,,526
2014,Antlers,Brantly ES,I013,,105,64I013105,,,,,,,,,,670
2015,ANTLERS,BRANTLY ES,I013,64I013,105,64I013105,,,,,0,,0,0,0,673
2016,ANTLERS,BRANTLY ES,I013,,105,64I013105,,,,,0,,0,0,0,559
2013,Antlers,Obuch MS,I013,,510,,0.05,0.05,,,,,,,,548
2014,Antlers,Obuch MS,I013,,510,64I013510,0.05,0.09,,,,,,,,635
2015,ANTLERS,OBUCH MS,I013,64I013,510,64I013510,0.05,0.22,,,0,,0,0,0,760
2016,ANTLERS,OBUCH MS,I013,,510,64I013510,0.05,0.05,,,0,,0,0,0,645
2013,Arapaho-Butler,Arapaho-Butler ES,I005,,105,,0.05,0.51,,,,,,,,402
2014,Arapaho-Butler,Arapaho-Butler ES,I005,,105,20I005105,0.05,0.6,,,,,,,,466
2015,ARAPAHO-BUTLER,ARAPAHO-BUTLER ES,I005,20I005,105,20I005105,0.05,0.55,,,0,,0,0,0,491
2016,ARAPAHO-BUTLER,ARAPAHO-BUTLER ES,I005,,105,20I005105,0.05,0.61,,,0,,0,0,0,500
2013,Arapaho-Butler,Arapaho-Butler HS,I005,,715,,,0.35,0.73,0.95,0.95,0.7,0.69,0.61,,131
2014,Arapaho-Butler,Arapaho-Butler HS,I005,,715,20I005715,,0.53,0.89,0.95,0.95,0.61,0.73,0.61,4,128
2015,ARAPAHO-BUTLER,ARAPAHO-BUTLER HS,I005,20I005,715,20I005715,,0.3,0.95,0.95,0,0.83,0.47,0.78,5,137
2016,ARAPAHO-BUTLER,ARAPAHO-BUTLER HS,I005,,715,20I005715,,0.87,0.95,0.95,0,0.72,0.69,0.83,5,148
2013,Ardmore,Ardmore HS,I019,,705,,,0.82,0.76,0.78,0.81,0.68,0.57,0.61,,1284
2014,Ardmore,Ardmore HS,I019,,705,10I019705,,0.57,0.47,0.83,0.82,0.78,0.41,0.61,3,1306
2015,ARDMORE,ARDMORE HS,I019,10I019,705,10I019705,,0.49,0.95,0.76,0.61,0.95,0.27,0.65,2,1236
2016,ARDMORE,ARDMORE HS,I019,,705,10I019705,,0.22,0.95,0.66,0.58,0.95,0.25,0.5,2,1163
2013,Ardmore,Ardmore MS,I019,,505,,0.05,0.69,,,,,,,,1811
2014,Ardmore,Ardmore MS,I019,,505,10I019505,0.05,0.58,,,,,,,,1923
2015,ARDMORE,ARDMORE MS,I019,10I019,505,10I019505,0.05,0.9,,,0,,0,0,0,2109
2016,ARDMORE,ARDMORE MS,I019,,505,10I019505,0.05,0.95,,,0,,0,0,0,1977
2013,Ardmore,Charles Evans ES,I019,,110,,,,,,,,,,,1030
2014,Ardmore,Charles Evans ES,I019,,110,10I019110,,,,,,,,,,1269
2015,ARDMORE,CHARLES EVANS ES,I019,10I019,110,10I019110,,,,,0,,0,0,0,1054
2016,ARDMORE,CHARLES EVANS ES,I019,,110,10I019110,,,,,0,,0,0,0,980
2013,Ardmore,Jefferson ES,I019,,120,,,,,,,,,,,357
2014,Ardmore,Jefferson ES,I019,,120,10I019120,,,,,,,,,,412
2015,ARDMORE,JEFFERSON ES,I019,10I019,120,10I019120,,,,,0,,0,0,0,426
2016,ARDMORE,JEFFERSON ES,I019,,120,10I019120,,,,,0,,0,0,0,359
2013,Ardmore,Lincoln ES,I019,,125,,,,,,,,,,,428
2014,Ardmore,Lincoln ES,I019,,125,10I019125,,,,,,,,,,483
2015,ARDMORE,LINCOLN ES,I019,10I019,125,10I019125,,,,,0,,0,0,0,461
2016,ARDMORE,LINCOLN ES,I019,,125,10I019125,,,,,0,,0,0,0,412
2013,Ardmore,Will Rogers ES,I019,,135,,,,,,,,,,,
2014,Ardmore,Will Rogers ES,I019,,135,10I019135,,,,,,,,,,
2015,ARDMORE,WILL ROGERS ES,I019,10I019,135,10I019135,,,,,0,,0,0,0,0
2016,ARDMORE,WILL ROGERS ES,I019,,135,10I019135,,,,,0,,0,0,0,0
2013,Arkoma,Arkoma HS,I091,,715,,,0.27,0.88,0.57,0.57,0.46,0.27,0.17,,125
2014,Arkoma,Arkoma HS,I091,,715,40I091715,,0.29,0.2,0.6,0.42,0.42,0.45,0.17,2,172
2015,ARKOMA,ARKOMA HS,I091,40I091,715,40I091715,,0.36,0.84,0.67,0,0.58,0.29,0.4,4,112
2016,ARKOMA,ARKOMA HS,I091,,715,40I091715,,0.05,0.95,0.64,0.75,0.56,0.33,0.22,3,150
2015,ARKOMA,ARKOMA JHS,I091,40I091,605,40I091605,0.05,0.6,,,0,,0,0,0,248
2016,ARKOMA,ARKOMA JHS,I091,,605,40I091605,0.05,0.05,,,0,,0,0,0,175
2013,Arkoma,Singleton ES,I091,,105,,0.05,0.05,,,,,,,,416
2014,Arkoma,Singleton ES,I091,,105,40I091105,0.05,0.05,,,,,,,,473
2015,ARKOMA,SINGLETON ES,I091,40I091,205,40I091205,,,,,0,,0,0,0,307
2016,ARKOMA,SINGLETON ES,I091,,205,40I091205,,,,,0,,0,0,0,280
2013,Arnett,Arnett ES,I003,,105,,0.05,0.05,,,,,,,,232
2014,Arnett,Arnett ES,I003,,105,23I003105,0.05,0.05,,,,,,,,255
2015,ARNETT,ARNETT ES,I003,23I003,105,23I003105,0.05,0.05,,,0,,0,0,0,293
2016,ARNETT,ARNETT ES,I003,,105,23I003105,0.05,0.05,,,0,,0,0,0,252
2013,Arnett,Arnett HS,I003,,705,,,0.23,0.95,0.95,0.95,0.79,0.27,0.53,,120
2014,Arnett,Arnett HS,I003,,705,23I003705,,0.72,0.95,0.95,0.95,0.83,0.53,0.53,4,83
2015,ARNETT,ARNETT HS,I003,23I003,705,23I003705,,0.92,0.95,0.95,0,0.56,0.6,0.81,5,104
2016,ARNETT,ARNETT HS,I003,,705,23I003705,,0.95,0.95,0.9,0,0.8,0.58,0.78,4,120
2013,Asher,Asher ES,I112,,105,,0.05,0.05,,,,,,,,310
2014,Asher,Asher ES,I112,,105,63I112105,0.05,0.3,,,,,,,,382
2015,ASHER,ASHER ES,I112,63I112,105,63I112105,0.05,0.28,,,0,,0,0,0,378
2016,ASHER,ASHER ES,I112,,105,63I112105,0.05,0.33,,,0,,0,0,0,326
2013,Asher,Asher HS,I112,,705,,,0.53,0.89,0.89,0.95,0.79,0.27,0.53,,130
2014,Asher,Asher HS,I112,,705,63I112705,,0.41,0.95,0.95,0.95,0.65,0.46,0.53,4,151
2015,ASHER,ASHER HS,I112,63I112,705,63I112705,,0.86,0.95,0.95,0,0.68,0.53,0.61,5,146
2016,ASHER,ASHER HS,I112,,705,63I112705,,0.95,0.95,0.95,0,0.71,0.2,0.52,4,108
2015,ASTEC CHARTERS,ASTEC CHARTER HS,E004,5.50E+05,972,55E004972,,0.82,0.95,0.91,0.9,0.84,0.16,0.77,5,738
2016,ASTEC CHARTERS,ASTEC CHARTER HS,G004,,972,55G004972,,0.93,0.95,0.95,0,0.91,0.3,0.71,4,782
2015,ASTEC CHARTERS,ASTEC CHARTER MS,E004,5.50E+05,971,55E004971,0.05,0.61,,,0,,0,0,0,1364
2016,ASTEC CHARTERS,ASTEC CHARTER MS,G004,,971,55G004971,0.05,0.29,,,0,,0,0,0,1303
2013,Atoka,Atoka ES,I015,,120,,,,,,,,,,,450
2014,Atoka,Atoka ES,I015,,120,03I015120,,,,,,,,,,521
2015,ATOKA,ATOKA ES,I015,03I015,120,03I015120,,,,,0,,0,0,0,516
2016,ATOKA,ATOKA ES,I015,,120,03I015120,,,,,0,,0,0,0,390
2013,Atoka,Atoka HS,I015,,705,,,0.95,0.73,0.83,0.82,0.65,0.44,0.5,,405
2014,Atoka,Atoka HS,I015,,705,03I015705,,0.95,0.23,0.93,0.88,0.65,0.47,0.5,3,414
2015,ATOKA,ATOKA HS,I015,03I015,705,03I015705,,0.48,0.95,0.81,0.64,0.62,0.4,0.59,2,463
2016,ATOKA,ATOKA HS,I015,,705,03I015705,,0.56,0.95,0.77,0.76,0.64,0.25,0.55,3,460
2013,Atoka,McCall MS,I015,,505,,0.05,0.4,,,,,,,,437
2014,Atoka,McCall MS,I015,,505,03I015505,0.05,0.1,,,,,,,,545
2015,ATOKA,MCCALL MS,I015,03I015,505,03I015505,0.05,0.05,,,0,,0,0,0,653
2016,ATOKA,MCCALL MS,I015,,505,03I015505,0.05,0.05,,,0,,0,0,0,538
2013,Avant,Avant Public School,C035,,105,,0.05,0.05,,,,,,,,143
2014,Avant,Avant Public School,C035,,105,57C035105,0.05,0.05,,,,,,,,165
2015,AVANT,AVANT PUBLIC SCHOOL,C035,57C035,105,57C035105,0.05,0.05,,,0,,0,0,0,158
2016,AVANT,AVANT PUBLIC SCHOOL,C035,,105,57C035105,0.05,0.05,,,0,,0,0,0,104
