RecordNumber,County,District,School,lat,lon
776,LOVE,TURNER,TURNER ES,33.907879,-97.2889056
777,LOVE,TURNER,TURNER HS,33.907879,-97.2889056
778,LOVE,MARIETTA,MARIETTA ES,33.9305693,-97.1211535
779,LOVE,MARIETTA,MARIETTA MS,33.9305693,-97.1211535
780,LOVE,MARIETTA,MARIETTA HS,33.9305693,-97.1211535
781,MAJOR,RINGWOOD,RINGWOOD ES,36.3820886,-98.2465824
782,MAJOR,RINGWOOD,RINGWOOD HS,36.3820886,-98.2465824
783,MAJOR,ALINE-CLEO,ALINE-CLEO ES,36.408263,-98.4416433
784,MAJOR,ALINE-CLEO,ALINE-CLEO HS,36.5095357,-98.4509998
785,MAJOR,FAIRVIEW,CORNELSEN ES,36.2687431,-98.4754152
786,MAJOR,FAIRVIEW,CHAMBERLAIN MS,36.2687431,-98.4754152
787,MAJOR,FAIRVIEW,FAIRVIEW HS,36.2687431,-98.4754152
788,MAJOR,CIMARRON,CIMARRON ES,36.3892351,-98.0891022
789,MAJOR,CIMARRON,CIMARRON HS,36.3892351,-98.0891022
790,MARSHALL,MADILL,MADILL ES,34.0863869,-96.7777322
791,MARSHALL,MADILL,MADILL ES,34.0863869,-96.7777322
792,MARSHALL,MADILL,MADILL MS,34.0863869,-96.7777322
793,MARSHALL,MADILL,MADILL HS,34.0863869,-96.7777322
794,MARSHALL,KINGSTON,KINGSTON ES,33.9994861,-96.7197041
795,MARSHALL,KINGSTON,KINGSTON MS,33.9994861,-96.7197041
796,MARSHALL,KINGSTON,KINGSTON HS,33.9994861,-96.7197041
797,MAYES,WICKLIFFE,WICKLIFFE PUBLIC SCHOOL,36.3353974,-95.0561918
798,MAYES,OSAGE,OSAGE PUBLIC SCHOOL,36.3079926,-95.3983818
799,MAYES,PRYOR,LINCOLN ES,36.305159,-95.317651
800,MAYES,PRYOR,JEFFERSON ES,36.305159,-95.317651
801,MAYES,PRYOR,ROOSEVELT ES,36.305159,-95.317651
802,MAYES,PRYOR,PRYOR JHS,36.305159,-95.317651
803,MAYES,PRYOR,PRYOR HS,36.305159,-95.317651
804,MAYES,ADAIR,BERNITA HUGHES ES,36.4358809,-95.2731062
805,MAYES,ADAIR,ADAIR MS,36.4358809,-95.2731062
806,MAYES,ADAIR,ADAIR HS,36.4358809,-95.2731062
807,MAYES,SALINA,SALINA ES,36.2921873,-95.1529044
808,MAYES,SALINA,SALINA MS,36.2921873,-95.1529044
809,MAYES,SALINA,SALINA HS,36.2921873,-95.1529044
810,MAYES,LOCUST GROVE,LOCUST GROVE EARLY LRNING CTR,36.2013562,-95.1599896
811,MAYES,LOCUST GROVE,LOCUST GROVE UPPER ES,36.2013562,-95.1599896
812,MAYES,LOCUST GROVE,LOCUST GROVE MS,36.2013562,-95.1599896
813,MAYES,LOCUST GROVE,LOCUST GROVE HS,36.2013562,-95.1599896
814,MAYES,CHOUTEAU-MAZIE,CHOUTEAU ES,36.1882025,-95.3446057
815,MAYES,CHOUTEAU-MAZIE,MAZIE ES,36.1882025,-95.3446057
816,MAYES,CHOUTEAU-MAZIE,CHOUTEAU-MAZIE EC CTR,36.1882025,-95.3446057
817,MAYES,CHOUTEAU-MAZIE,CHOUTEAU-MAZIE MS,36.1882025,-95.3446057
818,MAYES,CHOUTEAU-MAZIE,CHOUTEAU-MAZIE HS,36.1882025,-95.3446057
819,MCCLAIN,NEWCASTLE,NEWCASTLE ES,35.2481697,-97.6004873
820,MCCLAIN,NEWCASTLE,NEWCASTLE EARLY CHILDHOOD CTR,35.2481697,-97.6004873
821,MCCLAIN,NEWCASTLE,NEWCASTLE MS,35.2481697,-97.6004873
822,MCCLAIN,NEWCASTLE,NEWCASTLE HS,35.2481697,-97.6004873
823,MCCLAIN,DIBBLE,DIBBLE ES,35.1478718,-97.6524121
824,MCCLAIN,DIBBLE,DIBBLE MS,35.1478718,-97.6524121
825,MCCLAIN,DIBBLE,DIBBLE HS,35.1478718,-97.6524121
826,MCCLAIN,WASHINGTON,WASHINGTON ES,35.0604316,-97.4842514
827,MCCLAIN,WASHINGTON,WASHINGTON MS,35.0604316,-97.4842514
828,MCCLAIN,WASHINGTON,WASHINGTON HS,35.0604316,-97.4842514
829,MCCLAIN,WAYNE,WAYNE ES,34.9178096,-97.3198125
830,MCCLAIN,WAYNE,WAYNE MS,34.9178096,-97.3198125
831,MCCLAIN,WAYNE,WAYNE HS,34.9178096,-97.3198125
832,MCCLAIN,PURCELL,PURCELL ES,35.02214,-97.3713091
833,MCCLAIN,PURCELL,PURCELL INTERMEDIATE SCHOOL,35.0209357,-97.3709266
834,MCCLAIN,PURCELL,PURCELL JHS,35.0109224,-97.3657519
835,MCCLAIN,PURCELL,PURCELL HS,35.0363043,-97.3683252
836,MCCLAIN,BLANCHARD,BLANCHARD ES,35.1369683,-97.6531188
837,MCCLAIN,BLANCHARD,BLANCHARD INTERMEDIATE ES,35.1369683,-97.6531188
838,MCCLAIN,BLANCHARD,BLANCHARD MS,35.1369683,-97.6531188
839,MCCLAIN,BLANCHARD,BLANCHARD HS,35.1369683,-97.6531188
840,MCCURTAIN,FOREST GROVE,FOREST GROVE PUBLIC SCHOOL,33.9543541,-94.9403144
841,MCCURTAIN,LUKFATA,LUKFATA PUBLIC SCHOOL,34.0194122,-94.7837895
842,MCCURTAIN,GLOVER,GLOVER PUBLIC SCHOOL,34.0686832,-94.8790291
843,MCCURTAIN,DENISON,DENISON PUBLIC SCHOOL,33.8954266,-94.7901813
844,MCCURTAIN,HOLLY CREEK,HOLLY CREEK PUBLIC SCHOOL,34.145512,-94.7246738
845,MCCURTAIN,IDABEL,CENTRAL ES,33.8982103,-94.8251908
846,MCCURTAIN,IDABEL,IDABEL PRIMARY SOUTH ES,33.8982103,-94.8251908
847,MCCURTAIN,IDABEL,IDABEL MS,33.8982103,-94.8251908
848,MCCURTAIN,IDABEL,IDABEL HS,33.8982103,-94.8251908
849,MCCURTAIN,HAWORTH,HAWORTH ES,33.845278,-94.6504636
850,MCCURTAIN,HAWORTH,HAWORTH MS,33.845278,-94.6504636
851,MCCURTAIN,HAWORTH,HAWORTH MS,33.845278,-94.6504636
852,MCCURTAIN,HAWORTH,HAWORTH HS,33.845278,-94.6504636
853,MCCURTAIN,VALLIANT,VALLIANT ES,34.0052467,-95.0860619
854,MCCURTAIN,VALLIANT,VALLIANT MS,34.0052467,-95.0860619
855,MCCURTAIN,VALLIANT,VALLIANT HS,34.0052467,-95.0860619
856,MCCURTAIN,EAGLETOWN,EAGLETOWN ES,34.0444083,-94.589587
857,MCCURTAIN,EAGLETOWN,EAGLETOWN HS,34.0444083,-94.589587
858,MCCURTAIN,SMITHVILLE,SMITHVILLE ES,34.4667705,-94.6438316
859,MCCURTAIN,SMITHVILLE,SMITHVILLE MS,34.4667705,-94.6438316
860,MCCURTAIN,SMITHVILLE,SMITHVILLE HS,34.4667705,-94.6438316
861,MCCURTAIN,WRIGHT CITY,WRIGHT CITY ES,34.0686257,-95.0062843
862,MCCURTAIN,WRIGHT CITY,WRIGHT CITY JHS,34.0686257,-95.0062843
863,MCCURTAIN,WRIGHT CITY,WRIGHT CITY HS,34.0686257,-95.0062843
864,MCCURTAIN,BATTIEST,BATTIEST ES,34.0292764,-94.7391045
865,MCCURTAIN,BATTIEST,BATTIEST HS,34.3936866,-94.9247101
866,MCCURTAIN,BROKEN BOW,BENNETT ES,34.0315541,-94.7371868
867,MCCURTAIN,BROKEN BOW,DIERKS ES,34.0315541,-94.7371868
868,MCCURTAIN,BROKEN BOW,DIERKS ES,34.0315541,-94.7371868
869,MCCURTAIN,BROKEN BOW,RECTOR JOHNSON MS,34.0315541,-94.7371868
870,MCCURTAIN,BROKEN BOW,RECTOR JOHNSON MS,34.0315541,-94.7371868
871,MCCURTAIN,BROKEN BOW,BROKEN BOW HS,34.0315541,-94.7371868
872,MCINTOSH,RYAL,RYAL PUBLIC SCHOOL,35.398902,-95.9807655
873,MCINTOSH,STIDHAM,STIDHAM PUBLIC SCHOOL,35.3754648,-95.6990604
874,MCINTOSH,EUFAULA,EUFAULA ES,35.2879035,-95.5883819
875,MCINTOSH,EUFAULA,EUFAULA MS,35.28838,-95.6082093
876,MCINTOSH,EUFAULA,EUFAULA HS,35.280647,-95.584114
877,MCINTOSH,CHECOTAH,MARSHALL ES,35.4710697,-95.5219709
878,MCINTOSH,CHECOTAH,CHECOTAH INTERMEDIATE ES,35.4710697,-95.5219709
879,MCINTOSH,CHECOTAH,CHECOTAH MS,35.4710697,-95.5219709
880,MCINTOSH,CHECOTAH,CHECOTAH HS,35.4596984,-95.5356386
881,MCINTOSH,MIDWAY,MIDWAY ES,35.4929084,-95.6720907
882,MCINTOSH,MIDWAY,MIDWAY HS,35.5559295,-95.6510448
883,MCINTOSH,HANNA,HANNA ES,35.2025651,-95.8900911
884,MCINTOSH,HANNA,HANNA HS,35.2025651,-95.8900911
885,MURRAY,SULPHUR,SULPHUR ES,34.5082243,-96.9777093
886,MURRAY,SULPHUR,SULPHUR INTERMEDIATE ES,34.5082243,-96.9777093
887,MURRAY,SULPHUR,SULPHUR MS,34.5082243,-96.9777093
888,MURRAY,SULPHUR,SULPHUR HS,34.5082243,-96.9777093
889,MURRAY,DAVIS,DAVIS ES,34.5010284,-97.1165643
890,MURRAY,DAVIS,DAVIS MS,34.5010284,-97.1165643
891,MURRAY,DAVIS,DAVIS HS,34.5010284,-97.1165643
892,MUSKOGEE,WAINWRIGHT,WAINWRIGHT PUBLIC SCHOOL,35.3589534,-95.2656199
893,MUSKOGEE,HASKELL,MARY WHITE ES,35.8202837,-95.6797987
894,MUSKOGEE,HASKELL,HASKELL MS,35.8258189,-95.684934
895,MUSKOGEE,HASKELL,HASKELL HS,35.8258189,-95.684934
896,MUSKOGEE,FORT GIBSON,FORT GIBSON INTERMEDIATE ES,35.792364,-95.2396201
897,MUSKOGEE,FORT GIBSON,FORT GIBSON EARLY LRNING CTR,35.792364,-95.2396201
898,MUSKOGEE,FORT GIBSON,FORT GIBSON MS,35.792364,-95.2396201
899,MUSKOGEE,FORT GIBSON,FORT GIBSON HS,35.792364,-95.2396201
900,MUSKOGEE,WEBBERS FALLS,WEBBERS FALLS ES,35.5120182,-95.1285521
901,MUSKOGEE,WEBBERS FALLS,WEBBERS FALLS HS,35.5120182,-95.1285521
902,MUSKOGEE,OKTAHA,OKTAHA ES,35.5760437,-95.477349
903,MUSKOGEE,OKTAHA,OKTAHA HS,35.5760437,-95.477349
904,MUSKOGEE,MUSKOGEE,CHEROKEE ES,35.7450524,-95.3937607
905,MUSKOGEE,MUSKOGEE,CREEK ES,35.7380279,-95.3203256
906,MUSKOGEE,MUSKOGEE,BENJAMIN FRANKLIN SCIENCE ACAD,35.7536114,-95.4388849
907,MUSKOGEE,MUSKOGEE,GRANT-FOREMAN ES,35.7333014,-95.3362906
908,MUSKOGEE,MUSKOGEE,IRVING ES,35.7544685,-95.3515154
909,MUSKOGEE,MUSKOGEE,PERSHING ES,35.7575817,-95.4305613
910,MUSKOGEE,MUSKOGEE,SADLER ARTS ACADEMY,35.758898,-95.3690091
911,MUSKOGEE,MUSKOGEE,TONY GOETZ ES,35.7485787,-95.3400197
912,MUSKOGEE,MUSKOGEE,WHITTIER ES,35.7383422,-95.3500086
913,MUSKOGEE,MUSKOGEE,MUSKOGEE EC CTR,35.7552414,-95.3780877
914,MUSKOGEE,MUSKOGEE,ALICE ROBERTSON JHS,35.7445676,-95.3466325
915,MUSKOGEE,MUSKOGEE,MUSKOGEE HS,35.7703056,-95.3230657
916,MUSKOGEE,HILLDALE,HILLDALE LOWER ES,35.7105549,-95.3709631
917,MUSKOGEE,HILLDALE,HILLDALE UPPER ES,35.7105549,-95.3709631
918,MUSKOGEE,HILLDALE,HILLDALE MS,35.7105549,-95.3709631
919,MUSKOGEE,HILLDALE,HILLDALE HS,35.7105549,-95.3709631
920,MUSKOGEE,BRAGGS,BRAGGS ES,35.6658236,-95.2001756
921,MUSKOGEE,BRAGGS,BRAGGS HS,35.6658236,-95.2001756
922,MUSKOGEE,WARNER,WARNER ES,35.49574,-95.305513
923,MUSKOGEE,WARNER,WARNER HS,35.49574,-95.305513
924,MUSKOGEE,PORUM,PORUM ES,35.3562083,-95.2655231
925,MUSKOGEE,PORUM,PORUM HS,35.3562083,-95.2655231
926,NOBLE,PERRY,PERRY ES,36.2977547,-97.3009106
927,NOBLE,PERRY,PERRY JHS,36.2886316,-97.292177
928,NOBLE,PERRY,PERRY HS,36.2893628,-97.2918416
929,NOBLE,BILLINGS,BILLINGS ES,36.5312026,-97.4447271
930,NOBLE,BILLINGS,BILLINGS HS,36.5312026,-97.4447271
931,NOBLE,FRONTIER,FRONTIER ES,36.4591525,-97.1777308
932,NOBLE,FRONTIER,FRONTIER HS,36.4591525,-97.1777308
933,NOBLE,MORRISON,MORRISON ES,36.2917105,-97.0207778
934,NOBLE,MORRISON,MORRISON MS,36.2958554,-97.0084794
935,NOBLE,MORRISON,MORRISON HS,36.2958554,-97.0084794
936,NOWATA,OKLAHOMA UNION,OKLAHOMA UNION ES,36.9945249,-95.6202551
937,NOWATA,OKLAHOMA UNION,OKLAHOMA UNION MS,36.9945249,-95.6202551
938,NOWATA,OKLAHOMA UNION,OKLAHOMA UNION HS,36.9945249,-95.6202551
939,NOWATA,NOWATA,NOWATA ES,36.6968823,-95.6449704
940,NOWATA,NOWATA,NOWATA MS,36.6968823,-95.6449704
941,NOWATA,NOWATA,NOWATA HS,36.6968823,-95.6449704
942,NOWATA,SOUTH COFFEYVILLE,SOUTH COFFEYVILLE ES,36.994341,-95.6200321
943,NOWATA,SOUTH COFFEYVILLE,SOUTH COFFEYVILLE HS,36.994341,-95.6200321
944,OKFUSKEE,BEARDEN,BEARDEN PUBLIC SCHOOL,35.591967,-96.3879725
945,OKFUSKEE,MASON,MASON ES,35.5668319,-96.3515672
946,OKFUSKEE,MASON,MASON HS,35.5668319,-96.3515672
947,OKFUSKEE,PADEN,PADEN ES,35.506101,-96.568216
948,OKFUSKEE,PADEN,PADEN HS,35.506101,-96.568216
949,OKFUSKEE,OKEMAH,OAKES ES,35.4315794,-96.3194982
950,OKFUSKEE,OKEMAH,OKEMAH NOBLE CTR,35.4266899,-96.3022663
951,OKFUSKEE,OKEMAH,OKEMAH MS,35.4266899,-96.3022663
952,OKFUSKEE,OKEMAH,OKEMAH HS,35.4275077,-96.2917934
953,OKFUSKEE,WELEETKA,SPENCE MEMORIAL ES,35.3358034,-96.1398965
954,OKFUSKEE,WELEETKA,WELEETKA JHS,35.3358034,-96.1398965
955,OKFUSKEE,WELEETKA,WELEETKA HS,35.3358034,-96.1398965
956,OKFUSKEE,GRAHAM-DUSTIN,GRAHAM ES,35.337433,-96.1015512
957,OKFUSKEE,GRAHAM-DUSTIN,DUSTIN ES,35.337433,-96.1015512
958,OKFUSKEE,GRAHAM-DUSTIN,GRAHAM HS,35.337433,-96.1015512
959,OKLAHOMA,OAKDALE,OAKDALE PUBLIC SCHOOL,35.5809421,-97.4223221
960,OKLAHOMA,OAKDALE,OAKDALE PUBLIC SCHOOL,35.5809421,-97.4223221
961,OKLAHOMA,OAKDALE,OAKDALE PUBLIC SCHOOL,35.5809421,-97.4223221
962,OKLAHOMA,CRUTCHO,CRUTCHO PUBLIC SCHOOL,35.4938932,-97.4067908
963,OKLAHOMA,OKC CHARTER: INDEPENDENCE MS,INDEPENDENCE CHARTER MS,35.5379855,-97.5733559
964,OKLAHOMA,OKC CHARTER: SEEWORTH ACADEMY,JUSTICE AW SEEWORTH ACADEMY ES,35.5978976,-97.4957378
965,OKLAHOMA,OKC CHARTER: SEEWORTH ACADEMY,JUSTICE AW SEEWORTH ACADEMY ES,35.5978976,-97.4957378
966,OKLAHOMA,OKC CHARTER: SEEWORTH ACADEMY,JUSTICE AW SEEWORTH ACADEMY ES,35.5978976,-97.4957378
967,OKLAHOMA,OKC CHARTER: SEEWORTH ACADEMY,JUSTICE AW SEEWORTH ACADEMY HS,35.5978976,-97.4957378
968,OKLAHOMA,OKC CHARTER: HUPFELD/W VILLAGE,HUPFELD ACAD./WESTERN VILLAGE,35.578802,-97.5399122
969,OKLAHOMA,OKC CHARTER: HARDING CHARTER,HARDING CHARTER PREPARATORY HS,35.5036423,-97.5268396
970,OKLAHOMA,OKC CHARTER: HARDING FINE ARTS,HARDING FINE ARTS ACADEMY,35.5240855,-97.5257395
971,OKLAHOMA,OKC CHARTER: KIPP REACH COLL.,KIPP REACH COLLEGE PREPARATORY,35.47,-97.52
972,OKLAHOMA,OKC CHARTER: KIPP REACH COLL.,KIPP OKC SOUTH COMMUNITY PREP,35.47,-97.52
973,OKLAHOMA,OKC CHARTER: KIPP REACH COLL.,KIPP OKC SOUTH COMMUNITY PREP,35.47,-97.52
974,OKLAHOMA,OKC CHARTER SANTA FE SOUTH,SANTA FE SOUTH EARLY CHILDHOOD,35.4203375,-97.5518874
975,OKLAHOMA,OKC CHARTER SANTA FE SOUTH,SANTA FE SOUTH SPERO ES,35.4165279,-97.5121845
976,OKLAHOMA,OKC CHARTER SANTA FE SOUTH,SANTA FE S PATHWAYS MID COLLEG,35.3876286,-97.5701254
977,OKLAHOMA,OKC CHARTER SANTA FE SOUTH,SANTA FE SOUTH HS,35.5739462,-97.5688965
978,OKLAHOMA,OKC CHARTER SANTA FE SOUTH,SANTA FE SOUTH MS,35.418025,-97.5119994
979,OKLAHOMA,OKC CHARTER SANTA FE SOUTH,SANTA FE SOUTH PENN ES,35.4122309,-97.5485045
980,OKLAHOMA,OKC CHARTER SANTA FE SOUTH,SANTA FE SOUTH HILLS ES,35.426695,-97.504596
981,OKLAHOMA,OKC CHARTER: DOVE SCIENCE ACAD,DOVE SCIENCE ACADEMY ES,35.5209433,-97.5041737
982,OKLAHOMA,OKC CHARTER: DOVE SCIENCE ACAD,DOVE SCIENCE ACADEMY MS,35.4935371,-97.5284305
983,OKLAHOMA,OKC CHARTER: DOVE SCIENCE ACAD,DOVE SCIENCE ACADEMY HS,35.4935371,-97.5284305
984,OKLAHOMA,ASTEC CHARTERS,ASTEC CHARTER MS,35.494113,-97.554485
985,OKLAHOMA,ASTEC CHARTERS,ASTEC CHARTER HS,35.494113,-97.554485
986,OKLAHOMA,JOHN W REX CHARTER ELEMENTARY,JOHN W REX CHARTER ELEMENTARY,35.4658987,-97.5218852
987,OKLAHOMA,EPIC BLENDED LEARNING CHARTER,EPIC BLENDED CHARTER OKC ES,35.5951918,-97.5942063
988,OKLAHOMA,EPIC BLENDED LEARNING CHARTER,EPIC BLENDED CHARTER TULSA ES,35.5951918,-97.5942063
989,OKLAHOMA,EPIC BLENDED LEARNING CHARTER,EPIC BLENDED CHARTER OKC MS,35.5951918,-97.5942063
990,OKLAHOMA,EPIC BLENDED LEARNING CHARTER,EPIC BLENDED CHARTER TULSA MS,35.5951918,-97.5942063
991,OKLAHOMA,EPIC BLENDED LEARNING CHARTER,EPIC BLENDED CHARTER OKC HS,35.5951918,-97.5942063
992,OKLAHOMA,EPIC BLENDED LEARNING CHARTER,EPIC BLENDED CHARTER TULSA HS,35.5951918,-97.5942063
993,OKLAHOMA,PUTNAM CITY,APOLLO ES,35.4888243,-97.6285369
994,OKLAHOMA,PUTNAM CITY,CENTRAL ES,35.5113788,-97.6154278
995,OKLAHOMA,PUTNAM CITY,ARBOR GROVE ES,35.5191796,-97.5937178
996,OKLAHOMA,PUTNAM CITY,CORONADO HEIGHTS ES,35.5299938,-97.5893181
997,OKLAHOMA,PUTNAM CITY,DENNIS ES,35.5872445,-97.6312999
998,OKLAHOMA,PUTNAM CITY,RALPH DOWNS ES,35.5810772,-97.6461421
999,OKLAHOMA,PUTNAM CITY,HARVEST HILLS ES,35.5763844,-97.6603915
1000,OKLAHOMA,PUTNAM CITY,HILLDALE ES,35.487363,-97.6072807
1001,OKLAHOMA,PUTNAM CITY,KIRKLAND EARLY CHILDHOOD CTR,35.5322881,-97.573944
1002,OKLAHOMA,PUTNAM CITY,LAKE PARK ES,35.5013541,-97.6603213
1003,OKLAHOMA,PUTNAM CITY,NORTHRIDGE ES,35.5572548,-97.6664256
1004,OKLAHOMA,PUTNAM CITY,OVERHOLSER ES,35.5072137,-97.6524374
1005,OKLAHOMA,PUTNAM CITY,ROLLINGWOOD ES,35.5360959,-97.6121531
1006,OKLAHOMA,PUTNAM CITY,TULAKES ES,35.5396002,-97.6297351
1007,OKLAHOMA,PUTNAM CITY,WESTERN OAKS ES,35.4925567,-97.6393624
1008,OKLAHOMA,PUTNAM CITY,WILEY POST ES,35.5647425,-97.6341965
1009,OKLAHOMA,PUTNAM CITY,WILL ROGERS ES,35.5956061,-97.6600926
1010,OKLAHOMA,PUTNAM CITY,WINDSOR HILLS ES,35.4991172,-97.6110224
1011,OKLAHOMA,PUTNAM CITY,JAMES L. CAPPS MS,35.5121799,-97.6143
1012,OKLAHOMA,PUTNAM CITY,COOPER MS,35.5429645,-97.6565488
1013,OKLAHOMA,PUTNAM CITY,HEFNER MS,35.557427,-97.6193703
1014,OKLAHOMA,PUTNAM CITY,MAYFIELD MS,35.4847424,-97.6137091
1015,OKLAHOMA,PUTNAM CITY,WESTERN OAKS MS,35.492416,-97.6395075
1016,OKLAHOMA,PUTNAM CITY,PUTNAM CITY HS,35.5216631,-97.6083267
1017,OKLAHOMA,PUTNAM CITY,PUTNAM CITY NORTH HS,35.589694,-97.6376593
1018,OKLAHOMA,PUTNAM CITY,PUTNAM CITY WEST HS,35.4921104,-97.6617222
1019,OKLAHOMA,LUTHER,LUTHER ES,35.6580536,-97.1942289
1020,OKLAHOMA,LUTHER,LUTHER MS,35.6580536,-97.1942289
1021,OKLAHOMA,LUTHER,LUTHER HS,35.6580536,-97.1942289
1022,OKLAHOMA,LUTHER,LUTHER HS,35.6580536,-97.1942289
1023,OKLAHOMA,CHOCTAW-NICOMA PARK,INDIAN MERIDIAN ES,35.4469444,-97.2483493
1024,OKLAHOMA,CHOCTAW-NICOMA PARK,CHOCTAW ES,35.4997004,-97.2713523
1025,OKLAHOMA,CHOCTAW-NICOMA PARK,NICOMA PARK ES,35.4802706,-97.3260876
1026,OKLAHOMA,CHOCTAW-NICOMA PARK,NICOMA PARK INTERMEDIATE ES,35.4816612,-97.3261089
1027,OKLAHOMA,CHOCTAW-NICOMA PARK,JAMES GRIFFITH INTERMEDIATE ES,35.448715,-97.24836
1028,OKLAHOMA,CHOCTAW-NICOMA PARK,L. W. WESTFALL ES,35.4795473,-97.2965185
1029,OKLAHOMA,CHOCTAW-NICOMA PARK,NICOMA PARK MS,35.4826334,-97.3274911
1030,OKLAHOMA,CHOCTAW-NICOMA PARK,CHOCTAW MS,35.4991316,-97.2704278
1031,OKLAHOMA,CHOCTAW-NICOMA PARK,CHOCTAW HS,35.4781373,-97.2792787
1032,OKLAHOMA,DEER CREEK,DEER CREEK ES,35.6367534,-97.6062415
1033,OKLAHOMA,DEER CREEK,PRAIRIE VALE ES,35.7007874,-97.5482286
1034,OKLAHOMA,DEER CREEK,ROSE UNION ES,35.6947856,-97.6105467
1035,OKLAHOMA,DEER CREEK,GROVE VALLEY ES,35.6667357,-97.579037
1036,OKLAHOMA,DEER CREEK,DEER CREEK INTERMEDIATE SCHOOL,35.687887,-97.6207455
1037,OKLAHOMA,DEER CREEK,SPRING CREEK ES,35.627359,-97.6365057
1038,OKLAHOMA,DEER CREEK,DEER CREEK MS,35.7111028,-97.5608604
1039,OKLAHOMA,DEER CREEK,DEER CREEK HS,35.682642,-97.624243
1040,OKLAHOMA,HARRAH,RUSSELL BABB ES,35.4792651,-97.1614339
1041,OKLAHOMA,HARRAH,CLARA REYNOLDS ES,35.4741971,-97.1693456
1042,OKLAHOMA,HARRAH,VIRGINIA SMITH ES,35.4793811,-97.1730913
1043,OKLAHOMA,HARRAH,HARRAH MS,35.4892218,-97.166277
1044,OKLAHOMA,HARRAH,HARRAH MS,35.4892218,-97.166277
1045,OKLAHOMA,HARRAH,HARRAH HS,35.4867369,-97.1707008
1046,OKLAHOMA,JONES,JONES ES,35.5585,-97.3033665
1047,OKLAHOMA,JONES,JONES MS,35.5510869,-97.2468263
1048,OKLAHOMA,JONES,JONES HS,35.5615004,-97.2902092
1049,OKLAHOMA,EDMOND,CLEGERN ES,35.6481525,-97.4766999
1050,OKLAHOMA,EDMOND,RUSSELL DOUGHERTY ES,35.6555619,-97.4786259
1051,OKLAHOMA,EDMOND,IDA FREEMAN ES,35.6573517,-97.490803
1052,OKLAHOMA,EDMOND,NORTHERN HILLS ES,35.6616146,-97.4659436
1053,OKLAHOMA,EDMOND,ORVIS RISNER ES,35.6279719,-97.4754065
1054,OKLAHOMA,EDMOND,SUNSET ES,35.6471684,-97.4890121
1055,OKLAHOMA,EDMOND,WILL ROGERS ES,35.6460897,-97.4647605
1056,OKLAHOMA,EDMOND,CHISHOLM ES,35.6226671,-97.4501711
1057,OKLAHOMA,EDMOND,JOHN ROSS ES,35.6724989,-97.48492
1058,OKLAHOMA,EDMOND,CHARLES HASKELL ES,35.626984,-97.5425375
1059,OKLAHOMA,EDMOND,CROSS TIMBERS ES,35.7045186,-97.4947357
1060,OKLAHOMA,EDMOND,WASHINGTON IRVING ES,35.6559756,-97.5331848
1061,OKLAHOMA,EDMOND,ANGIE DEBO ES,35.6333688,-97.5661719
1062,OKLAHOMA,EDMOND,WEST FIELD ES,35.650267,-97.5510016
1063,OKLAHOMA,EDMOND,CENTENNIAL ES,35.6996519,-97.4414812
1064,OKLAHOMA,EDMOND,FRONTIER ES,35.677032,-97.5473254
1065,OKLAHOMA,EDMOND,HERITAGE ES,35.7095981,-97.4738064
1066,OKLAHOMA,EDMOND,CIMARRON MS,35.6194987,-97.4613655
1067,OKLAHOMA,EDMOND,CHEYENNE MS,35.6832352,-97.4991886
1068,OKLAHOMA,EDMOND,SEQUOYAH MS,35.6680198,-97.4653519
1069,OKLAHOMA,EDMOND,SUMMIT MS,35.6251798,-97.5414667
1070,OKLAHOMA,EDMOND,CENTRAL MS,35.6449524,-97.4727989
1071,OKLAHOMA,EDMOND,HEARTLAND MS,35.6763796,-97.5480272
1072,OKLAHOMA,EDMOND,MEMORIAL HS,35.6382902,-97.4673221
1073,OKLAHOMA,EDMOND,NORTH HS,35.668496,-97.4852648
1074,OKLAHOMA,EDMOND,SANTA FE HS,35.6417492,-97.5090637
1075,OKLAHOMA,MILLWOOD,MILLWOOD ES,35.5401139,-97.4762351
1076,OKLAHOMA,MILLWOOD,MILLWOOD HS,35.5403134,-97.4760357
1077,OKLAHOMA,WESTERN HEIGHTS,COUNCIL GROVE ES,35.4723851,-97.6531679
1078,OKLAHOMA,WESTERN HEIGHTS,JOHN GLENN ES,35.399407,-97.5737323
1079,OKLAHOMA,WESTERN HEIGHTS,GREENVALE ES,35.4767493,-97.6456808
1080,OKLAHOMA,WESTERN HEIGHTS,WINDS WEST ES,35.4252314,-97.660831
1081,OKLAHOMA,WESTERN HEIGHTS,BRIDGESTONE ES,35.4486342,-97.6529396
1082,OKLAHOMA,WESTERN HEIGHTS,WESTERN HEIGHTS MS,35.4219535,-97.6616808
1083,OKLAHOMA,WESTERN HEIGHTS,WESTERN HEIGHTS 9TH GRADE CTR,35.4217002,-97.6592936
1084,OKLAHOMA,WESTERN HEIGHTS,WESTERN HEIGHTS HS,35.4217002,-97.6592936
1085,OKLAHOMA,MIDWEST CITY-DEL CITY,BARNES ES,35.407223,-97.341317
1086,OKLAHOMA,MIDWEST CITY-DEL CITY,CLEVELAND BAILEY ES,35.4734799,-97.4123372
1087,OKLAHOMA,MIDWEST CITY-DEL CITY,COUNTRY ESTATES ES,35.4553844,-97.3958948
1088,OKLAHOMA,MIDWEST CITY-DEL CITY,DEL CITY ES,35.4409427,-97.4369806
