09I034135,ROSE WITCHER ELEMENTARY,40021.5174
09I034510,LESLIE F. ROBLYER MIDDLE SCHOOL,43708.1504
09I034610,ETTA DALE JR HIGH SCHOOL,45062.6791
09I034705,EL RENO HIGH SCHOOL,43022.4394
09I057105,UNION CITY ELEMENTARY,43175.6667
09I057705,UNION CITY HIGH SCHOOL,41544.8789
09I069105,MUSTANG ELEMENTARY,42294.7609
09I069110,MUSTANG VALLEY ELEMENTARY,44339.1586
09I069115,MUSTANG LAKEHOMA ELEMENTARY,47468.0635
09I069120,MUSTANG TRAILS ELEMENTARY,44997.5163
09I069125,MUSTANG CREEK ELEMENTARY,43793.6873
09I069130,MUSTANG EDUCATION CTR,41929.4444
09I069135,MUSTANG CENTENNIAL ELEMENTARY,44089.3397
09I069140,MUSTANG HORIZON INTERMEDIATE ELEMENTARY SCHOOL,44288.292
09I069145,CANYON RIDGE INTERMEDIATE ELEMENTARY SCHOOL,44216.5503
09I069150,PRAIRIE VIEW ELEMENTARY SCHOOL,44988.1165
09I069505,MUSTANG MIDDLE SCHOOL,45049.0605
09I069510,MUSTANG NORTH MIDDLE SCHOOL,45422.2168
09I069705,MUSTANG HIGH SCHOOL,47233.3008
09I076105,CALUMET ELEMENTARY,40292.5941
09I076610,CALUMET JR HIGH SCHOOL,36787.7462
09I076705,CALUMET HIGH SCHOOL,41235.2848
10C072105,ZANEIS ELEMENTARY,42248.5133
10I019110,CHARLES EVANS ELEMENTARY,41312.6323
10I019120,JEFFERSON ELEMENTARY,44008.0763
10I019125,LINCOLN ELEMENTARY,42843.1956
10I019135,WILL ROGERS ELEMENTARY,42539.5578
10I019505,ARDMORE MIDDLE SCHOOL,44009.097
10I019705,ARDMORE HIGH SCHOOL,43643.6869
10I021105,SPRINGER ELEMENTARY,39830.4733
10I021705,SPRINGER HIGH SCHOOL,42341.2909
10I027105,PLAINVIEW PRIMARY ELEMENTARY,44023.091
10I027110,PLAINVIEW INTERMEDIATE ELEMENTARY SCHOOL,42499.2707
10I027505,PLAINVIEW MIDDLE SCHOOL,42948.9526
10I027705,PLAINVIEW HIGH SCHOOL,44579.0797
10I032105,LONE GROVE INTERMEDIATE SCHOOL,42036.3667
10I032110,LONE GROVE PRIMARY ELEMENTARY,39381.6298
10I032505,LONE GROVE MIDDLE SCHOOL,41601.2872
10I032705,LONE GROVE HIGH SCHOOL,43100.1926
10I043105,WILSON ELEMENTARY,41976.7358
10I043705,WILSON HIGH SCHOOL,44483.6
10I055105,HEALDTON ELEMENTARY,41590.5319
10I055505,HEALDTON MIDDLE SCHOOL,45415.8447
10I055705,HEALDTON HIGH SCHOOL,47108.4108
10I074105,FOX ELEMENTARY,43213.3333
10I074705,FOX HIGH SCHOOL,47654.6909
10I077105,DICKSON ELEMENTARY,42915.8628
10I077110,DICKSON UPPER ELEMENTARY,38314.6257
10I077510,DICKSON MIDDLE SCHOOL,40453.6808
10I077705,DICKSON HIGH SCHOOL,42680.6412
11C010105,LOWREY ELEMENTARY,44094.898
11C014105,NORWOOD ELEMENTARY,42219.0229
11C021105,WOODALL ELEMENTARY,49018.5137
11C026105,SHADY GROVE ELEMENTARY,45398.5838
11C031105,PEGGS ELEMENTARY,46158.2514
11C034105,GRAND VIEW ELEMENTARY,43978.6147
11C044105,BRIGGS ELEMENTARY,47558.3658
11C066105,TENKILLER ELEMENTARY,47073.9692
11I006105,KEYS ELEMENTARY,44029.6364
11I006705,KEYS HIGH SCHOOL,47387.1401
11I016105,HULBERT ELEMENTARY,42971.6842
11I016615,HULBERT JR HIGH SCHOOL,42787.5
11I016715,HULBERT SR HIGH SCHOOL,40751.2908
11I035115,SEQUOYAH ELEMENTARY,44345.7419
11I035210,CHEROKEE ELEMENTARY SCHOOL,42485.3191
11I035212,GREENWOOD ELEMENTARY SCHOOL,43783.9661
11I035225,HERITAGE ELEMENTARY SCHOOL,42575.7841
