RecordNumber,YR,SchoolCode,DistrictCode,Site,Avgincome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS
14683,2016,26I056715,26I056,"ALEX HIGH SCHOOL",61468.19,281649.03,0.04,0.15,0.14,0.707,0.14,0.72,0.13
11836,2014,58I018105,58I018,"ALEXANDER ELEMENTARY",38546.00,24702.00,0.13,0.27,0.46,0.810,0.09,0.66,0.24
13599,2015,58I018105,58I018,"ALEXANDER ELEMENTARY",38758.16,27586.58,0.14,0.25,0.46,0.768,0.09,0.68,0.23
15358,2016,58I018105,58I018,"ALEXANDER ELEMENTARY",38429.82,25304.12,0.13,0.27,0.43,0.780,0.10,0.67,0.23
11523,2014,51I020505,51I020,"ALICE ROBERTSON JR HIGH SCHOOL",45115.00,42486.00,0.09,0.29,0.47,0.790,0.18,0.65,0.17
13292,2015,51I020505,51I020,"ALICE ROBERTSON JR HIGH SCHOOL",47777.43,43516.30,0.09,0.27,0.45,0.819,0.19,0.65,0.16
15050,2016,51I020505,51I020,"ALICE ROBERTSON JR HIGH SCHOOL",46758.25,45526.05,0.09,0.27,0.46,0.853,0.18,0.66,0.16
11393,2014,44I004105,44I004,"ALINE-CLEO ELEMENTARY",66069.00,104785.00,0.05,0.11,0.41,0.590,0.17,0.73,0.09
13162,2015,44I004105,44I004,"ALINE-CLEO ELEMENTARY",70875.17,122989.51,0.04,0.11,0.36,0.551,0.14,0.77,0.09
14922,2016,44I004105,44I004,"ALINE-CLEO ELEMENTARY",71366.37,114406.08,0.04,0.11,0.30,0.490,0.12,0.79,0.09
11394,2014,44I004705,44I004,"ALINE-CLEO HIGH SCHOOL",66069.00,104785.00,0.05,0.11,0.41,0.540,0.17,0.73,0.09
13163,2015,44I004705,44I004,"ALINE-CLEO HIGH SCHOOL",70875.17,122989.51,0.04,0.11,0.36,0.478,0.14,0.77,0.09
14923,2016,44I004705,44I004,"ALINE-CLEO HIGH SCHOOL",71366.37,114406.08,0.04,0.11,0.30,0.760,0.12,0.79,0.09
11920,2014,62I001105,62I001,"ALLEN ELEMENTARY",53273.00,50435.00,0.08,0.15,0.24,0.700,0.14,0.67,0.19
13682,2015,62I001105,62I001,"ALLEN ELEMENTARY",57717.61,49274.93,0.08,0.17,0.28,0.675,0.13,0.69,0.18
15439,2016,62I001105,62I001,"ALLEN ELEMENTARY",59029.06,48125.12,0.08,0.17,0.24,0.787,0.16,0.71,0.13
11921,2014,62I001705,62I001,"ALLEN HIGH SCHOOL",53273.00,50435.00,0.08,0.15,0.24,0.620,0.14,0.67,0.19
13683,2015,62I001705,62I001,"ALLEN HIGH SCHOOL",57717.61,49274.93,0.08,0.17,0.28,0.790,0.13,0.69,0.18
15440,2016,62I001705,62I001,"ALLEN HIGH SCHOOL",59029.06,48125.12,0.08,0.17,0.24,0.921,0.16,0.71,0.13
11003,2014,19C035105,19C035,"ALLEN-BOWDEN ELEMENTARY",64146.00,48016.00,0.09,0.05,0.21,0.820,0.12,0.70,0.18
12771,2015,19C035105,19C035,"ALLEN-BOWDEN ELEMENTARY",67802.66,51504.87,0.07,0.07,0.17,0.843,0.13,0.71,0.16
14530,2016,19C035105,19C035,"ALLEN-BOWDEN ELEMENTARY",61915.75,50670.22,0.06,0.08,0.19,0.782,0.13,0.71,0.16
10941,2014,16I008106,16I008,"ALMOR WEST ELEMENTARY",54385.00,28862.00,0.10,0.19,0.48,0.540,0.19,0.69,0.12
12710,2015,16I008106,16I008,"ALMOR WEST ELEMENTARY",55193.79,29845.71,0.10,0.20,0.47,0.619,0.20,0.69,0.11
14474,2016,16I008106,16I008,"ALMOR WEST ELEMENTARY",55235.61,30828.06,0.09,0.20,0.43,0.641,0.20,0.69,0.11
11223,2014,33I018705,33I018,"ALTUS HIGH SCHOOL",55217.00,27049.00,0.09,0.17,0.35,0.490,0.18,0.64,0.17
12992,2015,33I018705,33I018,"ALTUS HIGH SCHOOL",53695.28,28924.39,0.08,0.16,0.34,0.508,0.18,0.63,0.19
14751,2016,33I018705,33I018,"ALTUS HIGH SCHOOL",52345.98,30131.43,0.09,0.18,0.36,0.490,0.18,0.62,0.20
11221,2014,33I018145,33I018,"ALTUS INTERMEDIATE SCHOOL",55217.00,27049.00,0.09,0.17,0.35,0.670,0.18,0.64,0.17
12990,2015,33I018145,33I018,"ALTUS INTERMEDIATE SCHOOL",53695.28,28924.39,0.08,0.16,0.34,0.689,0.18,0.63,0.19
14749,2016,33I018145,33I018,"ALTUS INTERMEDIATE SCHOOL",52345.98,30131.43,0.09,0.18,0.36,0.692,0.18,0.62,0.20
11222,2014,33I018625,33I018,"ALTUS JR HIGH SCHOOL",55217.00,27049.00,0.09,0.17,0.35,0.640,0.18,0.64,0.17
12991,2015,33I018625,33I018,"ALTUS JR HIGH SCHOOL",53695.28,28924.39,0.08,0.16,0.34,0.632,0.18,0.63,0.19
14750,2016,33I018625,33I018,"ALTUS JR HIGH SCHOOL",52345.98,30131.43,0.09,0.18,0.36,0.623,0.18,0.62,0.20
12369,2014,76I001705,76I001,"ALVA HIGH SCHOOL",62215.00,117920.00,0.04,0.17,0.25,0.450,0.29,0.60,0.11
14131,2015,76I001705,76I001,"ALVA HIGH SCHOOL",64496.90,148432.62,0.04,0.17,0.27,0.323,0.29,0.61,0.11
15892,2016,76I001705,76I001,"ALVA HIGH SCHOOL",69748.50,157499.50,0.03,0.17,0.25,0.447,0.30,0.58,0.11
12368,2014,76I001505,76I001,"ALVA MIDDLE SCHOOL",62215.00,117920.00,0.04,0.17,0.25,0.570,0.29,0.60,0.11
14130,2015,76I001505,76I001,"ALVA MIDDLE SCHOOL",64496.90,148432.62,0.04,0.17,0.27,0.555,0.29,0.61,0.11
15891,2016,76I001505,76I001,"ALVA MIDDLE SCHOOL",69748.50,157499.50,0.03,0.17,0.25,0.524,0.30,0.58,0.11
11168,2014,26I128105,26I128,"AMBER-POCASSET ELEMENTARY",68700.00,65984.00,0.04,0.10,0.18,0.610,0.21,0.63,0.17
