RecordNumber,Yr,County,DistrictName,DistrictCode,DistrictPop,AvgIncome,AvgPropVal,Unemployment,Poverty,SingleParentFam,StdntOffdr,OffnsOffdr,NCNTGang,CollegeEd,HSDiploma,BelowHS,FRL
3713,2015,BEAVER,BALKO,04I075,845,69039.46,234901.93,0.01,0.06,0.20,0.2,0.7,0.10,151.00,2.00,0.00,0.344
3712,2015,BEAVER,BEAVER,04I022,1880,70014.65,77039.12,0.01,0.06,0.18,0.2,0.7,0.18,196.50,1.00,0.00,0.578
3194,2014,BEAVER,BEAVER,04I022,1794,68555.47,75030.01,0.01,0.09,0.32,74.2,1.2,0.00,0.66,0.18,0.16,0.553
4229,2016,BEAVER,BEAVER,04I022,2004,72320.85,81146.73,0.02,0.07,0.17,369.0,1.0,0.00,0.19,0.61,0.20,0.594
4231,2016,BEAVER,FORGAN,04I123,603,65148.84,202952.53,0.03,0.17,0.43,41.0,1.5,0.00,0.24,0.67,0.09,0.585
3714,2015,BEAVER,FORGAN,04I123,739,59568.82,235562.19,0.06,0.20,0.26,0.2,0.6,0.15,0.00,0.00,0.00,0.486
3196,2014,BEAVER,FORGAN,04I123,853,64411.97,205484.52,0.08,0.18,0.18,0.0,0.0,0.00,0.64,0.17,0.19,0.474
3197,2014,BEAVER,TURPIN,04I128,2033,66715.94,90766.86,0.08,0.12,0.09,84.8,11.4,0.00,0.66,0.19,0.16,0.580
4232,2016,BEAVER,TURPIN,04I128,1916,65309.19,77370.50,0.05,0.13,0.19,223.5,2.0,0.00,0.14,0.64,0.22,0.600
3715,2015,BEAVER,TURPIN,04I128,2033,64576.59,81538.58,0.05,0.11,0.19,0.1,0.6,0.23,215.50,1.00,0.00,0.589
3717,2015,BECKHAM,"ELK CITY",05I006,11887,70729.71,47634.49,0.03,0.13,0.42,0.2,0.7,0.16,78.90,2.00,2.00,0.650
3199,2014,BECKHAM,"ELK CITY",05I006,12228,64128.85,45990.00,0.04,0.15,0.45,119.8,1.7,2.00,0.66,0.17,0.17,0.505
4234,2016,BECKHAM,"ELK CITY",05I006,11801,70102.92,53130.32,0.04,0.13,0.41,178.9,2.5,1.00,0.18,0.65,0.17,0.584
4236,2016,BECKHAM,ERICK,05I051,1515,51438.31,44548.82,0.01,0.24,0.20,54.8,2.2,0.00,0.13,0.67,0.20,0.537
3719,2015,BECKHAM,ERICK,05I051,1281,49027.21,44660.57,0.02,0.30,0.16,0.1,0.7,0.18,32.25,1.50,0.00,0.457
3201,2014,BECKHAM,ERICK,05I051,1279,46846.01,37877.22,0.01,0.27,0.14,262.0,3.0,0.00,0.72,0.16,0.12,0.481
3198,2014,BECKHAM,MERRITT,05I002,2474,110200.92,67217.64,0.02,0.12,0.27,185.0,1.5,0.00,0.69,0.11,0.21,0.595
4233,2016,BECKHAM,MERRITT,05I002,3433,115205.69,63890.27,0.03,0.06,0.16,789.0,1.0,0.00,0.24,0.70,0.07,0.667
3716,2015,BECKHAM,MERRITT,05I002,2949,113415.04,70363.03,0.05,0.09,0.21,0.2,0.7,0.08,198.25,1.25,0.00,0.639
3718,2015,BECKHAM,SAYRE,05I031,6475,58940.33,114268.53,0.02,0.19,0.37,0.2,0.6,0.20,60.54,1.85,0.00,0.518
3200,2014,BECKHAM,SAYRE,05I031,6417,59001.74,111985.75,0.02,0.14,0.34,71.2,3.9,0.00,0.63,0.23,0.14,0.533
4235,2016,BECKHAM,SAYRE,05I031,6124,62403.93,107282.12,0.02,0.17,0.36,125.2,2.0,0.00,0.14,0.64,0.22,0.662
4240,2016,BLAINE,CANTON,06I105,1692,63316.90,134683.84,0.07,0.17,0.25,0.0,0.0,0.00,0.19,0.69,0.12,0.609
3723,2015,BLAINE,CANTON,06I105,1897,58610.38,126879.06,0.08,0.11,0.32,0.1,0.7,0.19,203.50,2.00,0.00,0.592
3205,2014,BLAINE,CANTON,06I105,1920,56893.05,88346.82,0.09,0.09,0.29,193.5,4.5,0.00,0.67,0.16,0.16,0.631
3204,2014,BLAINE,GEARY,06I080,1909,58544.00,98215.81,0.07,0.24,0.46,418.0,1.0,0.00,0.70,0.13,0.17,0.837
4239,2016,BLAINE,GEARY,06I080,1844,61355.33,110914.94,0.09,0.20,0.42,135.0,5.3,0.00,0.21,0.67,0.12,0.931
3722,2015,BLAINE,GEARY,06I080,1969,58442.61,105469.32,0.07,0.21,0.39,0.2,0.7,0.14,138.33,1.67,0.00,0.831
3720,2015,BLAINE,OKEENE,06I009,1585,57712.75,66972.55,0.02,0.08,0.24,0.2,0.7,0.13,333.00,2.00,0.00,0.577
3202,2014,BLAINE,OKEENE,06I009,1599,56228.10,63014.23,0.02,0.05,0.20,323.0,1.0,0.00,0.71,0.12,0.18,0.564
4237,2016,BLAINE,OKEENE,06I009,1431,56344.17,76510.06,0.02,0.09,0.32,329.0,3.0,0.00,0.19,0.67,0.13,0.587
