Year,CountyCode,DistrictCode,SiteCode,SchoolCode,DistrictName,SchoolName,ReportCardType,Performance_Multiplier,SchoolName,ELA_ExamCount_bq,ELA_GrowthIndex_bq,ELA_LetterGradeas_bq,Math_ExamCount_bq,Math_GrowthIndex_bq,Math_LetterGrade_bq,OverallExamCount_bq,OverallGrowthIndex_bq,OverallLetterGrade_bq,AttendenceRate,AttendenceRate_Bonus,DropOutRate,DropOutRate_Bonus,AP_participationIndex,AP_PerformanceIndex,AP_Bonus,GradRate,GradRate_Bonus,LowPerfm_Grade8,LowPerfm_Grade8_Bonus,CollegeEntranceExam_Participation,CollegeEntranceExam_Performance,CollegeEntranceExam_Bonus,EOIPerformanceRate,EOIPerformanceRate_Bonus,AchievedGrowthTarget,AchievedGrowthTarget_Bonus,OverallParticipation_County,OverallPArticipation_Rate,ELA_ExamCounty,ELA_GrowthIndex,ELA_LetterGrade,Math_ExamCounty,Math_GrowthIndex,Math_LetterGrade,Science_ExamCounty,Science_GrowthIndex,Science_LetterGrade,SocialStudies_ExamCounty,SocialStudies_GrowthIndex,SocialStudies_LetterGrade,Writing_ExamCounty,Writing_GrowthIndex,Writing_LetterGrade,Overall_ExamCounty,Overall_GrowthIndex,Overall_LetterGrade,ReportCardType,Performance_Multiplier,GrowthMultiplier,BottomGrowth_Multiplier,TotalBonusPoints,OveralSchoolGrade,OverallLetterGrade,DistrictCode,Grade_Group
2016,62,I019,105,62I019105,ADA,"ADA EC CTR",NULL,NULL,"ADA EC CTR",45,36,"F    ",45,49,"F    ",90,42,"F    ",0.94,10,N/A,0,N/A,N/A,0,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,770,1.00,185,75,C,185,74,C,NULL,NULL,,NULL,NULL,,NULL,NULL,,370,75,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,62,I019,705,62I019705,ADA,"ADA HS",NULL,NULL,"Ada HS",31,81,"B    ",NULL,NULL,NULL,31,81,"B    ",NULL,NULL,NULL,NULL,0.81,0.66,1,0.87,0,0.79,0,0.75,0.47,1,0.71,0,4,1,809,1.00,285,86,B,264,66,D,117,32,F,136,84,B,NULL,NULL,NULL,802,71,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,62,I019,705,62I019705,ADA,"ADA HS","High School",50,"ADA HS",36,69,"D    ",N/A,N/A,N/A,36,69,"D    ",,0,,0,"> 0.95","> 0.95",1,0.79,0,0.66,0,0.76,0.51,1,0.71,0,2,0,797,0.99,291,83,B,260,68,D,120,29,F,132,67,D,0,0,N/,803,67,D,"High School",50,25,25,2,75,C,62I019,C
2016,62,I019,705,62I019705,ADA,"ADA HS",NULL,NULL,"ADA HS",NULL,NULL,"F    ",NULL,NULL,NULL,47,55,"F    ",N/A,0,N/A,0,"> 0.95","> 0.95",1,0.84,0,0.81,0,0.76,0.59,1,0.56,0,4,1,892,0.99,183,79,C,11,82,B,NULL,NULL,,NULL,NULL,,NULL,NULL,,194,79,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,62,I019,610,62I019610,ADA,"ADA JHS",NULL,NULL,"Ada JHS",82,59,"F    ",110,70,"C    ",192,65,"D    ",0.94,6,0.05,2,0.95,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1603,1.00,353,73,C,515,71,C,229,50,F,NULL,NULL,F,NULL,NULL,NULL,1299,65,D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,62,I019,610,62I019610,ADA,"ADA JHS","Middle School",50,"ADA JHS",76,50,"F    ",119,60,"D    ",195,56,"F    ",0.94,6,"< 0.05",2,0.77,,2,,0,0.00,0,,0.00,0,0.00,0,0,0,1597,0.99,318,78,C,499,73,C,197,60,D,319,54,F,0,0,N/,1333,68,D,"Middle School",50,25,25,10,79,C+,62I019,C
2016,62,I019,610,62I019610,ADA,"ADA JHS",NULL,NULL,"ADA JHS",81,53,"F    ",116,60,"D    ",197,57,"F    ","> 0.95",6,"< 0.05",2,"> 0.95",N/A,2,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,1460,0.99,327,80,B,468,84,B,NULL,NULL,,NULL,NULL,,NULL,NULL,,795,82,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,62,I019,110,62I019110,ADA,"HAYES ES",NULL,NULL,"Hayes ES",37,62,"D    ",39,64,"D    ",76,63,"D    ",0.95,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,345,67,D,345,65,D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,690,66,D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,62,I019,110,62I019110,ADA,"HAYES ES",Elementary,50,"HAYES ES",39,51,"F    ",39,26,"F    ",78,38,"F    ",0.95,10,,0,,,0,,0,0.00,0,,0.00,0,0.00,0,0,0,756,1.00,357,71,C,357,64,D,0,0,N/,0,0,N/,0,0,N/,714,68,D,Elementary,50,25,25,10,71,C-,62I019,C
2016,62,I019,110,62I019110,ADA,"HAYES ES",NULL,NULL,"HAYES ES",45,36,"F    ",45,49,"F    ",90,42,"F    ","> 0.95",10,N/A,0,N/A,N/A,0,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,770,1.00,185,75,C,185,74,C,NULL,NULL,,NULL,NULL,,NULL,NULL,,370,75,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,62,I019,125,62I019125,ADA,"WASHINGTON ES",NULL,NULL,"Washington ES",37,62,"D    ",39,64,"D    ",76,63,"D    ",0.95,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,742,1.00,345,67,D,345,65,D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,690,66,D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,62,I019,125,62I019125,ADA,"WASHINGTON ES",Elementary,50,"WASHINGTON ES",39,51,"F    ",39,26,"F    ",78,38,"F    ",0.95,10,,0,,,0,,0,0.00,0,,0.00,0,0.00,0,0,0,756,1.00,357,71,C,357,64,D,0,0,N/,0,0,N/,0,0,N/,714,68,D,Elementary,50,25,25,10,71,C-,62I019,C
2016,62,I019,125,62I019125,ADA,"WASHINGTON ES",NULL,NULL,"WASHINGTON ES",45,36,"F    ",45,49,"F    ",90,42,"F    ","> 0.95",10,N/A,0,N/A,N/A,0,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,770,1.00,185,75,C,185,74,C,NULL,NULL,,NULL,NULL,,NULL,NULL,,370,75,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,62,I019,130,62I019130,ADA,"WILLARD ES",NULL,NULL,"Willard ES",76,50,"F    ",77,36,"F    ",153,43,"F    ",0.95,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1331,0.99,346,68,D,345,64,D,176,63,D,NULL,NULL,B,NULL,NULL,NULL,1049,68,D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,62,I019,130,62I019130,ADA,"WILLARD ES",Elementary,50,"WILLARD ES",88,50,"F    ",87,57,"F    ",175,54,"F    ","> 0.95",10,,0,,,0,,0,0.00,0,,0.00,0,0.00,0,0,0,1360,0.99,364,72,C,364,70,C,177,56,F,177,82,B,0,0,N/,1082,70,C,Elementary,50,25,25,10,78,C+,62I019,C
2016,62,I019,130,62I019130,ADA,"WILLARD ES",NULL,NULL,"WILLARD ES",72,54,"F    ",72,50,"F    ",144,52,"F    ","> 0.95",10,N/A,0,N/A,N/A,0,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,971,0.99,292,74,C,293,76,C,NULL,NULL,,NULL,NULL,,NULL,NULL,,585,75,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,46,I002,705,46I002705,ADAIR,"ADAIR HS",NULL,NULL,"Adair HS",14,100,"A    ",17,100,"A    ",31,100,"A    ",NULL,NULL,NULL,NULL,0.5,0.87,0,0.91,5,0.88,1,0.91,0.60,1,0.77,0,4,1,481,1.00,137,96,A,192,97,A,71,79,C,64,88,B,NULL,NULL,NULL,464,93,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,46,I002,705,46I002705,ADAIR,"ADAIR HS","High School",50,"ADAIR HS",16,75,"C    ",15,100,"A    ",31,87,"B    ",,0,,0,0.43,"> 0.95",1,"> 0.95",5,0.92,1,0.91,0.67,1,0.83,1,5,1,490,0.99,139,88,B,188,97,A,76,57,F,67,82,B,0,0,N/,470,86,B,"High School",50,25,25,10,99,A+,46I002,A
2016,46,I002,705,46I002705,ADAIR,"ADAIR HS",NULL,NULL,"ADAIR HS",16,25,"F    ",16,81,"B    ",32,53,"F    ",N/A,0,N/A,0,0.37,0.95,1,0.94,5,0.71,0,0.82,0.59,1,0.84,1,4,1,490,0.99,64,78,C,69,96,A,NULL,NULL,,NULL,NULL,,NULL,NULL,,133,87,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,46,I002,505,46I002505,ADAIR,"ADAIR MS",NULL,NULL,"Adair MS",44,52,"F    ",44,73,"C    ",88,63,"D    ",0.95,6,0.05,2,0.05,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,674,1.00,208,76,C,208,81,B,73,63,D,71,75,C,NULL,NULL,NULL,560,76,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,46,I002,505,46I002505,ADAIR,"ADAIR MS","Middle School",50,"ADAIR MS",48,50,"F    ",48,33,"F    ",96,42,"F    ","> 0.95",6,"< 0.05",2,0.17,,0,,0,0.00,0,,0.00,0,0.00,0,0,0,722,1.00,199,77,C,199,71,C,78,73,C,137,72,C,0,0,N/,613,74,C,"Middle School",50,25,25,8,75,C,46I002,C
2016,46,I002,505,46I002505,ADAIR,"ADAIR MS",NULL,NULL,"ADAIR MS",43,65,"D    ",43,40,"F    ",86,52,"F    ","> 0.95",6,"< 0.05",2,0.25,N/A,0,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,591,1.00,177,86,B,177,80,B,NULL,NULL,,NULL,NULL,,NULL,NULL,,354,83,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,46,I002,105,46I002105,ADAIR,"BERNITA HUGHES ES",NULL,NULL,"Bernita Hughes ES",27,63,"D    ",27,81,"B    ",54,72,"C    ",0.95,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,634,1.00,202,82,B,202,88,B,62,63,D,62,84,B,NULL,NULL,NULL,528,82,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,46,I002,105,46I002105,ADAIR,"BERNITA HUGHES ES",Elementary,50,"BERNITA HUGHES ES",34,47,"F    ",34,59,"F    ",68,53,"F    ","> 0.95",10,,0,,,0,,0,0.00,0,,0.00,0,0.00,0,0,0,695,1.00,214,82,B,214,87,B,73,78,C,73,90,A,0,0,N/,574,84,B,Elementary,50,25,25,10,86,B,46I002,B
2016,46,I002,105,46I002105,ADAIR,"BERNITA HUGHES ES",NULL,NULL,"BERNITA HUGHES ES",33,88,"B    ",33,91,"A    ",66,89,"B    ","> 0.95",10,N/A,0,N/A,N/A,0,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,584,1.00,137,95,A,137,98,A,NULL,NULL,,NULL,NULL,,NULL,NULL,,274,96,A,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,58,I026,105,58I026105,AFTON,"AFTON ES",NULL,NULL,"Afton ES",40,45,"F    ",41,59,"F    ",81,52,"F    ",0.95,6,0.05,2,0.14,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,741,1.00,207,68,D,207,55,F,87,61,D,87,67,D,NULL,NULL,NULL,588,62,D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,58,I026,105,58I026105,AFTON,"AFTON ES","Middle School",50,"AFTON ES",43,60,"D    ",42,55,"F    ",85,58,"F    ","> 0.95",6,"< 0.05",2,0.12,,0,,0,0.00,0,,0.00,0,0.00,0,0,0,744,0.99,224,60,D,223,54,F,76,51,F,113,67,D,0,0,N/,636,58,F,"Middle School",50,25,25,8,67,D+,58I026,D
2016,58,I026,105,58I026105,AFTON,"AFTON ES",NULL,NULL,"AFTON ES",41,73,"C    ",41,90,"A    ",82,82,"B    ","> 0.95",6,"< 0.05",2,0.54,N/A,2,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,629,1.00,166,75,C,166,75,C,NULL,NULL,,NULL,NULL,,NULL,NULL,,332,75,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,58,I026,705,58I026705,AFTON,"AFTON HS",NULL,NULL,"Afton HS",NULL,NULL,NULL,NULL,NULL,NULL,14,64,"D    ",NULL,NULL,NULL,NULL,0.45,0.94,1,0.88,0,0.85,1,0.51,0.35,0,0.64,0,3,1,289,1.00,76,84,B,120,43,F,30,60,D,37,70,C,NULL,NULL,NULL,263,61,D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,58,I026,705,58I026705,AFTON,"AFTON HS","High School",50,"AFTON HS",,,,,,"A    ",17,94,"A    ",,0,,0,0.74,0.95,1,0.93,5,0.89,1,0.53,0.40,0,0.38,0,3,1,244,1.00,70,86,B,133,75,C,41,56,F,40,65,D,0,0,N/,284,74,C,"High School",50,25,25,8,92,A-,58I026,A
2016,58,I026,705,58I026705,AFTON,"AFTON HS",NULL,NULL,"AFTON HS",11,64,"D    ",10,90,"A    ",21,76,"C    ",N/A,0,N/A,0,0.59,"> 0.95",1,0.89,0,0.83,0,0.59,0.57,0,0.38,0,2,0,231,0.99,45,89,B,41,88,B,NULL,NULL,,NULL,NULL,,NULL,NULL,,86,88,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,41,I134,105,41I134105,AGRA,"AGRA ES",NULL,NULL,"Agra ES",37,46,"F    ",37,32,"F    ",74,39,"F    ",0.95,6,0.05,2,0.05,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,621,0.99,195,63,D,194,52,F,56,46,F,56,70,C,NULL,NULL,NULL,501,57,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,41,I134,105,41I134105,AGRA,"AGRA ES","Middle School",50,"AGRA ES",35,51,"F    ",35,31,"F    ",70,41,"F    ",0.95,6,"< 0.05",2,"< 0.05",,0,,0,0.00,0,,0.00,0,0.00,0,0,0,582,1.00,173,60,D,173,53,F,61,57,F,91,56,F,0,0,N/,498,56,F,"Middle School",50,25,25,8,63,D,41I134,D
2016,41,I134,105,41I134105,AGRA,"AGRA ES",NULL,NULL,"AGRA ES",26,42,"F    ",26,35,"F    ",52,38,"F    ",0.94,6,"< 0.05",2,"< 0.05",N/A,0,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,412,0.97,107,70,C,106,62,D,NULL,NULL,,NULL,NULL,,NULL,NULL,,213,66,D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,41,I134,705,41I134705,AGRA,"AGRA HS",NULL,NULL,"Agra HS",NULL,NULL,NULL,NULL,NULL,NULL,12,100,"A    ",NULL,NULL,NULL,NULL,0.58,0.95,1,0.95,5,0.95,1,0.79,0.32,1,0.59,0,4,1,188,0.97,47,91,A,78,74,C,NULL,NULL,D,NULL,NULL,NULL,NULL,NULL,NULL,164,77,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,41,I134,705,41I134705,AGRA,"AGRA HS","High School",50,"AGRA HS",,,,,,,12,75,"C    ",,0,,0,0.48,"> 0.95",1,"> 0.95",5,0.00,1,0.35,0.33,0,0.54,0,3,1,229,0.99,53,91,A,88,69,D,48,42,F,32,84,B,0,0,N/,221,71,C,"High School",50,25,25,8,84,B,41I134,B
2016,41,I134,705,41I134705,AGRA,"AGRA HS",NULL,NULL,"AGRA HS",NULL,NULL,NULL,NULL,NULL,NULL,10,70,"C    ",N/A,0,N/A,0,0.37,"> 0.95",1,0.81,0,0.67,0,0.58,0.44,0,0.53,0,2,0,149,0.99,21,81,B,22,82,B,NULL,NULL,,NULL,NULL,,NULL,NULL,,43,81,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,64,C002,105,64C002105,ALBION,"ALBION PUBLIC SCHOOL",NULL,NULL,"Albion Public School",NULL,NULL,NULL,NULL,NULL,NULL,10,70,"C    ",0.95,6,0.05,2,0.05,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,96,0.98,34,44,F,34,26,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84,35,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,64,C002,105,64C002105,ALBION,"ALBION PUBLIC SCHOOL","Middle School",50,"ALBION PUBLIC SCHOOL",,,,,,,12,25,"F    ",0.94,6,"< 0.05",2,"< 0.05",,0,,0,0.00,0,,0.00,0,0.00,0,0,0,125,0.92,38,42,F,38,34,F,0,0,**,0,0,**,0,0,N/,92,36,F,"Middle School",50,25,25,8,43,F,64C002,F
2016,64,C002,105,64C002105,ALBION,"ALBION PUBLIC SCHOOL",NULL,NULL,"ALBION PUBLIC SCHOOL",NULL,NULL,NULL,NULL,NULL,NULL,10,70,"C    ","> 0.95",6,"< 0.05",2,"> 0.95",N/A,2,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,115,0.95,22,73,C,22,77,C,NULL,NULL,,NULL,NULL,,NULL,NULL,,44,75,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,26,I056,105,26I056105,ALEX,"ALEX ES",NULL,NULL,"Alex ES",24,50,"F    ",24,63,"D    ",48,56,"F    ",0.95,6,0.05,2,0.43,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,436,1.00,133,53,F,133,64,D,46,20,F,46,61,D,NULL,NULL,NULL,358,54,F,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,26,I056,105,26I056105,ALEX,"ALEX ES","Middle School",50,"ALEX ES",25,60,"D    ",26,65,"D    ",51,63,"D    ",0.95,6,"< 0.05",2,0.72,,2,,0,0.00,0,,0.00,0,0.00,0,0,0,449,0.99,121,71,C,122,69,D,49,55,F,71,65,D,0,0,N/,363,67,D,"Middle School",50,25,25,10,79,C+,26I056,C
2016,26,I056,105,26I056105,ALEX,"ALEX ES",NULL,NULL,"ALEX ES",26,42,"F    ",26,69,"D    ",52,56,"F    ","> 0.95",6,"< 0.05",2,"> 0.95",N/A,2,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,396,1.00,106,78,C,106,82,B,NULL,NULL,,NULL,NULL,,NULL,NULL,,212,80,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,26,I056,715,26I056715,ALEX,"ALEX HS",NULL,NULL,"Alex HS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL",NULL,NULL,NULL,NULL,0.39,0.95,1,0.92,5,0.88,1,0.74,0.28,0,0.91,1,5,1,139,0.99,38,82,B,53,79,C,20,25,F,24,63,D,NULL,NULL,NULL,135,69,D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,26,I056,715,26I056715,ALEX,"ALEX HS","High School",50,"ALEX HS",,,,,,,,,"",,0,,0,"> 0.95","> 0.95",1,0.92,5,0.94,1,0.65,0.33,0,0.76,0,3,1,126,0.94,36,83,B,52,87,B,18,44,F,0,0,N/,0,0,N/,106,78,C,"High School",50,50,0,8,91,B-,26I056,B
2016,26,I056,715,26I056715,ALEX,"ALEX HS",NULL,NULL,"ALEX HS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL",N/A,0,N/A,0,"> 0.95","> 0.95",1,0.83,0,0.73,0,0.68,0.40,0,0.60,0,2,0,137,0.99,19,74,C,22,82,B,NULL,NULL,,NULL,NULL,,NULL,NULL,,41,78,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,55,G003,973,55G003973,"ALEXIS RAINBOW (CHARTER)","ALEXIS RAINBOW CS",NULL,NULL,"Alexis Rainbow Cs",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL",NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,NULL,0,NULL,NULL,0,NULL,0,0,0,NULL,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NU,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,55,G003,973,55G003973,"ALEXIS RAINBOW (CHARTER)","ALEXIS RAINBOW CS",Elementary,0,"ALEXIS RAINBOW CS",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"N/A",0.92,0,,0,,,0,,0,0.00,0,,0.00,0,0.00,0,0,0,0,0.00,0,0,N/,0,0,N/,0,0,N/,0,0,N/,0,0,N/,0,0,N/,Elementary,0,0,0,0,0,N/A,55G003,NULL
