RecordNumber,YR,SchoolCode,DistrictCode,Site,Avgincome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS
14295,2016,09I034610,09I034,ETTA DALE JR HIGH SCHOOL,60315.49808,24895.1556,0.065493517,0.139660748,0.369634849,0.8588,0.116525424,0.733787767,0.149686809
14296,2016,09I034705,09I034,EL RENO HIGH SCHOOL,60315.49808,24895.1556,0.065493517,0.139660748,0.369634849,0.4548,0.116525424,0.733787767,0.149686809
14297,2016,09I057105,09I057,UNION CITY ELEMENTARY,79770.15504,59688.9515,0.042796006,0.060652009,0.103225806,0.5612,0.181818182,0.71559633,0.102585488
14298,2016,09I057705,09I057,UNION CITY HIGH SCHOOL,79770.15504,59688.9515,0.042796006,0.060652009,0.103225806,0.4316,0.181818182,0.71559633,0.102585488
14299,2016,09I069105,09I069,MUSTANG ELEMENTARY,80463.04077,44100.0165,0.042479536,0.060550818,0.24795764,0.4216,0.254076374,0.677687694,0.068235932
14300,2016,09I069110,09I069,MUSTANG VALLEY ELEMENTARY,80463.04077,44100.0165,0.042479536,0.060550818,0.24795764,0.3362,0.254076374,0.677687694,0.068235932
14301,2016,09I069115,09I069,MUSTANG LAKEHOMA ELEMENTARY,80463.04077,44100.0165,0.042479536,0.060550818,0.24795764,0.3056,0.254076374,0.677687694,0.068235932
14302,2016,09I069120,09I069,MUSTANG TRAILS ELEMENTARY,80463.04077,44100.0165,0.042479536,0.060550818,0.24795764,0.4231,0.254076374,0.677687694,0.068235932
14303,2016,09I069125,09I069,MUSTANG CREEK ELEMENTARY,80463.04077,44100.0165,0.042479536,0.060550818,0.24795764,0.4659,0.254076374,0.677687694,0.068235932
14304,2016,09I069130,09I069,MUSTANG EDUCATION CTR,80463.04077,44100.0165,0.042479536,0.060550818,0.24795764,0,0.254076374,0.677687694,0.068235932
14305,2016,09I069135,09I069,MUSTANG CENTENNIAL ELEMENTARY,80463.04077,44100.0165,0.042479536,0.060550818,0.24795764,0.4687,0.254076374,0.677687694,0.068235932
