RecordNumber,YR,SchoolCode,DistrictCode,Site,SeniorGradRate,DropOutRate,AvgSeniorGPA,CTSeniorsOSTP,CarTechCompletion,AvgACTScore,ComplColgCourses,OutOfStateCollege,InStateCollege,CollegeFreshRemed,GPAAbove2,NatlACTaverage,SDEgroup
6853,2016,71I009705,71I009,DAVIDSON HIGH SCHOOL,1.00,0.00,FTR,0.88,,16.29,FTR,FTR,,,,,
6854,2016,71I158710,71I158,FREDERICK HIGH SCHOOL,1.00,0.09,3.10,0.58,,19.66,0.75,0.02,,,,,
6855,2016,71I249715,71I249,GRANDFIELD HIGH SCHOOL,1.00,0.06,3.37,0.94,,17.14,1.00,0.05,,,,,
6856,2016,72I001705,72I001,CENTRAL HIGH SCHOOL,0.98,0.16,2.64,0.73,,15.58,0.41,0.09,,,,,
6857,2016,72I001710,72I001,EAST CENTRAL HIGH SCHOOL,0.96,0.27,2.50,0.42,,17.02,0.30,0.10,,,,,
6858,2016,72I001712,72I001,THOMAS EDISON PREPARATORY HIGH SCHOOL,1.00,0.09,3.03,0.55,,22.44,0.78,0.12,,,,,
6859,2016,72I001715,72I001,NATHAN HALE HIGH SCHOOL,0.98,0.28,2.53,0.87,,17.12,0.51,0.02,,,,,
6860,2016,72I001720,72I001,McLAIN HS FOR SCIENCE & TECHNOLOGY,0.96,0.40,2.66,0.96,,15.06,0.65,0.03,,,,,
6861,2016,72I001725,72I001,MEMORIAL HIGH SCHOOL,0.95,0.25,2.66,0.48,,18.42,0.52,0.04,,,,,
6862,2016,72I001730,72I001,WILL ROGERS COLLEGE HIGH SCHOOL,0.99,0.09,2.93,0.51,,18.15,0.93,0.08,,,,,
6863,2016,72I001735,72I001,BOOKER T. WASHINGTON HIGH SCHOOL,1.00,0.01,3.38,0.49,,23.28,0.96,0.22,,,,,
6864,2016,72I001740,72I001,DANIEL WEBSTER HIGH SCHOOL,0.99,0.21,2.79,0.76,,17.06,0.67,0.09,,,,,
6865,2016,72I001745,72I001,TULSA MET HIGH SCHOOL,1.00,0.58,2.47,1.00,,**,0.15,0.00,,,,,
6866,2016,72I001750,72I001,TRAICE,0.93,0.48,2.49,0.07,,DNA,0.00,0.00,,,,,
6867,2016,72I001974,72I001,TULSA SCHOOL OF ARTS & SCIENCES,0.96,0.09,3.10,0.09,,23.14,1.00,0.30,,,,,
6868,2016,72I002705,72I002,CHARLES PAGE HIGH SCHOOL,0.98,0.08,3.48,0.41,,20.89,0.88,0.01,,,,,
6869,2016,72I003720,72I003,BROKEN ARROW HIGH SCHOOL,0.97,0.06,2.81,0.00,,22.12,0.83,0.07,,,,,
6870,2016,72I004705,72I004,BIXBY HIGH SCHOOL,0.99,0.03,3.20,0.60,,23.38,0.85,0.10,,,,,
6871,2016,72I005705,72I005,JENKS HIGH SCHOOL,0.97,0.07,3.13,0.51,,23.67,0.88,0.14,,,,,
6872,2016,72I006705,72I006,COLLINSVILLE HIGH SCHOOL,0.98,0.04,3.13,0.45,,20.48,0.68,0.03,,,,,
6873,2016,72I007705,72I007,SKIATOOK HIGH SCHOOL,0.99,0.05,3.11,0.57,,20.68,0.84,0.03,,,,,
6874,2016,72I008705,72I008,SPERRY HIGH SCHOOL,1.00,0.02,3.17,0.46,,20.28,0.54,0.00,,,,,
6875,2016,72I009705,72I009,UNION HIGH SCHOOL,0.98,0.06,2.95,0.42,,21.30,0.94,0.02,,,,,
6876,2016,72I010705,72I010,BERRYHILL HIGH SCHOOL,0.99,0.02,3.10,0.57,,20.84,0.93,0.03,,,,,
6877,2016,72I011715,72I011,OWASSO HIGH SCHOOL,0.99,0.04,3.19,0.00,,22.93,0.68,0.03,,,,,
6878,2016,72I013705,72I013,GLENPOOL HIGH SCHOOL,0.99,0.02,2.98,0.77,,19.96,0.87,0.08,,,,,
6879,2016,72I014705,72I014,LIBERTY HIGH SCHOOL,1.00,0.00,3.12,0.94,,18.65,0.96,0.04,,,,,
6880,2016,73I001715,73I001,OKAY HIGH SCHOOL,1.00,0.06,2.87,0.54,,18.53,0.88,0.00,,,,,
6881,2016,73I017705,73I017,COWETA HIGH SCHOOL,0.99,0.06,3.13,0.33,,21.01,0.76,0.06,,,,,
6882,2016,73I019710,73I019,WAGONER HIGH SCHOOL,1.00,0.07,3.23,0.36,,20.68,0.84,0.03,,,,,
6883,2016,73I365720,73I365,PORTER CONSOLIDATED HIGH SCHOOL,1.00,0.03,3.20,0.58,,18.69,1.00,0.05,,,,,
6884,2016,74I004720,74I004,COPAN HIGH SCHOOL,0.93,0.28,2.86,0.50,,18.36,0.54,0.08,,,,,
6885,2016,74I007705,74I007,DEWEY HIGH SCHOOL,1.00,0.04,3.40,0.20,,20.00,0.58,0.08,,,,,
6886,2016,74I018705,74I018,CANEY VALLEY HIGH SCHOOL,1.00,0.00,3.09,0.33,,18.18,0.91,0.02,,,,,
6887,2016,74I030705,74I030,BARTLESVILLE HIGH SCHOOL,0.97,0.06,3.22,0.29,,22.70,0.82,0.08,,,,,
6888,2016,75I001705,75I001,BLANCHE THOMAS HIGH SCHOOL,1.00,0.00,3.42,1.00,,19.30,1.00,0.00,,,,,
6889,2016,75I010705,75I010,BURNS FLAT-DILL CITY HIGH SCHOOL,0.96,0.13,3.17,0.50,,20.38,0.85,0.08,,,,,
6890,2016,75I011705,75I011,CANUTE HIGH SCHOOL,1.00,0.00,3.01,0.88,,20.30,0.93,0.00,,,,,
6891,2016,75I078705,75I078,CORDELL HIGH SCHOOL,1.00,0.00,3.25,0.36,,20.63,0.94,0.04,,,,,
6892,2016,76I001705,76I001,ALVA HIGH SCHOOL,0.98,0.08,3.09,0.68,,21.15,0.85,0.06,,,,,
6893,2016,76I003720,76I003,WAYNOKA HIGH SCHOOL,1.00,0.00,3.51,0.85,,21.26,0.79,0.00,,,,,
6894,2016,76I006705,76I006,FREEDOM HIGH SCHOOL,0.88,0.22,3.50,1.00,,20.57,1.00,0.00,,,,,
6895,2016,77I001705,77I001,WOODWARD HIGH SCHOOL,1.00,0.06,3.10,0.66,,19.54,0.79,0.03,,,,,
6896,2016,77I002715,77I002,MOORELAND HIGH SCHOOL,0.97,0.12,3.24,0.68,,21.17,0.87,0.00,,,,,
6897,2016,77I003705,77I003,SHARON-MUTUAL HIGH SCHOOL,1.00,0.00,3.19,0.89,,17.11,0.82,0.06,,,,,
6898,2016,77I005705,77I005,FORT SUPPLY HIGH SCHOOL,1.00,0.00,3.58,1.11,,20.64,0.89,0.00,,,,,
