RecordNumber,YR,SchoolCode,DistrictCode,Site,SeniorGradRate,DropOutRate,AvgSeniorGPA,CTSeniorsOSTP,CarTechCompletion,AvgACTScore,ComplColgCourses,OutOfStateCollege,InStateCollege,CollegeFreshRemed,GPAAbove2,NatlACTaverage,SDEgroup
6519,2016,15I002705,15I002,TUPELO HIGH SCHOOL,1.00,0.05,3.24,0.57,,20.22,0.75,0.00,,,,,
6520,2016,16I001705,16I001,CACHE HIGH SCHOOL,1.00,0.02,3.39,0.62,,20.38,0.95,0.07,,,,,
6521,2016,16I002705,16I002,INDIAHOMA HIGH SCHOOL,1.00,0.00,3.50,0.71,,23.86,1.00,0.00,,,,,
6522,2016,16I003705,16I003,STERLING HIGH SCHOOL,1.00,0.03,3.25,0.97,,22.13,0.80,0.07,,,,,
6523,2016,16I004705,16I004,GERONIMO HIGH SCHOOL,1.00,0.00,3.02,0.90,,16.12,0.89,0.00,,,,,
6524,2016,16I008705,16I008,EISENHOWER HIGH SCHOOL,1.00,0.06,2.97,0.41,,20.34,0.82,0.07,,,,,
6525,2016,16I008710,16I008,LAWTON HIGH SCHOOL,0.99,0.10,2.77,0.28,,19.70,0.85,0.10,,,,,
6526,2016,16I008715,16I008,MacARTHUR HIGH SCHOOL,1.00,0.02,3.10,0.24,,21.05,1.00,0.17,,,,,
6527,2016,16I009715,16I009,FLETCHER HIGH SCHOOL,1.00,0.03,3.09,0.69,,20.72,0.13,0.00,,,,,
6528,2016,16I016705,16I016,ELGIN HIGH SCHOOL,0.99,0.02,3.44,0.56,,20.87,0.93,0.10,,,,,
6529,2016,16I132705,16I132,CHATTANOOGA HIGH SCHOOL,1.00,0.00,3.30,0.76,,20.67,1.00,0.00,,,,,
6530,2016,17I001705,17I001,WALTERS HIGH SCHOOL,0.98,0.04,3.28,0.55,,19.75,0.96,0.17,,,,,
6531,2016,17I101715,17I101,TEMPLE HIGH SCHOOL,0.90,0.10,3.51,0.80,,18.00,1.00,0.00,,,,,
6532,2016,17I333705,17I333,BIG PASTURE HIGH SCHOOL,1.00,0.00,2.80,0.92,,20.09,1.00,0.00,,,,,
6533,2016,18I006705,18I006,KETCHUM HIGH SCHOOL,0.98,0.04,2.96,0.62,,19.00,0.80,0.02,,,,,
6534,2016,18I017715,18I017,WELCH HIGH SCHOOL,1.00,0.00,3.07,0.90,,18.85,0.40,0.10,,,,,
6535,2016,18I020705,18I020,BLUEJACKET HIGH SCHOOL,1.00,0.05,3.03,0.70,,20.18,0.45,0.10,,,,,
6536,2016,18I065705,18I065,VINITA HIGH SCHOOL,0.96,0.05,2.97,0.65,,20.41,0.72,0.06,,,,,
6537,2016,19I002705,19I002,BRISTOW HIGH SCHOOL,0.96,0.12,3.01,0.70,,20.00,0.90,0.03,,,,,
6538,2016,19I003705,19I003,MANNFORD HIGH SCHOOL,0.96,0.07,2.93,0.33,,20.48,0.56,0.03,,,,,
6539,2016,19I005705,19I005,MOUNDS HIGH SCHOOL,1.00,0.00,2.69,0.22,,19.77,1.00,0.03,,,,,
6540,2016,19I017715,19I017,OLIVE HIGH SCHOOL,1.00,0.00,3.07,0.70,,20.14,0.69,0.00,,,,,
6541,2016,19I018705,19I018,KIEFER HIGH SCHOOL,0.98,0.07,3.27,0.58,,20.09,1.00,0.00,,,,,
6542,2016,19I020715,19I020,OILTON HIGH SCHOOL,1.00,0.00,3.30,1.00,,20.70,0.94,0.00,,,,,
6543,2016,19I021705,19I021,DEPEW HIGH SCHOOL,1.00,0.00,3.43,0.52,,19.94,0.81,0.04,,,,,
6544,2016,19I031705,19I031,KELLYVILLE HIGH SCHOOL,0.99,0.07,3.34,0.69,,20.33,0.54,0.06,,,,,
6545,2016,19I033705,19I033,SAPULPA HIGH SCHOOL,0.96,0.12,3.13,0.51,,18.73,0.70,0.05,,,,,
6546,2016,19I039705,19I039,DRUMRIGHT HIGH SCHOOL,0.97,0.05,2.56,0.65,,19.85,0.79,0.13,,,,,
6547,2016,20I005715,20I005,ARAPAHO-BUTLER HIGH SCHOOL,1.00,0.00,3.22,0.50,,21.79,0.78,0.00,,,,,
6548,2016,20I007715,20I007,THOMAS-FAY-CUSTER HIGH SCHOOL,1.00,0.00,3.49,0.97,,21.27,1.00,0.00,,,,,
6549,2016,20I026705,20I026,WEATHERFORD HIGH SCHOOL,1.00,0.03,2.98,0.62,,21.49,1.00,0.03,,,,,
6550,2016,20I099705,20I099,CLINTON HIGH SCHOOL,0.99,0.03,2.78,0.50,,18.63,0.70,0.00,,,,,
6551,2016,21I001705,21I001,JAY HIGH SCHOOL,0.97,0.07,2.84,0.34,,19.86,0.61,0.05,,,,,
6552,2016,21I002705,21I002,GROVE HIGH SCHOOL,0.99,0.09,2.89,0.38,,21.11,0.84,0.14,,,,,
6553,2016,21I003715,21I003,KANSAS HIGH SCHOOL,0.98,0.06,3.03,0.81,,18.48,0.63,0.03,,,,,
6554,2016,21I004715,21I004,COLCORD HIGH SCHOOL,0.97,0.11,3.10,0.95,,17.59,0.86,0.02,,,,,
6555,2016,21I005715,21I005,OAKS-MISSION HIGH SCHOOL,1.00,0.00,2.70,1.00,,17.55,0.96,0.16,,,,,
6556,2016,22I005705,22I005,VICI HIGH SCHOOL,1.00,0.07,3.30,0.96,,18.83,0.92,0.00,,,,,
6557,2016,22I008715,22I008,SEILING SR HIGH SCHOOL,1.00,0.06,3.35,0.80,,19.91,1.00,0.00,,,,,
6558,2016,22I010705,22I010,TALOGA HIGH SCHOOL,1.00,0.00,**,1.00,,**,1.00,0.25,,,,,
6559,2016,23I002705,23I002,FARGO HIGH SCHOOL,1.00,0.00,2.87,1.00,,18.41,1.00,0.06,,,,,
6560,2016,23I003705,23I003,ARNETT HIGH SCHOOL,0.93,0.13,3.40,0.40,,19.78,1.00,0.00,,,,,
6561,2016,23I039705,23I039,GAGE HIGH SCHOOL,1.00,0.50,FTR,0.43,,16.94,FTR,FTR,,,,,
6562,2016,23I042705,23I042,SHATTUCK HIGH SCHOOL,1.00,0.00,3.47,0.48,,20.70,1.00,0.04,,,,,
6563,2016,24I001705,24I001,WAUKOMIS HIGH SCHOOL,1.00,0.00,3.04,0.61,,19.14,0.77,0.10,,,,,
6564,2016,24I018705,24I018,KREMLIN-HILLSDALE HIGH SCHOOL,1.00,0.00,3.49,0.55,,22.20,1.00,0.00,,,,,
6565,2016,24I042705,24I042,CHISHOLM HIGH SCHOOL,1.00,0.00,3.04,0.30,,23.67,0.69,0.12,,,,,
6566,2016,24I047715,24I047,GARBER HIGH SCHOOL,1.00,0.04,2.88,0.59,,22.20,0.43,0.04,,,,,
6567,2016,24I056705,24I056,PIONEER-PLEASANT VALE HIGH SCHOOL,1.00,0.00,3.31,0.44,,19.79,0.89,0.00,,,,,
6568,2016,24I057705,24I057,ENID HIGH SCHOOL,0.99,0.12,2.92,0.47,,20.34,0.73,0.02,,,,,
6569,2016,24I085705,24I085,DRUMMOND HIGH SCHOOL,0.96,0.08,3.07,0.73,,21.30,1.00,0.00,,,,,
6570,2016,24I094705,24I094,COVINGTON-DOUGLAS HIGH SCHOOL,0.88,0.13,3.18,0.75,,18.76,0.93,0.00,,,,,
6571,2016,25I002715,25I002,STRATFORD HIGH SCHOOL,1.00,0.00,3.27,0.45,,19.50,0.80,0.02,,,,,
