Year,County,DistrictCode,District,School.Name,Site.Number,School.Code,"School Type",Hispanic,"Native American",Asian,"African American","Pacific Islander",White,"Two or More Races",Total
2015,COTTON,17I101,TEMPLE,"TEMPLE HS",715,17I101715,"High School",11,1,0,3,0,28,3,46
2016,COTTON,17I101,TEMPLE,"TEMPLE HS",715,17I101715,"High School",13,1,0,3,0,27,2,46
2014,CHEROKEE,11C066,TENKILLER,"TENKILLER PUBLIC SCHOOL",105,11C066105,"Elementary School",5,220,0,1,0,62,1,289
2015,CHEROKEE,11C066,TENKILLER,"TENKILLER PUBLIC SCHOOL",105,11C066105,"Elementary School",5,221,0,1,0,62,2,291
2016,CHEROKEE,11C066,TENKILLER,"TENKILLER PUBLIC SCHOOL",105,11C066105,"Elementary School",5,246,0,3,0,47,1,302
2014,JEFFERSON,34C003,TERRAL,"TERRAL PUBLIC SCHOOL",105,34C003105,"Elementary School",23,6,0,1,0,3,33,66
2015,JEFFERSON,34C003,TERRAL,"TERRAL PUBLIC SCHOOL",105,34C003105,"Elementary School",23,6,0,1,0,3,31,64
2016,JEFFERSON,34C003,TERRAL,"TERRAL PUBLIC SCHOOL",105,34C003105,"Elementary School",18,5,0,0,0,6,39,68
2014,TEXAS,70I061,TEXHOMA,"TEXHOMA ES",105,70I061105,"Elementary School",109,0,0,0,0,98,0,207
2015,TEXAS,70I061,TEXHOMA,"TEXHOMA ES",105,70I061105,"Elementary School",126,0,0,0,0,99,0,225
2016,TEXAS,70I061,TEXHOMA,"TEXHOMA ES",105,70I061105,"Elementary School",114,1,0,0,0,79,0,194
2014,TEXAS,70I061,TEXHOMA,"TEXHOMA HS",705,70I061705,"High School",26,1,0,1,0,49,1,78
2015,TEXAS,70I061,TEXHOMA,"TEXHOMA HS",705,70I061705,"High School",48,1,0,1,0,55,0,105
2016,TEXAS,70I061,TEXHOMA,"TEXHOMA HS",705,70I061705,"High School",50,0,0,0,0,61,0,111
2014,LOVE,43I004,THACKERVILLE,"THACKERVILLE ES",105,43I004105,"Elementary School",19,30,1,0,0,101,68,219
2015,LOVE,43I004,THACKERVILLE,"THACKERVILLE ES",105,43I004105,"Elementary School",14,32,1,2,0,118,63,230
2016,LOVE,43I004,THACKERVILLE,"THACKERVILLE ES",105,43I004105,"Elementary School",25,33,1,1,0,145,57,262
2014,LOVE,43I004,THACKERVILLE,"THACKERVILLE HS",705,43I004705,"High School",3,8,0,1,0,45,19,76
2015,LOVE,43I004,THACKERVILLE,"THACKERVILLE HS",705,43I004705,"High School",5,6,0,1,0,59,15,86
2016,LOVE,43I004,THACKERVILLE,"THACKERVILLE HS",705,43I004705,"High School",6,6,0,1,0,66,16,95
2014,CUSTER,20I007,"THOMAS-FAY-CUSTER UNIFIED DIST","THOMAS ES",105,20I007105,"Elementary School",26,47,0,5,0,210,2,290
2015,CUSTER,20I007,"THOMAS-FAY-CUSTER UNIFIED DIST","THOMAS ES",105,20I007105,"Elementary School",35,39,0,5,0,221,7,307
2016,CUSTER,20I007,"THOMAS-FAY-CUSTER UNIFIED DIST","THOMAS ES",105,20I007105,"Elementary School",34,36,0,3,0,207,6,286
2014,CUSTER,20I007,"THOMAS-FAY-CUSTER UNIFIED DIST","THOMAS-FAY-CUSTER UNIFIED HS",715,20I007715,"High School",6,15,1,1,0,87,1,111
