RecordNumber,YR,SchoolCode,DistrictCode,Site,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,LanguageArts,Science,Math,SocialStudies,FineArts,Languages
,2015,55I089150,55I089,CESAR CHAVEZ ELEMENTARY,869,43.606,48101.3393,0.2337,5.9863,4,0.76,5.643,2.557,,,,,,
,2015,55I089154,55I089,CLEVELAND ELEMENTARY,389,23.294,49578.5181,0.1288,9.2556,1.422,0.3,2.048,1,,,,,,
,2015,55I089165,55I089,COOLIDGE ELEMENTARY,783,40.011,45247.5319,0.2056,4.6483,5,0.6,3.95,1.967,,,,,,
,2015,55I089166,55I089,CAPITOL HILL ELEMENTARY,632,33.235,52032.9472,0.329,12.6359,5.762,0.6,2.689,2,,,,,,
,2015,55I089170,55I089,F. D. MOON ELEMENTARY,442,19.467,51159.8089,0.1954,10.7472,1.796,0.278,1.975,1.919,,,,,,
,2015,55I089195,55I089,EDGEMERE ELEMENTARY,189,12.524,50807.9687,0.3194,5.6963,1.95,0.4,1.295,1.024,,,,,,
,2015,55I089205,55I089,EDWARDS ELEMENTARY,312,18.758,47666.2757,0.1579,6.2463,1,0.2,1.72,1.667,,,,,,
,2015,55I089215,55I089,EUGENE FIELD ELEMENTARY,559,30.78,53622.937,0.2079,11.9541,2.989,0.5,3.596,2,,,,,,
,2015,55I089220,55I089,FILLMORE ELEMENTARY,934,47.074,51327.8243,0.2804,10.7498,5.418,0.8,4.825,3,,,,,,
,2015,55I089240,55I089,GATEWOOD ELEMENTARY,192,15.182,49561.5202,0.0395,6.7212,2.157,0.4,2.28,1,,,,,,
,2015,55I089244,55I089,GREEN PASTURES ELEMENTARY,237,12.555,46229.9482,0.1274,6.6614,0.978,0.186,1.3,1,,,,,,
,2015,55I089251,55I089,GREYSTONE LOWER ELEMENTARY,301,16.923,51390.0609,0.1139,13.7334,1.157,0.2,1.99,1,,,,,,
,2015,55I089252,55I089,GREYSTONE UPPER ELEMENTARY,548,20.924,45872.8255,0.2617,6.1775,4,0.5,3.718,2,,,,,,
,2015,55I089255,55I089,HAWTHORNE ELEMENTARY,555,26.928,51880.8304,0.2415,11.4037,2.5,0.4,3.181,2,,,,,,
,2015,55I089260,55I089,HAYES ELEMENTARY,505,23.997,51933.7834,0.2409,10.4108,3,0.4,3.612,1.976,,,,,,
,2015,55I089265,55I089,HERONVILLE ELEMENTARY,979,52.843,49605.9459,0.2683,9.6104,5.414,1,6.118,3,,,,,,
,2015,55I089268,55I089,HILLCREST ELEMENTARY,578,28.633,49620.2284,0.3509,8.4488,3,0.163,2.891,2,,,,,,
,2015,55I089270,55I089,HORACE MANN ELEMENTARY,446,22,52025.5909,0.3182,12.7955,3.157,0.3,1.191,1.5,,,,,,
,2015,55I089273,55I089,JACKSON ELEMENTARY,568,31.083,49269.2147,0.3336,9.4307,1,0.989,4.1,2,,,,,,
,2015,55I089275,55I089,JOHNSON ELEMENTARY,234,12.782,50317.0083,0.1486,10.6634,5,0.2,1.668,1,,,,,,
,2015,55I089280,55I089,KAISER ELEMENTARY,758,38.935,51488.4808,0.2015,11.6125,6.353,0.8,4.192,2.976,,,,,,
,2015,55I089283,55I089,M.L. KING JR. ELEMENTARY,458,26.093,50760.8937,0.2981,8.4865,4.696,0.4,4.24,2,,,,,,
,2015,55I089295,55I089,LEE ELEMENTARY,619,34.149,48217.5174,0.2269,5.5187,1.597,0.6,3.547,1.962,,,,,,
,2015,55I089305,55I089,LINWOOD ELEMENTARY,512,28.257,51348.9401,0.2745,11.5794,2.5,0.4,2.989,1,,,,,,
,2015,55I089320,55I089,MARK TWAIN ELEMENTARY,343,18.395,54438.5431,0.1766,11.9163,3,0.5,1.706,1,,,,,,
,2015,55I089335,55I089,MONROE ELEMENTARY,476,25.528,49665.3087,0.1959,8.6348,6.956,0.4,2.8,1.462,,,,,,
,2015,55I089340,55I089,NICHOLS HILLS ELEMENTARY,438,24.7,55698.2996,0.2429,14.5785,1,0.4,1.75,1,,,,,,
