Year,SchoolName,SchoolCode,SchoolType,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total
2014,"ALTUS JHS",33I018625,"Middle School",0.4117,0.0097,0.0078,0.0835,0.0019,0.4427,0.0427,515
2015,"ALTUS JHS",33I018625,"Middle School",0.3843,0.0121,0.0101,0.0905,0.0080,0.4245,0.0704,497
2016,"ALTUS JHS",33I018625,"Middle School",0.3996,0.0101,0.0203,0.0832,0.0101,0.4118,0.0649,493
2014,"RIVERS ES",33I018105,"Elementary School",0.1482,0.0000,0.0081,0.0593,0.0054,0.6765,0.1024,371
2015,"RIVERS ES",33I018105,"Elementary School",0.1472,0.0031,0.0123,0.0644,0.0061,0.6534,0.1135,326
2016,"RIVERS ES",33I018105,"Elementary School",0.1818,0.0031,0.0000,0.0627,0.0063,0.6426,0.1034,319
2014,"ROOSEVELT ES",33I018120,"Elementary School",0.4462,0.0000,0.0127,0.2247,0.0000,0.3165,0.0000,316
2015,"ROOSEVELT ES",33I018120,"Elementary School",0.4387,0.0097,0.0129,0.2258,0.0000,0.3097,0.0032,310
2016,"ROOSEVELT ES",33I018120,"Elementary School",0.4310,0.0069,0.0172,0.2207,0.0000,0.3207,0.0034,290
2014,"SUNSET ES",33I018125,"Elementary School",0.3097,0.0108,0.0108,0.0366,0.0000,0.5441,0.0882,465
2015,"SUNSET ES",33I018125,"Elementary School",0.3265,0.0122,0.0041,0.0286,0.0020,0.5612,0.0653,490
2016,"SUNSET ES",33I018125,"Elementary School",0.3359,0.0039,0.0019,0.0367,0.0000,0.5309,0.0907,518
2014,"WASHINGTON ES",33I018130,"Elementary School",0.5644,0.0103,0.0026,0.0851,0.0026,0.2320,0.1031,388
2015,"WASHINGTON ES",33I018130,"Elementary School",0.6809,0.0122,0.0061,0.0699,0.0000,0.1915,0.0395,329
2016,"WASHINGTON ES",33I018130,"Elementary School",0.5441,0.0091,0.0030,0.0456,0.0000,0.3587,0.0395,329
2014,"WILL ROGERS ES",33I018135,"Elementary School",0.4530,0.0235,0.0067,0.0537,0.0000,0.3859,0.0772,298
2015,"WILL ROGERS ES",33I018135,"Elementary School",0.4016,0.0281,0.0040,0.0482,0.0000,0.4458,0.0723,249
2016,"WILL ROGERS ES",33I018135,"Elementary School",0.4217,0.0120,0.0040,0.0482,0.0120,0.4618,0.0402,249
2014,"ALVA HS",76I001705,"High School",0.0709,0.0591,0.0197,0.0157,0.0000,0.8268,0.0079,254
2015,"ALVA HS",76I001705,"High School",0.1024,0.0669,0.0157,0.0236,0.0039,0.7835,0.0039,254
2016,"ALVA HS",76I001705,"High School",0.1336,0.0611,0.0153,0.0305,0.0038,0.7366,0.0191,262
2014,"ALVA MS",76I001505,"Middle School",0.0926,0.0556,0.0093,0.0417,0.0046,0.7870,0.0093,216
2015,"ALVA MS",76I001505,"Middle School",0.1280,0.0427,0.0237,0.0332,0.0000,0.7346,0.0379,211
2016,"ALVA MS",76I001505,"Middle School",0.1165,0.0340,0.0000,0.0340,0.0000,0.7621,0.0534,206
2014,"LINCOLN ES",76I001105,"Elementary School",0.0909,0.0210,0.0210,0.0070,0.0000,0.7622,0.0979,143
2015,"LINCOLN ES",76I001105,"Elementary School",0.1460,0.0365,0.0073,0.0292,0.0000,0.7153,0.0657,137
2016,"LINCOLN ES",76I001105,"Elementary School",0.1930,0.0439,0.0175,0.0351,0.0000,0.6667,0.0439,114
2014,"LONGFELLOW ES",76I001110,"Elementary School",0.1402,0.0374,0.0187,0.0187,0.0000,0.7383,0.0467,214
2015,"LONGFELLOW ES",76I001110,"Elementary School",0.0833,0.0463,0.0093,0.0370,0.0000,0.7917,0.0324,216
2016,"LONGFELLOW ES",76I001110,"Elementary School",0.1006,0.0503,0.0223,0.0503,0.0000,0.7598,0.0168,179
2014,"WASHINGTON ES",76I001115,"Elementary School",0.0711,0.0711,0.0203,0.0457,0.0000,0.7919,0.0000,197
2015,"WASHINGTON ES",76I001115,"Elementary School",0.0995,0.0543,0.0317,0.0181,0.0000,0.7783,0.0181,221
2016,"WASHINGTON ES",76I001115,"Elementary School",0.0891,0.0310,0.0194,0.0233,0.0078,0.8023,0.0271,258
2014,"AMBER-POCASSET ES",26I128105,"Elementary School",0.0341,0.0152,0.0000,0.0076,0.0000,0.8712,0.0720,264
2015,"AMBER-POCASSET ES",26I128105,"Elementary School",0.0538,0.0346,0.0038,0.0308,0.0000,0.8538,0.0231,260
2016,"AMBER-POCASSET ES",26I128105,"Elementary School",0.0736,0.0465,0.0000,0.0271,0.0000,0.8372,0.0155,258
2014,"AMBER-POCASSET HS",26I128715,"High School",0.0348,0.1304,0.0000,0.0000,0.0000,0.7826,0.0522,115
2015,"AMBER-POCASSET HS",26I128715,"High School",0.0769,0.0865,0.0000,0.0000,0.0000,0.7596,0.0769,104
2016,"AMBER-POCASSET HS",26I128715,"High School",0.0463,0.0463,0.0000,0.0000,0.0000,0.8333,0.0741,108
2014,"AMBER-POCASSET JHS",26I128615,"Middle School",0.0229,0.0458,0.0000,0.0000,0.0000,0.8779,0.0534,131
2015,"AMBER-POCASSET JHS",26I128615,"Middle School",0.0265,0.0442,0.0000,0.0088,0.0000,0.8584,0.0619,113
2016,"AMBER-POCASSET JHS",26I128615,"Middle School",0.0811,0.0631,0.0000,0.0000,0.0000,0.8018,0.0541,111
2014,"ANADARKO EAST ES",08I020105,"Elementary School",0.1900,0.6467,0.0033,0.0233,0.0000,0.1367,0.0000,300
2015,"ANADARKO EAST ES",08I020105,"Elementary School",0.1623,0.7045,0.0032,0.0292,0.0000,0.1006,0.0000,308
2016,"ANADARKO EAST ES",08I020105,"Elementary School",0.1517,0.6828,0.0034,0.0345,0.0000,0.1276,0.0000,290
2014,"ANADARKO HS",08I020705,"High School",0.1298,0.6085,0.0061,0.0365,0.0000,0.2191,0.0000,493
2015,"ANADARKO HS",08I020705,"High School",0.2004,0.5671,0.0000,0.0421,0.0000,0.1904,0.0000,499
2016,"ANADARKO HS",08I020705,"High School",0.1890,0.5860,0.0021,0.0340,0.0000,0.1868,0.0021,471
2014,"ANADARKO MS",08I020510,"Middle School",0.1415,0.6473,0.0000,0.0418,0.0000,0.1694,0.0000,431
2015,"ANADARKO MS",08I020510,"Middle School",0.1540,0.6398,0.0024,0.0332,0.0024,0.1682,0.0000,422
2016,"ANADARKO MS",08I020510,"Middle School",0.1922,0.5839,0.0024,0.0316,0.0024,0.1873,0.0000,411
2014,"MISSION ES",08I020120,"Elementary School",0.1671,0.5901,0.0078,0.0339,0.0000,0.2010,0.0000,383
2015,"MISSION ES",08I020120,"Elementary School",0.1878,0.5847,0.0000,0.0397,0.0026,0.1772,0.0079,378
2016,"MISSION ES",08I020120,"Elementary School",0.1827,0.6218,0.0025,0.0406,0.0000,0.1497,0.0025,394
2014,"SUNSET ES",08I020115,"Elementary School",0.1739,0.6584,0.0062,0.0280,0.0000,0.1304,0.0031,322
2015,"SUNSET ES",08I020115,"Elementary School",0.1877,0.6462,0.0031,0.0369,0.0000,0.1262,0.0000,325
2016,"SUNSET ES",08I020115,"Elementary School",0.1551,0.6709,0.0000,0.0380,0.0000,0.1361,0.0000,316
2014,"ANDERSON PUBLIC SCHOOL",57C052105,"Elementary School",0.0478,0.1229,0.0000,0.0171,0.0034,0.6792,0.1297,293
2015,"ANDERSON PUBLIC SCHOOL",57C052105,"Elementary School",0.0369,0.1476,0.0000,0.0185,0.0000,0.6937,0.1033,271
2016,"ANDERSON PUBLIC SCHOOL",57C052105,"Elementary School",0.0213,0.1383,0.0000,0.0142,0.0000,0.7411,0.0851,282
2014,"ANTLERS HS",64I013705,"High School",0.0383,0.2682,0.0000,0.0038,0.0077,0.6284,0.0536,261
2015,"ANTLERS HS",64I013705,"High School",0.0418,0.2319,0.0000,0.0000,0.0038,0.6008,0.1217,263
2016,"ANTLERS HS",64I013705,"High School",0.0558,0.1673,0.0000,0.0037,0.0000,0.5428,0.2305,269
2014,"BRANTLY ES",64I013105,"Elementary School",0.0336,0.3396,0.0019,0.0056,0.0000,0.5560,0.0634,536
2015,"BRANTLY ES",64I013105,"Elementary School",0.0297,0.3792,0.0056,0.0093,0.0000,0.5353,0.0409,538
2016,"BRANTLY ES",64I013105,"Elementary School",0.0396,0.3717,0.0019,0.0075,0.0000,0.5321,0.0472,530
