,Year,SchoolCode,SchoolName,IndexScore,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,SchoolType,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total,3_Math_Advanced,3_Math_Below_Satisfactory,3_Math_Satisfactory,3_Reading_Advanced,3_Reading_Below_Satisfactory,3_Reading_Satisfactory,4_Math_Advanced,4_Math_Below_Satisfactory,4_Math_Satisfactory,4_Reading_Advanced,4_Reading_Below_Satisfactory,4_Reading_Satisfactory,5_Math_Advanced,5_Math_Below_Satisfactory,5_Math_Satisfactory,5_Reading_Advanced,5_Reading_Below_Satisfactory,5_Reading_Satisfactory,5_Science_Advanced,5_Science_Below_Satisfactory,5_Science_Satisfactory,5_SocialStudies_Advanced,5_SocialStudies_Below_Satisfactory,5_SocialStudies_Satisfactory,6_Math_Advanced,6_Math_Below_Satisfactory,6_Math_Satisfactory,6_Reading_Advanced,6_Reading_Below_Satisfactory,6_Reading_Satisfactory,7_Math_Advanced,7_Math_Below_Satisfactory,7_Math_Satisfactory,7_Reading_Advanced,7_Reading_Below_Satisfactory,7_Reading_Satisfactory,8_History_Advanced,8_History_Below_Satisfactory,8_History_Satisfactory,8_Math_Advanced,8_Math_Below_Satisfactory,8_Math_Satisfactory,8_Reading_Advanced,8_Reading_Below_Satisfactory,8_Reading_Satisfactory,8_Science_Advanced,8_Science_Below_Satisfactory,8_Science_Satisfactory,EOI_Algebra_Advanced,EOI_Algebra_Below_Satisfactory,EOI_Algebra_Satisfactory,EOI_AlgebraII_Advanced,EOI_AlgebraII_Below_Satisfactory,EOI_AlgebraII_Satisfactory,EOI_Biology_Advanced,EOI_Biology_Below_Satisfactory,EOI_Biology_Satisfactory,EOI_EnglishII_Advanced,EOI_EnglishII_Below_Satisfactory,EOI_EnglishII_Satisfactory,EOI_EnglishIII_Advanced,EOI_EnglishIII_Below_Satisfactory,EOI_EnglishIII_Satisfactory,EOI_Geometry_Advanced,EOI_Geometry_Below_Satisfactory,EOI_Geometry_Satisfactory,EOI_USHistory_Advanced,EOI_USHistory_Below_Satisfactory,EOI_USHistory_Satisfactory
4336,2014,09I069140,MUSTANG HORIZON IES,78,78773.0,41668.0,0.05,0.05,0.25,0.39,0.26,0.67,0.08,674,36.72,43758.37,0.21600000000000003,10.16,5.0,2.0,2.5,2.0,Elementary School,0.095,0.0905,0.0148,0.0119,0.0,0.7359,0.0519,674.0,,,,,,,,,,,,,0.3154,0.17,0.5146,0.09,0.25,0.66,0.1587,0.31,0.5313,0.484,0.12,0.396,0.2184,0.16,0.6216,0.0912,0.24,0.6688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4337,2014,09I069115,MUSTANG LAKEHOMA ES,80,78773.0,41668.0,0.05,0.05,0.25,0.32,0.26,0.67,0.08,576,34.5,47098.32,0.23199999999999998,16.67,2.0,2.0,4.75,2.0,Elementary School,0.0799,0.0781,0.0052,0.0226,0.0,0.7448,0.0694,576.0,0.4794,0.06,0.4606,0.018000000000000002,0.1,0.882,0.158,0.21,0.632,0.04,0.2,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4338,2014,09I069120,MUSTANG TRAILS ES,71,78773.0,41668.0,0.05,0.05,0.25,0.44,0.26,0.67,0.08,886,50.41,44784.64,0.158,11.16,4.53,2.0,3.69,2.0,Elementary School,0.1106,0.0463,0.0497,0.0293,0.0011,0.6772,0.0858,886.0,0.2349,0.19,0.5751,0.017,0.15,0.833,0.18,0.28,0.54,0.045,0.25,0.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4339,2014,09I069110,MUSTANG VALLEY ES,78,78773.0,41668.0,0.05,0.05,0.25,0.25,0.26,0.67,0.08,831,43.0,45605.81,0.233,12.63,1.0,2.0,2.75,2.0,Elementary School,0.08900000000000001,0.0445,0.1071,0.0313,0.0012,0.6522,0.0746,831.0,0.2184,0.22,0.5616,0.0085,0.15,0.8415,0.2241,0.17,0.6059,0.0729,0.19,0.7371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4340,2014,09I022120,NORTHWOOD ES,93,92293.0,40082.0,0.04,0.04,0.1,0.23,0.39,0.55,0.06,449,23.0,41974.57,0.13,9.09,1.0,1.0,3.5,1.0,Elementary School,0.0802,0.0468,0.0713,0.0223,0.0045,0.7283,0.0468,449.0,0.4644,0.14,0.3956,0.0352,0.12,0.8448,0.47700000000000004,0.1,0.423,0.1504,0.06,0.7896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4341,2014,09I022105,PIEDMONT ES,86,92293.0,40082.0,0.04,0.04,0.1,0.26,0.39,0.55,0.06,428,24.28,42666.24,0.19399999999999998,12.12,1.94,0.86,2.31,1.0,Elementary School,0.0794,0.0701,0.0047,0.0023,0.0,0.7523,0.0911,428.0,0.4214,0.14,0.4386,0.0744,0.07,0.8556,0.272,0.15,0.578,0.0364,0.09,0.8736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4342,2014,09I022125,PIEDMONT INTERMEDIATE ES,85,92293.0,40082.0,0.04,0.04,0.1,0.22,0.39,0.55,0.06,479,27.97,41944.06,0.133,10.01,1.0,1.0,1.0,1.5,Elementary School,0.0919,0.0397,0.0418,0.0397,0.0,0.6952,0.0919,479.0,,,,,,,,,,,,,0.3486,0.17,0.4814,0.1392,0.13,0.7308,0.1452,0.34,0.5148,0.7254,0.07,0.2046,0.221,0.15,0.629,0.2464,0.12,0.6336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4343,2014,09I022115,STONE RIDGE ES,99,92293.0,40082.0,0.04,0.04,0.1,0.19,0.39,0.55,0.06,384,21.51,41662.68,0.09300000000000001,10.41,1.0,1.0,3.0,1.0,Elementary School,0.0599,0.0885,0.0885,0.0495,0.0,0.6719,0.0417,384.0,0.2752,0.14,0.5848,0.0,0.12,0.88,0.342,0.05,0.608,0.196,0.02,0.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4344,2014,09I027105,CENTRAL ES,84,75527.0,38164.0,0.05,0.06,0.25,0.54,0.3,0.64,0.06,362,17.31,43847.81,0.191,10.97,3.51,1.0,4.0,1.0,Elementary School,0.0773,0.047,0.011000000000000001,0.0166,0.0028,0.8066,0.0387,362.0,0.142,0.29,0.568,0.0,0.16,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4345,2014,09I027140,INDEPENDENCE ES,73,75527.0,38164.0,0.05,0.06,0.25,0.52,0.3,0.64,0.06,569,27.03,43668.55,0.182,11.26,3.0,1.0,2.0,2.0,Elementary School,0.1248,0.065,0.0316,0.0281,0.0018,0.7258,0.0228,569.0,,,,,,,0.23199999999999998,0.2,0.568,0.0395,0.21,0.7505,0.1944,0.28,0.5256,0.0546,0.22,0.7254,0.0825,0.45,0.4675,0.6417,0.07,0.2883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
