Year,SchoolCode,DistrictCode,Site,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE
2014,48C009105,48C009,LUKFATA ELEMENTARY,48476,15786,0.09,0.19,0.37,0.6,0.12,0.62,0.26,371,21.95,42815.11,0.129,12.41,1,0.17,1,1.26
2015,48C009105,48C009,LUKFATA ELEMENTARY,46345.84,16530.04,0.07,0.2,0.36,0.576,0.12,0.65,0.22,382,22.18,44022.95,0.143,13.72,1,0.13,1.5,1.09
2016,48C009105,48C009,LUKFATA ELEMENTARY,43752.02,16951.56,0.1,0.22,0.33,0.598,0.12,0.66,0.22,373,22.21,44772.38,0.145,15.75,1,0.22,1.62,0.97
2014,55I003105,55I003,LUTHER ELEMENTARY,67315,87759,0.03,0.13,0.13,0.64,0.2,0.68,0.12,379,21.4,45340.28,0.206,13.81,1.43,0.5,0.57,1
2015,55I003105,55I003,LUTHER ELEMENTARY,69820.62,89123.29,0.02,0.11,0.18,0.651,0.2,0.69,0.11,407,22,44906.64,0.227,16.41,3,0.5,0.57,1
2016,55I003105,55I003,LUTHER ELEMENTARY,91191.86,105905.22,0.02,0.1,0.22,0.66,0.23,0.68,0.09,370,23.26,45455.53,0.269,19.15,2.43,0.5,0.57,1
2014,55I003705,55I003,LUTHER HIGH SCHOOL,67315,87759,0.03,0.13,0.13,0.62,0.2,0.68,0.12,277,16.51,41568.67,0.251,7.49,1,1,0.57,1
2015,55I003705,55I003,LUTHER HIGH SCHOOL,69820.62,89123.29,0.02,0.11,0.18,0.583,0.2,0.69,0.11,278,18.51,44666.18,0.432,8.4,3,0.72,0.99,1
2016,55I003705,55I003,LUTHER HIGH SCHOOL,91191.86,105905.22,0.02,0.1,0.22,0.591,0.23,0.68,0.09,264,14.81,44320.08,0.426,9.62,2.14,1,0.57,0.83
2014,55I003505,55I003,LUTHER MIDDLE SCHOOL,67315,87759,0.03,0.13,0.13,0.66,0.2,0.68,0.12,270,14.27,45243.33,0.08,9.49,3.07,0.5,0.43,1
2015,55I003505,55I003,LUTHER MIDDLE SCHOOL,69820.62,89123.29,0.02,0.11,0.18,0.604,0.2,0.69,0.11,275,14.75,42679.32,0.107,14.58,2,0.5,0.43,1
2016,55I003505,55I003,LUTHER MIDDLE SCHOOL,91191.86,105905.22,0.02,0.1,0.22,0.536,0.23,0.68,0.09,252,14.94,43860.74,0.101,12.15,2,0.5,0.43,1
2014,72I003140,72I003,LYNN WOOD ELEMENTARY,77858,42674,0.06,0.08,0.25,0.61,0.29,0.65,0.07,495,27.8,41723.2,0.036,11.65,1.1,1,6.68,1
2015,72I003140,72I003,LYNN WOOD ELEMENTARY,78668.01,44028.2,0.06,0.08,0.27,0.568,0.29,0.64,0.07,505,28,44230.4,0.074,13.77,1.49,1,5.54,0.74
2016,72I003140,72I003,LYNN WOOD ELEMENTARY,78767.8,44984.51,0.06,0.08,0.3,0.616,0.29,0.64,0.06,508,28.93,43752.06,0.069,14.23,1.5,1,5.05,1
2014,55I089283,55I089,M.L. KING JR. ELEMENTARY,51403,48041,0.09,0.27,0.47,1,0.21,0.56,0.23,566,26.58,45037.92,0.244,7.63,4.53,0.5,3.16,2
2015,55I089283,55I089,M.L. KING JR. ELEMENTARY,53011.22,49735.22,0.08,0.27,0.47,1,0.22,0.55,0.22,458,26.09,50760.89,0.298,8.49,4.7,0.4,4.24,2
2016,55I089283,55I089,M.L. KING JR. ELEMENTARY,53956.08,50805.13,0.08,0.28,0.47,1,0.22,0.55,0.23,417,21.77,50114.36,0.367,9.24,3.82,0.4,3.22,2
2014,72I001305,72I001,MacARTHUR ELEMENTARY,56448,56175,0.09,0.23,0.48,1.03,0.25,0.59,0.15,455,21.23,44952.61,0.352,12.2,4,1,1.7,1
