Year,SchoolCode,DistrictCode,Site,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE
2015,18I065510,18I065,EWING HALSELL MIDDLE SCHOOL,48599.86,28480.39,0.08,0.2,0.35,0.652,0.14,0.67,0.19,348,18.24,44285.28,0.265,11.52,3.33,1,1.83,2
2016,18I065510,18I065,EWING HALSELL MIDDLE SCHOOL,48292.11,32666.79,0.08,0.22,0.43,0.711,0.15,0.68,0.17,346,17.98,45210.24,0.222,14.78,4.15,1,1.67,2
2014,55I089170,55I089,F. D. MOON ELEMENTARY,51403,48041,0.09,0.27,0.47,1.01,0.21,0.56,0.23,378,17.13,47376.99,0.241,9.2,2,0.3,1.49,1.01
2015,55I089170,55I089,F. D. MOON ELEMENTARY,53011.22,49735.22,0.08,0.27,0.47,1,0.22,0.55,0.22,442,19.47,51159.81,0.195,10.75,1.8,0.28,1.98,1.92
2016,55I089170,55I089,F. D. MOON ELEMENTARY,53956.08,50805.13,0.08,0.28,0.47,1,0.22,0.55,0.23,470,22.08,52433.86,0.276,13.89,3,0.3,1.59,2
2014,58I031105,58I031,FAIRLAND ELEMENTARY,46059,26470,0.07,0.18,0.29,0.7,0.16,0.73,0.11,283,15,43875.4,0.467,16.27,2.17,0.34,1.47,1
2015,58I031105,58I031,FAIRLAND ELEMENTARY,46337.37,26013.81,0.07,0.18,0.25,0.662,0.13,0.77,0.1,299,16,43764.69,0.406,15.66,1.83,0.32,1.47,1
2016,58I031105,58I031,FAIRLAND ELEMENTARY,45459.43,25935.35,0.08,0.19,0.26,0.69,0.12,0.77,0.12,332,16.5,44438.27,0.455,14.72,1.33,0.33,1.22,1
2014,58I031705,58I031,FAIRLAND HIGH SCHOOL,46059,26470,0.07,0.18,0.29,0.61,0.16,0.73,0.11,163,12.09,45927.77,0.462,14.49,1.17,0.33,1.42,0.5
2015,58I031705,58I031,FAIRLAND HIGH SCHOOL,46337.37,26013.81,0.07,0.18,0.25,0.518,0.13,0.77,0.1,166,11.81,44692.57,0.426,12.24,1.33,0.36,1.73,0.5
2016,58I031705,58I031,FAIRLAND HIGH SCHOOL,45459.43,25935.35,0.08,0.19,0.26,0.567,0.12,0.77,0.12,180,9.5,44305.62,0.246,11.96,1.33,0.33,2.5,0.5
2014,58I031510,58I031,FAIRLAND MIDDLE SCHOOL,46059,26470,0.07,0.18,0.29,0.61,0.16,0.73,0.11,132,6.61,41644.09,0.367,12.37,2.17,0.33,2.67,0.5
2015,58I031510,58I031,FAIRLAND MIDDLE SCHOOL,46337.37,26013.81,0.07,0.18,0.25,0.669,0.13,0.77,0.1,130,6.1,41399.31,0.328,11.86,2.33,0.32,2.64,0.5
2016,58I031510,58I031,FAIRLAND MIDDLE SCHOOL,45459.43,25935.35,0.08,0.19,0.26,0.619,0.12,0.77,0.12,126,5.84,42142.37,0.229,18.25,1.64,0.33,2,0.5
2014,14I002107,14I002,FAIRVIEW ELEMENTARY,72627,41624,0.05,0.09,0.26,0.63,0.26,0.65,0.09,634,28.06,45631.51,0.234,13.77,6,1,3,2
2014,05I006105,05I006,FAIRVIEW ELEMENTARY,64129,45990,0.04,0.15,0.45,0.54,0.17,0.66,0.17,413,20.74,40061.24,0.193,5.89,3,1,0,1
2015,14I002107,14I002,FAIRVIEW ELEMENTARY,74017.72,43667.52,0.05,0.09,0.28,0.663,0.26,0.66,0.09,680,31.01,43898.15,0.194,9.78,6,1,3,2
2015,05I006105,05I006,FAIRVIEW ELEMENTARY,70729.71,47634.49,0.03,0.13,0.42,0.688,0.17,0.67,0.16,343,17.94,40743.24,0.279,6.58,3,1,0.6,1
2016,14I002107,14I002,FAIRVIEW ELEMENTARY,74645.48,45730.8,0.04,0.08,0.29,0.695,0.26,0.65,0.08,718,31.5,45053.33,0.286,11.4,5.97,1,3,1.97
2016,05I006105,05I006,FAIRVIEW ELEMENTARY,70102.92,53130.32,0.04,0.13,0.41,0.667,0.18,0.65,0.17,315,18,41286.73,0.278,7.39,2,1,0,1
2014,44I084705,44I084,FAIRVIEW HIGH SCHOOL,59187,47647,0.03,0.17,0.35,0.42,0.19,0.69,0.13,182,12.18,45934.67,0.218,14.58,1.29,0.43,0,1
2015,44I084705,44I084,FAIRVIEW HIGH SCHOOL,57921.89,50875.47,0.03,0.21,0.29,0.435,0.17,0.69,0.14,177,13.04,46819.8,0.193,14.34,1.14,0.57,0,1
2016,44I084705,44I084,FAIRVIEW HIGH SCHOOL,62612.53,50420.09,0.05,0.2,0.34,0.374,0.17,0.7,0.13,182,11.13,49648.46,0.165,15.94,1.38,0.52,0,1
2014,40C039105,40C039,FANSHAWE ELEMENTARY,52212,58738,0.13,0.24,0.08,0.59,0.16,0.69,0.15,78,5.29,45147.56,0.054,19.73,1,0,0.2,0.2
2015,40C039105,40C039,FANSHAWE ELEMENTARY,60465.57,74589.57,0.1,0.21,0.09,0.576,0.18,0.71,0.11,66,5.29,45062.81,0.054,21,0,0,0.3,0.2
2016,40C039105,40C039,FANSHAWE ELEMENTARY,58874.38,67804.01,0.11,0.2,0.12,0.632,0.22,0.66,0.12,76,5.1,42989.61,0.02,14.8,0,0,0.1,0.1
2014,23I002105,23I002,FARGO ELEMENTARY,63314,161641,0.01,0.11,0.06,0.67,0.13,0.79,0.08,152,12.75,41897.96,0.167,12.4,0.38,0.25,0.25,0.5
2015,23I002105,23I002,FARGO ELEMENTARY,63572.3,170534.2,0.05,0.09,0.08,0.664,0.17,0.76,0.08,134,13.25,42471.77,0.198,13.11,0.38,0.25,0.75,0.5
2016,23I002105,23I002,FARGO ELEMENTARY,67476.96,200557.18,0.06,0.09,0.08,0.784,0.17,0.74,0.09,134,13.5,42949.19,0.148,14.87,1.13,0.25,0.75,0.5
2014,23I002705,23I002,FARGO HIGH SCHOOL,63314,161641,0.01,0.11,0.06,0.59,0.13,0.79,0.08,64,6.13,40890.78,0.306,6.22,0.5,0.25,0.5,1
2015,23I002705,23I002,FARGO HIGH SCHOOL,63572.3,170534.2,0.05,0.09,0.08,0.635,0.17,0.76,0.08,63,6.63,41974.34,0.302,7.43,0.5,0.25,0.5,1
2016,23I002705,23I002,FARGO HIGH SCHOOL,67476.96,200557.18,0.06,0.09,0.08,0.684,0.17,0.74,0.09,57,6.75,43215.7,0.426,9.98,0.5,0.25,0.38,1
2014,13I010105,13I010,FELT ELEMENTARY,53435,63986,0.02,0.17,0.24,0.52,0.23,0.54,0.24,60,6.5,37924.15,0.143,7.11,0,0.14,0,0
2015,13I010105,13I010,FELT ELEMENTARY,70179.39,69281.95,0.01,0.13,0.13,0.66,0.28,0.56,0.16,50,6.72,38576.77,0.043,8.09,0,0.14,0.21,0
2016,13I010105,13I010,FELT ELEMENTARY,69534.53,57964.51,0.02,0.14,0.2,0.585,0.31,0.59,0.1,65,6.43,40635.66,0.133,11.6,0,0.29,0.21,0
2014,13I010705,13I010,FELT HIGH SCHOOL,53435,63986,0.02,0.17,0.24,0.59,0.23,0.54,0.24,29,4,42491.75,0.393,11.78,0,0.14,0.22,0
2015,13I010705,13I010,FELT HIGH SCHOOL,70179.39,69281.95,0.01,0.13,0.13,0.5,0.28,0.56,0.16,32,3.71,45986,0.308,14.62,0,0.14,0.22,0
2016,13I010705,13I010,FELT HIGH SCHOOL,69534.53,57964.51,0.02,0.14,0.2,0.393,0.31,0.59,0.1,28,3.57,45330.63,0.32,15.8,0,0.29,0.22,0
2014,55I089220,55I089,FILLMORE ELEMENTARY,51403,48041,0.09,0.27,0.47,0.94,0.21,0.56,0.23,862,43.12,47774.9,0.26,10.08,5.24,0.8,4.5,3
2015,55I089220,55I089,FILLMORE ELEMENTARY,53011.22,49735.22,0.08,0.27,0.47,0.65,0.22,0.55,0.22,934,47.07,51327.82,0.28,10.75,5.42,0.8,4.83,3
2016,55I089220,55I089,FILLMORE ELEMENTARY,53956.08,50805.13,0.08,0.28,0.47,0.65,0.22,0.55,0.23,912,44.56,53659.36,0.382,14.11,5.5,0.8,4.33,3
2014,14I002155,14I002,FISHER ELEMENTARY,72627,41624,0.05,0.09,0.26,0.27,0.26,0.65,0.09,529,24.76,46154.47,0.131,14.9,4,1,1.64,1
2015,14I002155,14I002,FISHER ELEMENTARY,74017.72,43667.52,0.05,0.09,0.28,0.241,0.26,0.66,0.09,499,23.74,46338.56,0.137,14.7,4,1,1.64,1
2016,14I002155,14I002,FISHER ELEMENTARY,74645.48,45730.8,0.04,0.08,0.29,0.233,0.26,0.65,0.08,477,21.56,46556.74,0.151,15.55,4,1,2.64,1
2014,16I009105,16I009,FLETCHER ELEMENTARY,62164,30216,0.11,0.14,0.25,0.64,0.2,0.69,0.11,280,14.57,41880.65,0.128,11.9,1,0.33,0.33,1
2015,16I009105,16I009,FLETCHER ELEMENTARY,64220.32,31116.29,0.14,0.18,0.27,0.614,0.16,0.72,0.12,290,16.37,41491.51,0.183,13.17,1,0.33,0,1
2016,16I009105,16I009,FLETCHER ELEMENTARY,68625.53,31719.84,0.13,0.15,0.31,0.601,0.19,0.72,0.09,286,15.86,41152.94,0.189,14.03,1,0.33,0,1
2014,16I009715,16I009,FLETCHER HIGH SCHOOL,62164,30216,0.11,0.14,0.25,0.56,0.2,0.69,0.11,132,9.2,45181.33,0.202,15.21,0.05,0.33,0.33,0.29
2015,16I009715,16I009,FLETCHER HIGH SCHOOL,64220.32,31116.29,0.14,0.18,0.27,0.512,0.16,0.72,0.12,131,9.57,43971.26,0.254,15.64,0.5,0.33,0,0.5
2016,16I009715,16I009,FLETCHER HIGH SCHOOL,68625.53,31719.84,0.13,0.15,0.31,0.511,0.19,0.72,0.09,133,9.27,44080.45,0.276,17.59,0.5,0.33,0,0.5
2014,16I009615,16I009,FLETCHER JR HIGH SCHOOL,62164,30216,0.11,0.14,0.25,0.58,0.2,0.69,0.11,66,5.48,43990.87,0.261,12.67,0.5,0.33,0.33,0.43
2015,16I009615,16I009,FLETCHER JR HIGH SCHOOL,64220.32,31116.29,0.14,0.18,0.27,0.523,0.16,0.72,0.12,65,4.72,42511.66,0.333,14.3,0.5,0.33,0,0.5
2016,16I009615,16I009,FLETCHER JR HIGH SCHOOL,68625.53,31719.84,0.13,0.15,0.31,0.619,0.19,0.72,0.09,63,4.86,42308.78,0.088,14.38,0.5,0.33,0,0.5
2014,16C048105,16C048,FLOWER MOUND ELEMENTARY,66025,34516,0.07,0.06,0.35,0.33,0.35,0.61,0.04,319,17.02,45528.44,0.18,9.72,0,1,0.83,0.55
2015,16C048105,16C048,FLOWER MOUND ELEMENTARY,67136.71,35045.52,0.09,0.06,0.27,0.378,0.33,0.61,0.06,331,17.15,46162.74,0.242,10.63,0,1,0.71,0.54
2016,16C048105,16C048,FLOWER MOUND ELEMENTARY,72572.43,34841.01,0.07,0.07,0.28,0.324,0.22,0.67,0.11,333,15.78,45883.96,0.145,10.67,0.71,1,0.5,0.9
2014,42I001110,42I001,FOGARTY ELEMENTARY,58627,36044,0.05,0.17,0.26,0.71,0.2,0.67,0.13,536,25,40892.88,0.2,9.12,3.5,0.33,1.71,2
2015,42I001110,42I001,FOGARTY ELEMENTARY,60117.28,37604.64,0.06,0.16,0.31,0.655,0.24,0.67,0.1,542,25.11,40917.69,0.283,8.53,3,0.33,2.08,2
2016,42I001110,42I001,FOGARTY ELEMENTARY,62800.21,39302.95,0.06,0.14,0.31,0.688,0.22,0.67,0.1,571,26.97,42071.57,0.448,10.35,3.5,0.33,2.08,1.93
2014,48C001105,48C001,FOREST GROVE ELEMENTARY,52728,37753,0.15,0.21,0.36,0.88,0.18,0.64,0.19,165,10.64,36268.25,0.248,15.87,1,0,0,0.86
2015,48C001105,48C001,FOREST GROVE ELEMENTARY,54101.87,38440.91,0.15,0.21,0.32,0.862,0.19,0.65,0.16,181,9.76,39738.63,0.147,10.4,1,0,1.29,1.28
2016,48C001105,48C001,FOREST GROVE ELEMENTARY,55189.7,43789.08,0.06,0.23,0.44,0.876,0.19,0.66,0.15,178,10.35,38801.89,0.235,15.14,1,0,1.14,0.86
2014,04I123105,04I123,FORGAN ELEMENTARY,64412,205485,0.08,0.18,0.18,0.51,0.19,0.64,0.17,112,10.53,40609.42,0.109,9.2,0.5,0.5,0.5,0.43
2015,04I123105,04I123,FORGAN ELEMENTARY,59568.82,235562.19,0.06,0.2,0.26,0.5,0.21,0.64,0.15,98,10.86,42444.97,0.118,12,0.3,0.5,0.5,0.43
2016,04I123105,04I123,FORGAN ELEMENTARY,65148.84,202952.53,0.03,0.17,0.43,0.588,0.24,0.67,0.09,119,11,42308.45,0.143,14.38,0.3,0.5,0.5,0.43
2014,04I123705,04I123,FORGAN HIGH SCHOOL,64412,205485,0.08,0.18,0.18,0.38,0.19,0.64,0.17,40,6.57,42006.09,0.304,12.28,0.5,0.5,0.5,0.57
2015,04I123705,04I123,FORGAN HIGH SCHOOL,59568.82,235562.19,0.06,0.2,0.26,0.455,0.21,0.64,0.15,44,6.29,42577.47,0.295,12.96,0.3,0.5,0.5,0.57
2016,04I123705,04I123,FORGAN HIGH SCHOOL,65148.84,202952.53,0.03,0.17,0.43,0.578,0.24,0.67,0.09,45,6,43929.33,0.238,13.81,0.3,0.5,0.5,0.57
2014,08I167705,08I167,FORT COBB-BROXTON HIGH SCHOOL,51576,25730,0.09,0.24,0.34,0.62,0.19,0.67,0.14,84,6.88,49484.16,0.311,20.07,0.15,0.39,0.58,0.3
2015,08I167705,08I167,FORT COBB-BROXTON HIGH SCHOOL,50213.38,26009.6,0.06,0.2,0.34,0.685,0.21,0.66,0.13,89,6.35,49033.08,0.348,20.48,0.52,0.35,0.53,0.3
2016,08I167705,08I167,FORT COBB-BROXTON HIGH SCHOOL,51494.01,25787.81,0.07,0.17,0.31,0.735,0.22,0.66,0.13,102,6.85,49168.27,0.353,22.21,0.25,0.35,0.66,0.41
2014,08I167105,08I167,FORT COBB-BROXTON LOWER ELEMENTARY,51576,25730,0.09,0.24,0.34,0.75,0.19,0.67,0.14,177,10.29,46537.33,0.417,21.32,0.71,0.29,0.43,0.5
2015,08I167105,08I167,FORT COBB-BROXTON LOWER ELEMENTARY,50213.38,26009.6,0.06,0.2,0.34,0.677,0.21,0.66,0.13,161,9.29,46669.61,0.354,21.39,0.71,0.28,0.43,0.5
2016,08I167105,08I167,FORT COBB-BROXTON LOWER ELEMENTARY,51494.01,25787.81,0.07,0.17,0.31,0.834,0.22,0.66,0.13,169,8.14,45568.53,0.281,18.77,0.7,0.28,0.79,0.52
2014,08I167505,08I167,FORT COBB-BROXTON MIDDLE SCHOOL,51576,25730,0.09,0.24,0.34,0.76,0.19,0.67,0.14,78,5.39,45368.21,0.448,21.87,0.29,0.32,0.57,0.5
2015,08I167505,08I167,FORT COBB-BROXTON MIDDLE SCHOOL,50213.38,26009.6,0.06,0.2,0.34,0.697,0.21,0.66,0.13,76,4.6,46564.35,0.441,23.36,0.29,0.37,0.57,0.5
2016,08I167505,08I167,FORT COBB-BROXTON MIDDLE SCHOOL,51494.01,25787.81,0.07,0.17,0.31,0.712,0.22,0.66,0.13,73,4.1,46492.08,0.443,24,0.28,0.37,1.07,0.51
2014,51I003110,51I003,FORT GIBSON EARLY LEARNING CTR,63620,66369,0.07,0.14,0.29,0.48,0.22,0.71,0.06,473,28.58,45107.69,0.21,12.33,2,0,2.93,1
2015,51I003110,51I003,FORT GIBSON EARLY LEARNING CTR,68951.18,68437.13,0.07,0.14,0.33,0.558,0.26,0.69,0.05,516,29.76,45611.92,0.202,13.36,2,0,2.92,1
2016,51I003110,51I003,FORT GIBSON EARLY LEARNING CTR,71856.02,67650.24,0.07,0.14,0.3,0.536,0.26,0.68,0.05,487,28.5,44848.7,0.175,14.96,2,0,4.9,1
2014,51I003705,51I003,FORT GIBSON HIGH SCHOOL,63620,66369,0.07,0.14,0.29,0.39,0.22,0.71,0.06,648,35.69,47743.52,0.3,16.53,4,1.17,1,2
2015,51I003705,51I003,FORT GIBSON HIGH SCHOOL,68951.18,68437.13,0.07,0.14,0.33,0.394,0.26,0.69,0.05,632,35.97,48079.69,0.298,16.18,4.5,2,1,2
2016,51I003705,51I003,FORT GIBSON HIGH SCHOOL,71856.02,67650.24,0.07,0.14,0.3,0.416,0.26,0.68,0.05,603,35.99,48816.93,0.27,18.7,4.5,2,1,2
2014,51I003105,51I003,FORT GIBSON INTERMEDIATE ELEMENTARY SCHOOL,63620,66369,0.07,0.14,0.29,0.47,0.22,0.71,0.06,368,21.05,43768.6,0.119,13.44,4,1,1.93,1
2015,51I003105,51I003,FORT GIBSON INTERMEDIATE ELEMENTARY SCHOOL,68951.18,68437.13,0.07,0.14,0.33,0.472,0.26,0.69,0.05,362,19.45,44759.62,0.129,15.23,3.03,1,1.92,1
2016,51I003105,51I003,FORT GIBSON INTERMEDIATE ELEMENTARY SCHOOL,71856.02,67650.24,0.07,0.14,0.3,0.504,0.26,0.68,0.05,353,19.2,45329.91,0.13,18.52,3,1,0.9,1
2014,51I003505,51I003,FORT GIBSON MIDDLE SCHOOL,63620,66369,0.07,0.14,0.29,0.47,0.22,0.71,0.06,400,21.2,44733.3,0.226,12.2,4,0.83,1,2
2015,51I003505,51I003,FORT GIBSON MIDDLE SCHOOL,68951.18,68437.13,0.07,0.14,0.33,0.463,0.26,0.69,0.05,406,20.99,46019.34,0.229,15.24,4.47,1,1,2
2016,51I003505,51I003,FORT GIBSON MIDDLE SCHOOL,71856.02,67650.24,0.07,0.14,0.3,0.447,0.26,0.68,0.05,412,21.82,45413.98,0.266,13.13,4.5,1,1,2
2014,77I005105,77I005,FORT SUPPLY ELEMENTARY,58068,289101,0.04,0.26,0.17,0.54,0.07,0.59,0.34,93,11.58,41528.73,0.173,12.17,0.38,0.33,1.05,0.5
2015,77I005105,77I005,FORT SUPPLY ELEMENTARY,64304.49,253059.45,0.03,0.26,0.25,0.439,0.09,0.59,0.32,107,12.03,44617.67,0.145,13.45,0.4,0.25,1.05,0.5
2016,77I005105,77I005,FORT SUPPLY ELEMENTARY,62387.06,216964.85,0.06,0.25,0.38,0.547,0.09,0.64,0.27,117,11.79,44661.44,0.085,13.38,0.5,0.33,0.33,0
2014,77I005705,77I005,FORT SUPPLY HIGH SCHOOL,58068,289101,0.04,0.26,0.17,0.45,0.07,0.59,0.34,31,4.05,46854.81,0,8.17,0.35,0.67,0.13,0.5
2015,77I005705,77I005,FORT SUPPLY HIGH SCHOOL,64304.49,253059.45,0.03,0.26,0.25,0.357,0.09,0.59,0.32,28,4.79,50847.84,0.104,11.22,0.4,0.25,0.13,0.5
2016,77I005705,77I005,FORT SUPPLY HIGH SCHOOL,62387.06,216964.85,0.06,0.25,0.38,0.4,0.09,0.64,0.27,30,4.67,52257.93,0.178,15.5,0.38,0.33,0.25,1
2014,12I002105,12I002,FORT TOWSON ELEMENTARY,39303,37958,0.14,0.22,0.37,0.81,0.14,0.67,0.19,293,21.07,42031.51,0.024,14.73,1,0.5,0.5,1
2015,12I002105,12I002,FORT TOWSON ELEMENTARY,46080.69,36175.76,0.15,0.24,0.34,0.848,0.16,0.66,0.18,191,15.36,43448.53,0.065,13.44,1,0.5,0.5,1
2016,12I002105,12I002,FORT TOWSON ELEMENTARY,45733.17,38223.7,0.1,0.26,0.35,0.859,0.14,0.71,0.15,177,14.5,44498.76,0.138,18.62,1,0.5,0.5,1
2014,12I002705,12I002,FORT TOWSON HIGH SCHOOL,39303,37958,0.14,0.22,0.37,0.8,0.14,0.67,0.19,152,10.93,41669.29,0.32,8.94,1,0.5,0.5,1
2015,12I002705,12I002,FORT TOWSON HIGH SCHOOL,46080.69,36175.76,0.15,0.24,0.34,0.884,0.16,0.66,0.18,147,9.46,41928.68,0.37,9.28,1,0.36,0.36,1
2016,12I002705,12I002,FORT TOWSON HIGH SCHOOL,45733.17,38223.7,0.1,0.26,0.35,0.795,0.14,0.71,0.15,166,9.89,43359.38,0.426,10.53,1,0.36,0.36,0.5
2015,12I002605,12I002,FORT TOWSON JR HIGH SCHOOL,46080.69,36175.76,0.15,0.24,0.34,0.868,0.16,0.66,0.18,76,5.45,38933.88,0.088,9.28,0,0.14,0.14,0
2016,12I002605,12I002,FORT TOWSON JR HIGH SCHOOL,45733.17,38223.7,0.1,0.26,0.35,0.889,0.14,0.71,0.15,54,5.61,41712.2,0.14,9.95,0,0.14,0.14,0.5
2014,10I074105,10I074,FOX ELEMENTARY,45551,99228,0.05,0.11,0.13,0.84,0.08,0.74,0.18,239,10.42,44455.66,0.204,12.56,1.13,0.25,0.1,1
2015,10I074105,10I074,FOX ELEMENTARY,50621.81,113442.9,0.06,0.12,0.13,0.851,0.12,0.72,0.17,241,12,43213.33,0.167,12.46,0,0.25,0,1
2016,10I074105,10I074,FOX ELEMENTARY,51371.62,95352.33,0.03,0.12,0.14,0.878,0.13,0.75,0.12,230,12.25,43595.67,0.245,13.69,0,0.25,0,1
2014,10I074705,10I074,FOX HIGH SCHOOL,45551,99228,0.05,0.11,0.13,0.58,0.08,0.74,0.18,91,7.5,47710.27,0.1,18.45,0,0.25,0.1,0
2015,10I074705,10I074,FOX HIGH SCHOOL,50621.81,113442.9,0.06,0.12,0.13,0.647,0.12,0.72,0.17,99,6.88,47654.69,0.127,14.05,1,0.25,0,0
2016,10I074705,10I074,FOX HIGH SCHOOL,51371.62,95352.33,0.03,0.12,0.14,0.796,0.13,0.75,0.12,88,6.88,48367.13,0.127,15.65,1,0.25,0,0
2014,66I007105,66I007,FOYIL ELEMENTARY,52558,19489,0.12,0.18,0.33,0.81,0.1,0.75,0.15,339,22.17,41851.07,0.113,11.17,2,0.5,0.5,1.14
2015,66I007105,66I007,FOYIL ELEMENTARY,55721.52,20612.43,0.12,0.18,0.34,0.798,0.11,0.75,0.14,337,19.07,41335.01,0.079,11.51,3.86,0.5,0.5,0.57
2016,66I007105,66I007,FOYIL ELEMENTARY,51557.31,22834.16,0.11,0.17,0.27,0.818,0.1,0.73,0.17,308,18.21,40895.36,0.028,10.87,2.19,0.5,0.5,1.14
2014,66I007705,66I007,FOYIL HIGH SCHOOL,52558,19489,0.12,0.18,0.33,0.7,0.1,0.75,0.15,114,9.14,41820.94,0.078,8.95,1.57,0.25,0.25,1.43
2015,66I007705,66I007,FOYIL HIGH SCHOOL,55721.52,20612.43,0.12,0.18,0.34,0.71,0.11,0.75,0.14,107,9.43,42263.36,0.152,9.45,1.86,0.25,0.25,0.5
2016,66I007705,66I007,FOYIL HIGH SCHOOL,51557.31,22834.16,0.11,0.17,0.27,0.712,0.1,0.73,0.17,104,9.86,42743.36,0.174,9.43,1.86,0.25,0.25,0.5
2014,66I007610,66I007,FOYIL JR HIGH SCHOOL,52558,19489,0.12,0.18,0.33,0.8,0.1,0.75,0.15,133,7.86,41008.4,0.055,8.98,1.29,0.25,0.25,1.43
2015,66I007610,66I007,FOYIL JR HIGH SCHOOL,55721.52,20612.43,0.12,0.18,0.34,0.727,0.11,0.75,0.14,128,5.37,44164.43,0.08,13.71,1,0.25,0.25,0.93
2016,66I007610,66I007,FOYIL JR HIGH SCHOOL,51557.31,22834.16,0.11,0.17,0.27,0.702,0.1,0.73,0.17,114,4.86,41516.06,0.147,11.3,0.14,0.25,0.25,1.5
2014,62I016115,62I016,FRANCIS ELEMENTARY,66481,25151,0.04,0.13,0.46,0.79,0.29,0.58,0.13,246,11.42,41866.34,0.219,16.39,2,1,3.27,1.2
2015,62I016115,62I016,FRANCIS ELEMENTARY,60865.92,29118.88,0.04,0.14,0.43,0.659,0.28,0.58,0.14,276,11.42,41766.73,0.219,15.34,3,1,2.77,1.2
2016,62I016115,62I016,FRANCIS ELEMENTARY,61854.64,29650.27,0.04,0.14,0.45,0.784,0.25,0.62,0.13,264,11.5,41934.35,0.391,17.61,2.99,1,2.64,1.2
2014,71I158105,71I158,FREDERICK ELEMENTARY,42893,24317,0.1,0.2,0.35,0.88,0.15,0.6,0.25,482,25.02,42305.55,0.305,14.1,2,0,2,2
2015,71I158105,71I158,FREDERICK ELEMENTARY,44269.42,23471.64,0.11,0.27,0.39,0.821,0.14,0.59,0.27,476,26.32,42798.37,0.149,11.74,2.14,0.57,2,1.86
2016,71I158105,71I158,FREDERICK ELEMENTARY,47854.78,23808.22,0.07,0.25,0.42,0.757,0.16,0.58,0.25,470,24.58,42966.07,0.206,12.68,2.14,0,3.48,1.57
2014,71I158710,71I158,FREDERICK HIGH SCHOOL,42893,24317,0.1,0.2,0.35,0.7,0.15,0.6,0.25,233,14.1,44015.82,0.091,13.11,1,0.5,0.5,1
2015,71I158710,71I158,FREDERICK HIGH SCHOOL,44269.42,23471.64,0.11,0.27,0.39,0.702,0.14,0.59,0.27,238,14.16,43642.69,0.03,11.57,1,1,0.5,1
2016,71I158710,71I158,FREDERICK HIGH SCHOOL,47854.78,23808.22,0.07,0.25,0.42,0.696,0.16,0.58,0.25,214,14.22,42525.36,0.06,8.5,1,1,0.5,1
2014,71I158505,71I158,FREDERICK MIDDLE SCHOOL,42893,24317,0.1,0.2,0.35,0.76,0.15,0.6,0.25,170,13.14,43525.42,0.196,14.91,1,0.5,0.5,1
2015,71I158505,71I158,FREDERICK MIDDLE SCHOOL,44269.42,23471.64,0.11,0.27,0.39,0.8,0.14,0.59,0.27,155,12.26,44373.23,0.256,15.12,1,0.43,0.5,1
2016,71I158505,71I158,FREDERICK MIDDLE SCHOOL,47854.78,23808.22,0.07,0.25,0.42,0.827,0.16,0.58,0.25,179,11.1,43815.05,0.258,14.26,1,0.5,0.64,1
2014,19I033150,19I033,FREEDOM ELEMENTARY,60659,39995,0.1,0.15,0.38,0.53,0.2,0.66,0.15,479,23.32,42421.04,0.129,8.11,4,0.44,3.34,1
2014,76I006105,76I006,FREEDOM ELEMENTARY,61352,205559,0,0.1,0.51,0.71,0.21,0.68,0.11,61,6.59,40053.41,0.172,6.69,0,0.25,0.1,0.5
2015,76I006105,76I006,FREEDOM ELEMENTARY,66838.14,272909.13,0,0.08,0.46,0.478,0.18,0.66,0.16,69,6.68,42289.84,0.297,9.67,0.14,0.13,0.1,0.6
2015,19I033150,19I033,FREEDOM ELEMENTARY,61292.85,42647.64,0.08,0.15,0.33,0.518,0.19,0.66,0.15,496,25.27,44364.91,0.198,11.03,4,1,3.52,1
2016,16I008127,16I008,FREEDOM ELEMENTARY,55235.61,30828.06,0.09,0.2,0.43,0.564,0.2,0.69,0.11,1133,48.92,43839.55,0.226,13.2,7.54,2,3.5,3
2016,19I033150,19I033,FREEDOM ELEMENTARY,62074.99,44933.66,0.06,0.15,0.29,0.574,0.18,0.68,0.15,469,24.28,45020.01,0.284,12.92,3.96,1,2.5,1
2016,76I006105,76I006,FREEDOM ELEMENTARY,72086.24,271924.61,0,0.08,0.23,0.509,0.2,0.68,0.12,55,7.06,42521.04,0.26,14.4,0.14,0.13,0.1,0.6
2014,76I006705,76I006,FREEDOM HIGH SCHOOL,61352,205559,0,0.1,0.51,0.63,0.21,0.68,0.11,27,4.04,39633.91,0.03,6.49,0.25,0.25,0.1,0.5
2015,76I006705,76I006,FREEDOM HIGH SCHOOL,66838.14,272909.13,0,0.08,0.46,0.5,0.18,0.66,0.16,28,4.68,43465.5,0.133,7.15,0.16,0.13,0.24,0.6
2016,76I006705,76I006,FREEDOM HIGH SCHOOL,72086.24,271924.61,0,0.08,0.23,0.478,0.2,0.68,0.12,23,4.11,45646.63,0.151,9.21,0.35,0.13,0.25,0.5
2014,26C037105,26C037,FRIEND ELEMENTARY,65013,51226,0.06,0.08,0.16,0.51,0.17,0.68,0.14,224,14.29,40816.94,0.14,11.46,0.86,0.14,0.29,0.4
