,Year,SchoolCode,SchoolName,IndexScore,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total,3_Math_Advanced,3_Math_Below_Satisfactory,3_Math_Satisfactory,3_Reading_Advanced,3_Reading_Below_Satisfactory,3_Reading_Satisfactory,4_Math_Advanced,4_Math_Below_Satisfactory,4_Math_Satisfactory,4_Reading_Advanced,4_Reading_Below_Satisfactory,4_Reading_Satisfactory,5_Math_Advanced,5_Math_Below_Satisfactory,5_Math_Satisfactory,5_Reading_Advanced,5_Reading_Below_Satisfactory,5_Reading_Satisfactory,5_Science_Advanced,5_Science_Below_Satisfactory,5_Science_Satisfactory,5_SocialStudies_Advanced,5_SocialStudies_Below_Satisfactory,5_SocialStudies_Satisfactory
618,2016,08I167105,FORT COBB-BROXTON LOWER ES,65.0,51494.01,25787.81,0.07,0.17,0.31,0.8340000000000001,0.22,0.66,0.13,169.0,8.14,45568.53,0.281,18.77,0.7,0.28,0.79,0.52,0.0533,0.2249,0.0,0.0118,0.0,0.5858,0.1243,169.0,0.39,0.0,0.61,0.11,0.0,0.89,0.03,0.4,0.57,0.0375,0.25,0.7125,0.2211,0.33,0.4489,0.1411,0.17,0.6889,0.0336,0.58,0.3864,0.04,0.5,0.46
619,2016,08I161105,HINTON ES,73.0,61147.64,57905.48,0.06,0.17,0.36,0.62,0.11,0.7,0.19,405.0,20.91,42713.02,0.239,13.64,1.0,1.0,0.14,1.0,0.2272,0.1037,0.0,0.0198,0.0,0.6395,0.0099,405.0,0.1872,0.22,0.5928,0.0,0.17,0.83,0.084,0.3,0.616,0.0174,0.42,0.5626,0.1656,0.08,0.7544,0.0344,0.14,0.8256,0.1176,0.16,0.7224,0.3948,0.16,0.4452
620,2016,08I011105,HYDRO-EAKLY ES,103.0,56446.58,51092.25,0.04,0.14,0.23,0.69,0.18,0.68,0.14,239.0,13.95,42538.02,0.096,16.13,1.34,1.0,0.0,1.0,0.2218,0.0335,0.0,0.0126,0.0,0.6946,0.0377,239.0,0.3344,0.12,0.5456,0.1104,0.08,0.8096,0.73,0.0,0.27,0.0819,0.09,0.8281,0.71,0.0,0.29,0.14,0.0,0.86,0.2838,0.14,0.5762,0.513,0.1,0.387
621,2016,09I076105,CALUMET ES,95.0,85273.81,281839.77,0.06,0.13,0.33,0.812,0.18,0.7,0.12,149.0,10.57,41501.75,0.149,8.08,1.0,0.14,0.14,0.8,0.1074,0.1678,0.0,0.0067,0.0,0.6174,0.1007,149.0,0.435,0.25,0.315,0.0736,0.08,0.8464,0.38,0.0,0.62,0.0,0.0,1.0,0.1958,0.11,0.6942,0.1958,0.11,0.6942,0.1958,0.11,0.6942,0.56,0.0,0.44
623,2016,09I034120,LINCOLN LEARNING CTR,77.0,60315.5,24895.16,0.07,0.14,0.37,0.768,0.12,0.73,0.15,380.0,19.99,42524.19,0.25,12.01,2.5,0.0,2.43,2.0,0.2816,0.1316,0.0,0.0421,0.0026,0.4421,0.1,380.0,0.18,0.25,0.57,0.0444,0.26,0.6956,0.2241,0.17,0.6059,0.0249,0.17,0.8051,0.24825590277777776,0.2532595486111111,0.4984845486111111,0.09248153446033809,0.23993931512787167,0.6675791504117903,0.12334265217391303,0.4013565217391305,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375
624,2016,09I069145,CANYON RIDGE IES,82.0,80463.04,44100.02,0.04,0.06,0.25,0.365,0.25,0.68,0.07,916.0,48.54,45021.61,0.165,12.55,6.96,2.0,2.0,2.0,0.1212,0.0524,0.0731,0.0317,0.0033,0.6452,0.0731,916.0,0.22113018714401952,0.2788771358828316,0.49999267697314886,0.02901929325751422,0.20329406986190088,0.7676866368805849,0.2171435303844564,0.24946258784621747,0.5333938817693262,0.037106853839801814,0.24202725020644097,0.7208658959537573,0.396,0.12,0.484,0.083,0.17,0.747,0.134,0.33,0.536,0.3936,0.18,0.4264
625,2016,09I069135,MUSTANG CENTENNIAL ES,79.0,80463.04,44100.02,0.04,0.06,0.25,0.469,0.25,0.68,0.07,655.0,36.21,44655.1,0.166,12.17,3.97,1.0,2.5,2.0,0.11599999999999999,0.0763,0.0107,0.0168,0.0015,0.6763,0.1023,655.0,0.2904,0.12,0.5896,0.0178,0.11,0.8722,0.1368,0.24,0.6232,0.0,0.24,0.76,0.24825590277777776,0.2532595486111111,0.4984845486111111,0.09248153446033809,0.23993931512787167,0.6675791504117903,0.12334265217391303,0.4013565217391305,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375
626,2016,09I069125,MUSTANG CREEK ES,77.0,80463.04,44100.02,0.04,0.06,0.25,0.466,0.25,0.68,0.07,689.0,36.0,43212.19,0.222,9.42,3.0,1.0,4.0,2.0,0.0726,0.0464,0.0537,0.0421,0.0058,0.6647,0.1147,689.0,0.1782,0.34,0.4818,0.0079,0.21,0.7821,0.1975,0.21,0.5925,0.0348,0.13,0.8352,0.24825590277777776,0.2532595486111111,0.4984845486111111,0.09248153446033809,0.23993931512787167,0.6675791504117903,0.12334265217391303,0.4013565217391305,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375
627,2016,09I069105,MUSTANG ES,79.0,80463.04,44100.02,0.04,0.06,0.25,0.42200000000000004,0.25,0.68,0.07,491.0,28.04,42370.44,0.107,7.01,1.96,1.0,1.5,2.0,0.0774,0.0489,0.0204,0.0183,0.0,0.7251,0.11,491.0,0.2772,0.16,0.5628,0.054000000000000006,0.1,0.846,0.1694,0.23,0.6006,0.0234,0.22,0.7566,0.24825590277777776,0.2532595486111111,0.4984845486111111,0.09248153446033809,0.23993931512787167,0.6675791504117903,0.12334265217391303,0.4013565217391305,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375
628,2016,09I069115,MUSTANG LAKEHOMA ES,84.0,80463.04,44100.02,0.04,0.06,0.25,0.306,0.25,0.68,0.07,540.0,28.0,48142.86,0.25,19.14,2.0,1.0,2.5,2.0,0.0556,0.0741,0.0093,0.0185,0.0,0.7852,0.0574,540.0,0.5076,0.06,0.4324,0.0376,0.06,0.9024,0.2697,0.13,0.6003,0.0528,0.12,0.8272,0.24825590277777776,0.2532595486111111,0.4984845486111111,0.09248153446033809,0.23993931512787167,0.6675791504117903,0.12334265217391303,0.4013565217391305,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375
