,Year,SchoolCode,SchoolName,IndexScore,LetterGrade,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total
2553,2014,24I057505,EMERSON MS,83.0,B,56810.0,33323.0,0.06,0.16,0.35,0.78,0.22,0.63,0.15,408.0,25.99,46922.17,0.369,15.06,3.62,1.0,1.65,2.0,0.223,0.0245,0.0025,0.0392,0.0417,0.5637,0.1054,408.0
2554,2015,24I057505,EMERSON MS,68.0,D,58949.32,34706.02,0.06,0.14,0.34,0.777,0.21,0.64,0.15,417.0,21.84,46768.2,0.389,15.53,4.02,1.0,1.68,2.0,0.19899999999999998,0.0192,0.0096,0.0456,0.06,0.6067,0.06,417.0
2557,2014,33I018625,ALTUS JHS,86.0,B,55217.0,27049.0,0.09,0.17,0.35,0.64,0.18,0.64,0.17,515.0,34.1,45282.82,0.20800000000000002,16.72,4.0,1.86,1.0,2.0,0.4117,0.0097,0.0078,0.0835,0.0019,0.4427,0.0427,515.0
2558,2015,33I018625,ALTUS JHS,74.0,C,53695.28,28924.39,0.08,0.16,0.34,0.632,0.18,0.63,0.19,497.0,30.34,45241.08,0.19,16.12,4.0,2.0,1.0,2.0,0.3843,0.0121,0.0101,0.0905,0.008,0.4245,0.0704,497.0
2560,2015,39I001510,WILBURTON MS,93.0,A,53396.39,29423.01,0.09,0.19,0.37,0.6829999999999999,0.13,0.72,0.14,189.0,12.0,46604.53,0.191,12.98,1.29,1.0,1.14,1.0,0.037000000000000005,0.3386,0.0,0.0,0.0,0.6138,0.0106,189.0
2561,2014,40I052610,TALIHINA JHS,59.0,F,35665.0,10409.0,0.21,0.34,0.55,0.88,0.15,0.63,0.22,116.0,9.43,43283.03,0.076,9.94,0.0,0.43,0.86,0.57,0.0431,0.5172,0.0,0.0172,0.0,0.4052,0.0172,116.0
2562,2015,46I016505,SALINA MS,76.0,C,43225.47,19920.83,0.06,0.24,0.5,0.738,0.12,0.71,0.17,168.0,9.88,42348.01,0.20199999999999999,12.7,0.82,0.5,2.51,1.0,0.0119,0.6667,0.0,0.006,0.0,0.2917,0.0238,168.0
2563,2014,47I001505,NEWCASTLE MS,86.0,B,78172.0,44986.0,0.04,0.06,0.26,0.27,0.25,0.62,0.14,395.0,20.57,43504.91,0.276,13.03,2.38,0.83,1.0,0.97,0.0861,0.2405,0.0,0.0025,0.0,0.5848,0.0861,395.0
2564,2015,47I001505,NEWCASTLE MS,84.0,B,83589.62,47279.13,0.03,0.07,0.27,0.245,0.28,0.63,0.09,432.0,20.13,44414.28,0.282,14.61,3.34,0.83,1.0,2.0,0.0856,0.2315,0.0,0.0046,0.0023,0.5833,0.0926,432.0
2565,2015,52I001605,PERRY JHS,74.0,C,57941.15,46163.71,0.06,0.15,0.18,0.48700000000000004,0.23,0.65,0.12,187.0,11.71,42136.6,0.183,16.56,1.86,0.14,1.14,1.0,0.0588,0.12300000000000001,0.016,0.0374,0.0053,0.738,0.0214,187.0
