,Year,SchoolCode,SchoolName,IndexScore,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total,6_Math_Advanced,6_Math_Below_Satisfactory,6_Math_Satisfactory,6_Reading_Advanced,6_Reading_Below_Satisfactory,6_Reading_Satisfactory,7_Math_Advanced,7_Math_Below_Satisfactory,7_Math_Satisfactory,7_Reading_Advanced,7_Reading_Below_Satisfactory,7_Reading_Satisfactory,8_History_Advanced,8_History_Below_Satisfactory,8_History_Satisfactory,8_Math_Advanced,8_Math_Below_Satisfactory,8_Math_Satisfactory,8_Reading_Advanced,8_Reading_Below_Satisfactory,8_Reading_Satisfactory,8_Science_Advanced,8_Science_Below_Satisfactory,8_Science_Satisfactory,EOI_Algebra_Advanced,EOI_Algebra_Below_Satisfactory,EOI_Algebra_Satisfactory
2659,2015,72I005505,JENKS MS,82,100013.78,66258.99,0.05,0.09,0.25,0.358,0.5,0.45,0.05,1658,77.12,49300.21,0.336,14.88,17.8,3.5,5.38,4.25,0.1255,0.0778,0.0875,0.0844,0.0024,0.5935,0.028999999999999998,1658.0,,,,,,,0.21600000000000003,0.1,0.684,0.2112,0.12,0.6688,0.3726,0.19,0.4374,0.033,0.45,0.517,0.2548,0.09,0.6552,0.2175,0.25,0.5325,0.6566,0.02,0.3234
2660,2015,72I001515,CARVER MS,95,57115.75,57723.51,0.09,0.23,0.49,0.579,0.26,0.59,0.15,615,32.4,49307.89,0.415,16.83,0.5,3.0,1.26,2.0,0.187,0.0293,0.0228,0.3268,0.0,0.3301,0.1041,615.0,0.3036,0.08,0.6164,0.0704,0.12,0.8096,0.2697,0.07,0.6603,0.3744,0.04,0.5856,0.3555,0.21,0.4345,0.07400000000000001,0.26,0.6659999999999999,0.2024,0.08,0.7176,0.259,0.26,0.48100000000000004,0.87,0.0,0.13
2661,2015,10I019505,ARDMORE MS,63,51315.94,56276.21,0.07,0.21,0.44,0.889,0.17,0.64,0.19,660,32.65,44009.1,0.48100000000000004,11.71,4.75,2.0,1.68,3.0,0.1576,0.1106,0.0106,0.1803,0.0061,0.4015,0.1333,660.0,0.07200000000000001,0.4,0.528,0.0128,0.36,0.6272,0.066,0.4,0.534,0.075,0.25,0.675,0.1102,0.42,0.4698,0.0041,0.59,0.4059,0.136,0.2,0.664,0.0296,0.63,0.3404,0.2914,0.06,0.6486
2662,2015,58I023505,WILL ROGERS MS,69,47499.4,23904.94,0.09,0.22,0.43,0.703,0.16,0.69,0.15,505,28.63,42795.59,0.24,8.58,4.17,2.0,3.0,2.0,0.0673,0.2673,0.0059,0.002,0.0396,0.4515,0.1663,505.0,0.1449,0.37,0.4851,0.0803,0.27,0.6497,0.063,0.3,0.637,0.078,0.22,0.7020000000000001,0.3344,0.24,0.4256,0.021,0.58,0.39899999999999997,0.1804,0.18,0.6396,0.1216,0.36,0.5184,0.6174,0.02,0.3626
2663,2014,18I020505,BLUEJACKET MS,79,54536.0,39130.0,0.04,0.1,0.19,0.69,0.13,0.72,0.15,54,4.48,42716.99,0.217,16.36,0.36,0.07,0.17,0.5,0.0,0.537,0.0,0.0,0.0,0.4444,0.0185,54.0,0.0602,0.14,0.7998,0.0651,0.07,0.8649,0.1232,0.44,0.4368,0.1958,0.11,0.6942,0.3496,0.08,0.5704,0.1275,0.15,0.7225,0.0,0.15,0.85,0.0,0.38,0.62,,,
2664,2014,74I030510,MADISON MS,87,66112.0,44351.0,0.06,0.15,0.35,0.43,0.29,0.61,0.1,625,35.29,44300.07,0.213,11.67,4.33,2.0,2.33,2.0,0.1216,0.1376,0.0176,0.0336,0.0016,0.5648,0.1232,625.0,0.2656,0.17,0.5644,0.1932,0.16,0.6468,0.455,0.09,0.455,0.376,0.06,0.564,0.5742,0.13,0.2958,0.35600000000000004,0.11,0.534,0.3008,0.06,0.6392,0.18,0.28,0.54,0.96,0.0,0.04
2666,2014,55I004520,CHOCTAW MS,83,78997.0,34826.0,0.05,0.09,0.27,0.37,0.25,0.66,0.09,653,34.39,41476.9,0.145,10.48,6.0,1.5,2.64,2.0,0.0658,0.1118,0.0031,0.0291,0.0015,0.7198,0.0689,653.0,0.192,0.2,0.608,0.1406,0.26,0.5994,0.261,0.13,0.609,0.1869,0.11,0.7031,0.27,0.25,0.48,0.036000000000000004,0.55,0.414,0.0913,0.17,0.7387,0.1512,0.28,0.5688,0.2992,0.12,0.5808
2667,2014,36I071515,PONCA CITY EAST MS,75,56172.0,51704.0,0.08,0.18,0.37,0.64,0.21,0.65,0.13,383,19.67,44918.67,0.203,14.48,3.48,1.0,1.54,2.0,0.1123,0.1958,0.0052,0.0496,0.0,0.6292,0.0078,383.0,,,,,,,,,,,,,0.345,0.25,0.405,0.1292,0.32,0.5508,0.1245,0.17,0.7055,0.0885,0.41,0.5015,0.65,0.0,0.35
2668,2014,09I027520,YUKON MS,81,75527.0,38164.0,0.05,0.06,0.25,0.41,0.3,0.64,0.06,1763,84.16,45415.14,0.214,13.35,12.0,4.07,4.0,4.93,0.0896,0.0556,0.0216,0.0363,0.0017,0.7828,0.0125,1763.0,0.1242,0.31,0.5658,0.1106,0.21,0.6794,0.18,0.25,0.57,0.258,0.14,0.602,0.3311,0.23,0.4389,0.2916,0.19,0.5184,0.1392,0.13,0.7308,0.0912,0.43,0.4788,0.9108,0.01,0.0792
2669,2015,55I089540,OKLAHOMA CENTENNIAL MS,54,53011.22,49735.22,0.08,0.27,0.47,0.922,0.22,0.55,0.22,217,14.75,49032.47,0.225,10.29,4.17,1.0,0.97,0.0,0.235,0.0507,0.0184,0.5392,0.0046,0.106,0.0461,217.0,,,,,,,0.0455,0.35,0.6045,0.0122,0.39,0.5978,0.0125,0.75,0.2375,0.0,0.56,0.44,0.0,0.68,0.32,0.0196,0.72,0.2604,0.0564,0.06,0.8836
2670,2014,69I003505,MARLOW MS,77,60479.0,30982.0,0.09,0.16,0.26,0.46,0.17,0.7,0.13,293,16.49,41801.46,0.069,11.91,3.0,0.9,1.5,2.0,0.0648,0.1433,0.0,0.0137,0.0,0.7645,0.0137,293.0,0.08800000000000001,0.2,0.7120000000000001,0.0408,0.32,0.6392,0.1992,0.17,0.6308,0.1365,0.09,0.7735,0.5655,0.13,0.3045,0.312,0.2,0.488,0.1462,0.14,0.7138,0.0975,0.35,0.5525,,,
2671,2014,55I089540,OKLAHOMA CENTENNIAL MS,52,51403.0,48041.0,0.09,0.27,0.47,0.98,0.21,0.56,0.23,255,18.74,47290.35,0.377,10.71,4.71,1.54,3.22,0.14,0.2078,0.0157,0.0078,0.6392,0.0039,0.0863,0.0392,255.0,,,,,,,0.0312,0.48,0.4888,0.0123,0.59,0.3977,0.027000000000000003,0.73,0.243,0.0402,0.33,0.6298,0.0715,0.35,0.5785,0.0217,0.69,0.2883,0.2511,0.19,0.5589
2673,2015,55I001550,WESTERN OAKS MS,70,63282.81,50214.98,0.06,0.17,0.4,0.9059999999999999,0.32,0.58,0.11,680,35.43,46588.44,0.182,9.02,9.83,2.0,4.71,2.0,0.3029,0.0382,0.0132,0.175,0.0029,0.3809,0.0868,680.0,0.1323,0.37,0.4977,0.0225,0.25,0.7275,0.0715,0.35,0.5785,0.2158,0.17,0.6142,0.221,0.35,0.429,0.1184,0.26,0.6216,0.1656,0.08,0.7544,0.1536,0.36,0.4864,0.39899999999999997,0.05,0.551
2675,2015,55I003505,LUTHER MS,70,69820.62,89123.29,0.02,0.11,0.18,0.604,0.2,0.69,0.11,275,14.75,42679.32,0.107,14.58,2.0,0.5,0.43,1.0,0.1127,0.0655,0.0036,0.0618,0.0,0.7091,0.0473,275.0,0.4641,0.09,0.4459,0.0336,0.44,0.5264,0.0966,0.31,0.5934,0.14400000000000002,0.2,0.6559999999999999,0.2485,0.29,0.4615,0.0,0.77,0.23,0.083,0.17,0.747,0.0304,0.62,0.3496,0.31,0.0,0.69
2676,2014,72I001663,MEMORIAL JHS,47,56448.0,56175.0,0.09,0.23,0.48,0.93,0.25,0.59,0.15,550,27.02,45830.37,0.259,12.66,6.0,2.0,1.24,2.0,0.2582,0.0873,0.0182,0.3418,0.0018,0.2036,0.0891,550.0,,,,,,,0.0108,0.46,0.5292,0.0427,0.39,0.5673,0.15,0.5,0.35,0.0363,0.67,0.2937,0.0236,0.41,0.5664,0.0481,0.63,0.3219,0.1826,0.17,0.6474
2677,2014,55I001550,WESTERN OAKS MS,79,62910.0,48980.0,0.06,0.16,0.42,0.87,0.32,0.57,0.11,683,35.5,46249.66,0.239,10.73,10.0,1.95,5.2,2.0,0.2562,0.0381,0.0117,0.205,0.0015,0.4217,0.0659,683.0,0.1702,0.26,0.5698,0.1411,0.17,0.6889,0.1022,0.27,0.6278,0.152,0.2,0.648,0.4368,0.22,0.3432,0.122,0.39,0.488,0.1869,0.11,0.7031,0.203,0.3,0.49700000000000005,0.5978,0.02,0.3822
2678,2014,14I002655,HIGHLAND WEST JHS,85,72627.0,41624.0,0.05,0.09,0.26,0.62,0.26,0.65,0.09,602,27.44,42243.58,0.21899999999999997,7.66,7.99,2.0,3.0,2.0,0.1429,0.0714,0.0183,0.0581,0.0,0.4784,0.2309,602.0,,,,,,,0.289,0.15,0.561,0.2324,0.17,0.5976,0.3139,0.27,0.4161,0.0897,0.31,0.6003,0.132,0.12,0.748,0.0912,0.43,0.4788,0.76,0.0,0.24
2679,2014,72I002615,CENTRAL 9TH GRADE CTR,89,60469.0,30048.0,0.06,0.12,0.3,0.57,0.18,0.69,0.13,480,18.5,44919.41,0.21600000000000003,13.42,2.05,1.0,2.06,2.05,0.0604,0.1917,0.0021,0.0479,0.0021,0.6792,0.0167,480.0,,,,,,,,,,,,,,,,,,,,,,,,,0.105,0.25,0.645
2680,2015,19I033505,SAPULPA MS,73,61292.85,42647.64,0.08,0.15,0.33,0.72,0.19,0.66,0.15,532,26.11,44297.93,0.268,10.47,4.84,1.85,1.78,2.33,0.0489,0.1523,0.0019,0.0489,0.0019,0.6015,0.1447,532.0,0.0814,0.26,0.6586,0.0316,0.21,0.7584,0.1406,0.26,0.5994,0.11900000000000001,0.15,0.731,,,,,,,,,,,,,,,
2681,2014,19I033505,SAPULPA MS,63,60659.0,39995.0,0.1,0.15,0.38,0.73,0.2,0.66,0.15,527,23.38,43641.31,0.385,10.35,4.96,2.0,3.64,2.33,0.0645,0.1746,0.0019,0.0304,0.0038,0.5882,0.1366,527.0,0.0737,0.33,0.5963,0.0737,0.33,0.5963,0.1425,0.25,0.6075,0.0923,0.29,0.6177,,,,,,,,,,,,,,,
2682,2014,55I052510,DEL CREST MS,62,56232.0,34558.0,0.07,0.14,0.45,0.87,0.19,0.7,0.11,534,28.91,45232.52,0.365,11.94,6.2,2.0,3.1,2.78,0.1386,0.0412,0.0019,0.3521,0.0056,0.3539,0.1067,534.0,0.054000000000000006,0.46,0.486,0.0715,0.45,0.4785,0.055999999999999994,0.44,0.504,0.0552,0.31,0.6348,0.2205,0.37,0.4095,0.0108,0.64,0.3492,0.0384,0.36,0.6016,0.0205,0.59,0.3895,0.2592,0.19,0.5508
2683,2014,07I072500,DURANT MS,88,49643.0,33383.0,0.1,0.23,0.41,0.62,0.22,0.59,0.18,472,28.29,48111.19,0.753,12.33,4.0,1.6,1.0,2.0,0.0805,0.3072,0.0085,0.0212,0.0021,0.5127,0.0678,472.0,,,,,,,0.308,0.12,0.5720000000000001,0.3382,0.11,0.5518,0.5481,0.13,0.3219,0.2805,0.15,0.5695,0.2576,0.08,0.6624,0.2072,0.26,0.5328,0.85,0.0,0.15
2685,2015,19I018505,RONGEY MS,84,65458.92,49594.33,0.06,0.1,0.2,0.57,0.2,0.66,0.14,86,5.43,39783.75,0.079,9.42,0.29,0.43,0.43,0.57,0.1279,0.1628,0.0,0.0,0.0,0.6395,0.0698,86.0,,,,,,,0.0748,0.32,0.6052,0.2134,0.03,0.7566,0.5544,0.16,0.2856,0.315,0.1,0.585,0.13,0.0,0.87,0.2016,0.28,0.5184,0.95,0.0,0.05
2686,2014,55I089525,TAFT MS,60,51403.0,48041.0,0.09,0.27,0.47,0.89,0.21,0.56,0.23,596,33.85,49191.54,0.23600000000000002,11.84,11.0,2.04,6.79,4.0,0.4564,0.0604,0.0503,0.2198,0.0034,0.198,0.0117,596.0,,,,,,,0.0558,0.38,0.5642,0.1215,0.19,0.6885,0.1357,0.41,0.4543,0.036000000000000004,0.6,0.364,0.042,0.3,0.6579999999999999,0.0129,0.57,0.4171,0.2697,0.13,0.6003
2687,2015,41I001610,CHANDLER JHS,89,52089.57,31190.54,0.09,0.15,0.32,0.41700000000000004,0.14,0.73,0.14,175,12.92,44092.01,0.188,14.69,0.99,0.8,0.29,1.0,0.0171,0.1429,0.0114,0.0229,0.0,0.7771,0.0286,175.0,,,,,,,0.1978,0.14,0.6622,0.1246,0.11,0.7654,0.23800000000000002,0.32,0.442,0.47700000000000004,0.1,0.423,0.235,0.06,0.705,0.13,0.35,0.52,,,
2689,2014,72I001515,CARVER MS,97,56448.0,56175.0,0.09,0.23,0.48,0.63,0.25,0.59,0.15,630,31.93,49178.07,0.389,16.2,0.5,3.0,1.25,2.0,0.17300000000000001,0.0333,0.0206,0.3524,0.0,0.3286,0.0921,630.0,0.2912,0.09,0.6188,0.2392,0.08,0.6808,0.2697,0.07,0.6603,0.3255,0.07,0.6045,0.5307,0.13,0.3393,0.1482,0.22,0.6318,0.2139,0.07,0.7161,0.1794,0.31,0.5106,0.81,0.0,0.19
2690,2015,55I089535,JOHN MARSHALL MS,61,53011.22,49735.22,0.08,0.27,0.47,0.8420000000000001,0.22,0.55,0.22,240,12.82,48741.94,0.19,7.4,2.0,1.0,0.77,1.0,0.1042,0.0375,0.0208,0.6708,0.0,0.1375,0.0292,240.0,,,,,,,0.0,0.54,0.46,0.0525,0.25,0.6975,0.0099,0.67,0.3201,0.0094,0.53,0.4606,0.0567,0.37,0.5733,0.018000000000000002,0.7,0.282,0.1513,0.11,0.7387
2692,2015,08I167505,FORT COBB-BROXTON MS,70,50213.38,26009.6,0.06,0.2,0.34,0.6970000000000001,0.21,0.66,0.13,76,4.6,46564.35,0.441,23.36,0.29,0.37,0.57,0.5,0.0526,0.2105,0.0,0.0,0.0,0.6184,0.1184,76.0,0.0,0.37,0.63,0.0,0.19,0.81,0.091,0.3,0.609,0.1248,0.04,0.8352,0.0559,0.57,0.3741,0.0,0.75,0.25,0.0702,0.22,0.7098,0.0387,0.57,0.3913,0.4902,0.14,0.3698
2693,2015,56I001505,OKMULGEE MS,67,42213.17,35826.71,0.17,0.25,0.53,0.917,0.16,0.7,0.14,313,17.0,43849.29,0.235,14.71,1.38,0.42,0.5,2.0,0.0575,0.3514,0.0032,0.24600000000000002,0.0,0.3003,0.0415,313.0,0.0682,0.38,0.5518,0.0,0.43,0.57,0.1134,0.19,0.6966,0.09300000000000001,0.38,0.527,0.084,0.44,0.47600000000000003,0.1088,0.36,0.5312,0.063,0.3,0.637,0.0105,0.65,0.3395,0.38,0.0,0.62
2695,2015,24I057510,LONGFELLOW MS,55,58949.32,34706.02,0.06,0.14,0.34,0.945,0.21,0.64,0.15,490,26.88,42940.36,0.248,8.62,4.0,1.08,2.73,2.0,0.3816,0.0245,0.0082,0.0469,0.1653,0.3061,0.0673,490.0,0.0344,0.57,0.3956,0.0141,0.53,0.4559,0.0306,0.49,0.4794,0.068,0.32,0.612,0.1225,0.51,0.3675,0.0,0.84,0.16,0.1168,0.27,0.6132,0.0385,0.65,0.3115,0.43,0.0,0.57
2696,2014,46I016505,SALINA MS,80,41459.0,19461.0,0.05,0.28,0.42,0.77,0.13,0.68,0.19,185,10.18,43522.69,0.22399999999999998,11.24,0.72,0.52,2.13,1.33,0.0162,0.627,0.0,0.0054,0.0,0.3135,0.0378,185.0,0.1716,0.22,0.6084,0.0402,0.33,0.6298,0.2844,0.21,0.5056,0.1476,0.18,0.6724,0.4067,0.17,0.4233,0.73,0.0,0.27,0.0595,0.15,0.7905,0.0378,0.46,0.5022,,,
2697,2014,55I089503,BELLE ISLE MS,97,51403.0,48041.0,0.09,0.27,0.47,0.42,0.21,0.56,0.23,450,24.43,44313.42,0.287,7.41,0.2,1.0,2.05,2.0,0.2022,0.0444,0.0867,0.2022,0.0,0.4489,0.0156,450.0,0.1275,0.15,0.7225,0.2325,0.07,0.6975,0.1445,0.15,0.7055,0.3589,0.03,0.6111,0.5336,0.08,0.3864,0.2496,0.22,0.5304,0.3861,0.01,0.6039,0.3698,0.14,0.4902,0.61,0.0,0.39
2699,2015,66I002510,WELLS MS,72,65414.3,79320.92,0.07,0.12,0.27,0.667,0.19,0.69,0.13,501,30.79,42057.13,0.177,13.43,5.0,1.09,3.25,2.0,0.1437,0.3094,0.018000000000000002,0.012,0.002,0.4731,0.0419,501.0,0.0504,0.37,0.5796,0.0,0.23,0.77,0.0671,0.39,0.5429,0.10400000000000001,0.2,0.696,0.304,0.24,0.456,0.0432,0.46,0.4968,0.1748,0.08,0.7452,0.102,0.4,0.498,0.5,0.0,0.5
2700,2014,19I002505,BRISTOW MS,67,46643.0,23663.0,0.09,0.22,0.32,0.73,0.13,0.71,0.15,382,18.66,44699.98,0.28800000000000003,17.44,2.0,1.0,1.5,2.0,0.0393,0.267,0.0052,0.1047,0.0,0.5838,0.0,382.0,0.0792,0.28,0.6408,0.1022,0.27,0.6278,0.1116,0.38,0.5084,0.1463,0.23,0.6237,0.2412,0.33,0.4288,0.0215,0.57,0.4085,0.1027,0.21,0.6873,0.0576,0.52,0.4224,0.65,0.0,0.35
2702,2014,55I052520,KERR MS,64,56232.0,34558.0,0.07,0.14,0.45,0.83,0.19,0.7,0.11,631,30.99,43390.58,0.42,8.4,5.83,2.0,2.13,3.0,0.0935,0.0745,0.0428,0.3883,0.0063,0.3281,0.0666,631.0,0.1311,0.31,0.5589,0.0464,0.42,0.5336,0.0715,0.45,0.4785,0.064,0.36,0.5760000000000001,0.3139,0.27,0.4161,0.021,0.7,0.27899999999999997,0.067,0.33,0.603,0.0615,0.59,0.3485,0.2916,0.19,0.5184
2703,2015,09I034610,ETTA DALE JHS,76,59138.17,25086.24,0.08,0.14,0.37,0.6,0.11,0.74,0.15,160,13.26,45062.68,0.364,15.15,1.69,0.67,0.53,3.16,0.175,0.1313,0.0063,0.025,0.0,0.55,0.1125,160.0,,,,,,,,,,,,,0.2888,0.24,0.4712,0.0688,0.14,0.7912,0.1672,0.12,0.7128,0.0576,0.52,0.4224,0.44,0.0,0.56
2705,2014,66I002510,WELLS MS,72,66319.0,72524.0,0.07,0.1,0.23,0.66,0.18,0.69,0.13,492,30.09,42310.57,0.136,13.6,5.0,1.2,2.41,2.0,0.126,0.2907,0.0142,0.0163,0.002,0.5041,0.0467,492.0,0.0584,0.27,0.6716,0.079,0.21,0.711,0.1314,0.27,0.5986,0.1848,0.23,0.5852,0.3996,0.26,0.3404,0.0846,0.53,0.3854,0.0675,0.25,0.6825,0.0901,0.47,0.4399,,,
2706,2015,19I033610,SAPULPA JHS,67,61292.85,42647.64,0.08,0.15,0.33,0.706,0.19,0.66,0.15,654,30.45,48655.58,0.24600000000000002,17.06,3.85,2.24,2.19,2.83,0.0489,0.1896,0.0076,0.0428,0.0031,0.5917,0.1162,654.0,,,,,,,,,,,,,0.259,0.26,0.48100000000000004,0.0544,0.32,0.6256,0.1335,0.11,0.7565,0.0756,0.46,0.4644,0.162,0.19,0.648
2709,2015,10I055505,HEALDTON MS,60,48190.54,37532.22,0.03,0.12,0.46,0.685,0.12,0.75,0.14,111,6.29,45415.84,0.409,22.84,0.71,0.14,0.43,0.55,0.0991,0.1892,0.0,0.018000000000000002,0.0,0.5405,0.1532,111.0,0.0,0.54,0.46,0.0,0.5,0.5,0.077,0.45,0.473,0.076,0.24,0.684,0.14400000000000002,0.4,0.456,0.0672,0.44,0.4928,0.0576,0.28,0.6624,0.0192,0.52,0.4608,,,
2710,2015,62I019610,ADA JHS,79,46854.09,36762.37,0.09,0.26,0.47,0.57,0.33,0.54,0.13,572,40.6,44084.96,0.665,11.98,6.28,2.29,1.28,2.0,0.0892,0.3409,0.0105,0.0437,0.0017,0.4213,0.0927,572.0,,,,,,,0.2158,0.17,0.6142,0.162,0.1,0.738,0.1375,0.45,0.4125,0.2079,0.23,0.5621,0.2024,0.12,0.6776,0.1159,0.39,0.4941,0.168,0.16,0.672
2711,2014,72I008505,SPERRY MS,75,70081.0,23718.0,0.07,0.07,0.13,0.62,0.16,0.73,0.11,279,15.18,41676.81,0.1,13.61,2.0,0.83,1.5,1.17,0.0645,0.3118,0.0179,0.0143,0.0,0.5591,0.0323,279.0,0.0936,0.28,0.6264,0.0814,0.26,0.6586,0.1134,0.19,0.6966,0.0666,0.26,0.6734,0.1568,0.44,0.4032,0.1386,0.37,0.4914,0.0792,0.28,0.6408,0.047,0.53,0.423,,,
2714,2015,68I003510,MULDROW MS,75,53084.61,19151.52,0.09,0.21,0.27,0.6679999999999999,0.15,0.71,0.14,455,25.71,46275.81,0.217,12.74,5.49,1.0,1.86,2.0,0.0681,0.4022,0.0088,0.0418,0.0,0.4637,0.0154,455.0,0.1458,0.19,0.6642,0.0415,0.17,0.7885,0.2175,0.25,0.5325,0.1246,0.11,0.7654,0.2701,0.27,0.4599,0.0272,0.32,0.6528,0.2538,0.06,0.6862,0.1972,0.32,0.4828,0.2496,0.04,0.7104
2715,2015,12I002605,FORT TOWSON JHS,53,46080.69,36175.76,0.15,0.24,0.34,0.868,0.16,0.66,0.18,76,5.45,38933.88,0.08800000000000001,9.28,0.0,0.14,0.14,0.0,0.0,0.2368,0.0,0.0658,0.0,0.6579,0.0395,76.0,,,,,,,0.0,0.48,0.52,0.2494,0.14,0.6106,0.0528,0.52,0.4272,0.0128,0.68,0.3072,0.0244,0.39,0.5856,0.0224,0.44,0.5376,,,
2716,2015,34I023510,WAURIKA MS,64,49359.69,35095.74,0.04,0.23,0.49,0.7070000000000001,0.12,0.71,0.16,82,6.16,44389.86,0.49200000000000005,12.22,0.21,0.33,0.08,0.49,0.1585,0.061,0.0,0.0122,0.0,0.7683,0.0,82.0,0.0826,0.41,0.5074,0.0,0.41,0.59,0.0793,0.39,0.5307,0.091,0.3,0.609,0.2028,0.22,0.5772,0.0432,0.52,0.4368,0.1014,0.22,0.6786,0.0244,0.39,0.5856,,,
2717,2015,55I052520,KERR MS,63,55940.19,34534.37,0.08,0.16,0.46,0.8190000000000001,0.2,0.69,0.11,619,31.47,43494.5,0.337,8.76,4.44,2.0,2.4,3.0,0.0905,0.0695,0.0404,0.41200000000000003,0.0081,0.3053,0.0743,619.0,0.0726,0.34,0.5874,0.0116,0.42,0.5684,0.0845,0.35,0.5655,0.07200000000000001,0.28,0.648,0.204,0.4,0.396,0.0135,0.55,0.4365,0.0675,0.25,0.6825,0.0517,0.53,0.4183,0.2325,0.07,0.6975
2718,2015,55I089525,TAFT MS,67,53011.22,49735.22,0.08,0.27,0.47,0.8390000000000001,0.22,0.55,0.22,591,33.06,52053.02,0.33299999999999996,10.96,10.83,2.0,5.66,4.0,0.5059,0.0457,0.0338,0.1709,0.0017,0.1743,0.0677,591.0,,,,,,,0.21,0.16,0.63,0.0912,0.24,0.6688,0.1219,0.47,0.4081,0.0355,0.29,0.6745,0.077,0.3,0.623,0.015,0.5,0.485,0.1863,0.19,0.6237
2719,2014,55I088505,BETHANY MS,98,46014.0,8086.0,0.09,0.23,0.32,0.44,0.3,0.58,0.12,368,17.43,43520.43,0.344,10.95,3.42,1.0,0.92,1.0,0.1332,0.0217,0.0217,0.0217,0.0027,0.6766,0.1223,368.0,0.414,0.08,0.506,0.1674,0.07,0.7626,0.5841,0.01,0.4059,0.342,0.05,0.608,0.6461,0.09,0.2639,0.5529,0.03,0.4171,0.3003,0.09,0.6097,0.2788,0.18,0.5412,1.0,0.0,0.0
2720,2015,55I052525,MONRONEY MS,70,55940.19,34534.37,0.08,0.16,0.46,0.721,0.2,0.69,0.11,603,37.5,47598.9,0.267,13.87,3.0,2.0,1.9,3.0,0.0912,0.0464,0.0116,0.408,0.0017,0.3947,0.0464,603.0,0.134,0.33,0.536,0.0142,0.29,0.6958,0.1088,0.36,0.5312,0.10400000000000001,0.2,0.696,0.3588,0.22,0.4212,0.0793,0.39,0.5307,0.1131,0.13,0.7569,0.0795,0.47,0.4505,0.3094,0.09,0.6006
2722,2014,34I023510,WAURIKA MS,67,46403.0,34691.0,0.05,0.2,0.55,0.68,0.11,0.7,0.19,83,4.67,43624.44,0.318,14.14,0.21,0.0,0.0,0.5,0.1566,0.0723,0.0,0.012,0.0,0.759,0.0,83.0,0.0,0.37,0.63,0.1027,0.21,0.6873,0.0504,0.37,0.5796,0.0975,0.25,0.6525,0.42,0.25,0.33,0.03,0.5,0.47,0.0975,0.25,0.6525,0.0378,0.37,0.5922,,,
2725,2015,72I010510,BERRYHILL MS,87,69718.77,30421.9,0.07,0.08,0.23,0.32799999999999996,0.25,0.67,0.07,180,9.98,41433.77,0.166,9.47,0.66,1.0,0.84,1.0,0.0222,0.0778,0.0,0.0167,0.0,0.6556,0.2278,180.0,,,,,,,0.2296,0.18,0.5904,0.2392,0.08,0.6808,0.252,0.3,0.44799999999999995,0.1136,0.29,0.5964,0.19,0.05,0.76,0.128,0.36,0.512,0.65,0.0,0.35
2726,2014,72I005505,JENKS MS,87,99022.0,65097.0,0.05,0.09,0.24,0.37,0.5,0.45,0.05,1626,75.0,48031.43,0.371,15.99,18.0,3.5,3.92,4.25,0.1359,0.0775,0.0713,0.0947,0.0012,0.6039,0.0154,1626.0,,,,,,,0.3649,0.11,0.5251,0.3534,0.07,0.5766,0.4536,0.16,0.3864,0.0882,0.37,0.5418,0.2093,0.09,0.7007,0.168,0.3,0.532,0.6534,0.01,0.3366
2727,2014,48I005505,IDABEL MS,67,37832.0,18391.0,0.08,0.35,0.55,0.94,0.2,0.61,0.19,234,14.56,43930.49,0.157,14.26,2.0,1.0,0.71,1.71,0.1838,0.2479,0.0043,0.312,0.0043,0.2308,0.0171,234.0,0.0754,0.42,0.5046,0.0748,0.32,0.6052,0.0944,0.41,0.4956,0.0845,0.35,0.5655,0.2379,0.39,0.3721,0.0572,0.56,0.3828,0.035,0.3,0.665,0.012,0.7,0.28800000000000003,,,
2728,2014,58I023505,WILL ROGERS MS,65,47226.0,23608.0,0.1,0.22,0.42,0.78,0.16,0.7,0.15,545,28.49,44099.48,0.21,11.67,4.48,2.0,3.64,2.0,0.0697,0.2826,0.0037,0.0055,0.0312,0.4771,0.1303,545.0,0.1216,0.24,0.6384,0.1078,0.23,0.6622,0.1302,0.38,0.4898,0.2054,0.21,0.5846,0.2135,0.39,0.3965,0.032,0.6,0.368,0.1036,0.26,0.6364,0.036000000000000004,0.55,0.414,0.94,0.0,0.06
2730,2014,55I089518,JEFFERSON MS,54,51403.0,48041.0,0.09,0.27,0.47,0.97,0.21,0.56,0.23,925,53.74,46279.98,0.276,9.94,11.73,3.42,6.1,3.97,0.6357,0.0627,0.0141,0.1092,0.0011,0.1751,0.0022,925.0,0.028999999999999998,0.42,0.551,0.009000000000000001,0.7,0.29100000000000004,0.0123,0.59,0.3977,0.0324,0.46,0.5076,0.0782,0.54,0.3818,0.0136,0.66,0.3264,0.0224,0.44,0.5376,0.0175,0.65,0.3325,0.2464,0.12,0.6336
