,Year,SchoolCode,SchoolName,IndexScore,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total,6_Math_Advanced,6_Math_Below_Satisfactory,6_Math_Satisfactory,6_Reading_Advanced,6_Reading_Below_Satisfactory,6_Reading_Satisfactory,7_Math_Advanced,7_Math_Below_Satisfactory,7_Math_Satisfactory,7_Reading_Advanced,7_Reading_Below_Satisfactory,7_Reading_Satisfactory,8_History_Advanced,8_History_Below_Satisfactory,8_History_Satisfactory,8_Math_Advanced,8_Math_Below_Satisfactory,8_Math_Satisfactory,8_Reading_Advanced,8_Reading_Below_Satisfactory,8_Reading_Satisfactory,8_Science_Advanced,8_Science_Below_Satisfactory,8_Science_Satisfactory,EOI_Algebra_Advanced,EOI_Algebra_Below_Satisfactory,EOI_Algebra_Satisfactory
1613,2016,07I001515,SILO MS,71,64348.77,57167.71,0.03,0.11,0.26,0.688,0.28,0.6,0.11,170,12.07,42228.2,0.387,11.87,0.75,0.37,0.33,0.75,0.0294,0.2529,0.0,0.0059,0.0,0.6118,0.1,170.0,0.0924,0.34,0.5676,0.0186,0.38,0.6014,0.3116,0.18,0.5084,0.1932,0.08,0.7268,0.1464,0.39,0.4636,0.1971,0.27,0.5329,0.1131,0.13,0.7569,0.0583,0.47,0.4717,0.1425,0.25,0.6075
1614,2016,47I015610,PURCELL JHS,74,58420.52,29360.0,0.06,0.17,0.24,0.542,0.18,0.63,0.2,319,18.4,46201.3,0.19399999999999998,16.97,3.17,0.68,1.06,1.92,0.2194,0.0972,0.0063,0.0157,0.0,0.605,0.0564,319.0,0.264,0.12,0.616,0.0574,0.18,0.7626,0.175,0.3,0.525,0.2688,0.16,0.5712,0.16,0.36,0.48,0.1088,0.36,0.5312,0.136,0.15,0.7140000000000001,0.1988,0.29,0.5112,0.83,0.0,0.17
1618,2016,14I057510,LEXINGTON MS,77,57687.55,18142.49,0.08,0.13,0.22,0.593,0.08,0.69,0.23,182,10.81,42089.36,0.242,10.71,1.39,0.33,0.33,1.25,0.0989,0.1264,0.0,0.011000000000000001,0.0,0.7088,0.0549,182.0,,,,,,,0.153,0.1,0.747,0.075,0.25,0.675,0.132,0.34,0.528,0.16,0.2,0.64,0.0574,0.18,0.7626,0.1168,0.27,0.6132,0.85,0.0,0.15
1619,2016,51I003505,FORT GIBSON MS,80,71856.02,67650.24,0.07,0.14,0.3,0.447,0.26,0.68,0.05,412,21.82,45413.98,0.266,13.13,4.5,1.0,1.0,2.0,0.0291,0.483,0.0024,0.0097,0.0,0.4636,0.0121,412.0,0.2132,0.18,0.6068,0.0249,0.17,0.8051,0.3608,0.12,0.5192,0.2581,0.11,0.6319,0.21,0.25,0.54,0.2268,0.19,0.5832,0.2639,0.09,0.6461,0.184,0.2,0.616,0.79,0.0,0.21
1620,2016,54I026505,OKEMAH MS,68,42711.94,28878.17,0.1,0.3,0.46,0.7170000000000001,0.14,0.64,0.22,166,11.56,45004.67,0.629,17.25,2.59,0.5,0.29,0.86,0.0241,0.4578,0.006,0.0361,0.0,0.4639,0.012,166.0,0.0504,0.44,0.5096,0.0531,0.41,0.5369,0.0693,0.23,0.7007,0.0602,0.14,0.7998,0.044000000000000004,0.6,0.35600000000000004,0.1062,0.41,0.4838,0.1547,0.09,0.7553,0.1242,0.46,0.4158,0.46,0.0,0.54
1622,2016,25I002505,STRATFORD MS,78,46285.38,20848.15,0.03,0.23,0.23,0.727,0.17,0.69,0.14,154,10.09,42764.92,0.256,11.2,1.0,0.5,1.5,1.0,0.013000000000000001,0.3117,0.0,0.0,0.0,0.6558,0.0195,154.0,0.24,0.2,0.56,0.0225,0.25,0.7275,0.3444,0.16,0.4956,0.2093,0.09,0.7007,0.084,0.4,0.516,0.1975,0.21,0.5925,0.2726,0.06,0.6674,0.1071,0.37,0.5229,1.0,0.0,0.0
1623,2016,37I007505,KINGFISHER MS,81,67119.39,56229.55,0.04,0.06,0.21,0.5379999999999999,0.21,0.69,0.11,398,23.23,44631.28,0.261,17.86,2.86,1.0,0.57,2.8,0.2136,0.0678,0.0,0.0075,0.0,0.5754,0.1357,398.0,0.0966,0.31,0.5934,0.0588,0.16,0.7812,0.44,0.0,0.56,0.3135,0.05,0.6365,0.3612,0.16,0.4788,0.322,0.08,0.598,0.2688,0.04,0.6912,0.1716,0.22,0.6084,0.9,0.0,0.1
1625,2016,57I029615,BARNSDALL JHS,66,58642.46,52123.76,0.02,0.15,0.29,0.535,0.16,0.71,0.13,71,4.65,39511.09,0.387,10.14,0.5,0.5,0.29,0.93,0.0141,0.0141,0.0,0.0141,0.0,0.3944,0.5634,71.0,,,,,,,0.0738,0.18,0.7462,0.1022,0.27,0.6278,0.0696,0.42,0.5104,0.1273,0.33,0.5427,0.1056,0.12,0.7744,0.09300000000000001,0.38,0.527,,,
1628,2016,26I002505,MINCO MS,86,57835.2,114376.45,0.05,0.12,0.23,0.603,0.16,0.72,0.12,136,7.24,44314.45,0.24600000000000002,16.83,1.0,0.33,1.0,1.0,0.0882,0.0,0.0,0.0,0.0074,0.8309,0.0735,136.0,0.07200000000000001,0.2,0.728,0.024,0.2,0.7759999999999999,0.3393,0.13,0.5307,0.1552,0.03,0.8148,0.3132,0.13,0.5568,0.3654,0.13,0.5046,0.2037,0.03,0.7663,0.1422,0.21,0.6478,1.0,0.0,0.0
1629,2016,47I002515,DIBBLE MS,73,58554.71,27626.34,0.02,0.1,0.33,0.556,0.12,0.67,0.21,142,10.09,41554.05,0.04,13.32,0.86,0.43,0.29,1.0,0.162,0.0493,0.0,0.0211,0.0,0.5845,0.1831,142.0,0.2937,0.11,0.5963,0.027999999999999997,0.3,0.672,0.1672,0.12,0.7128,0.2112,0.12,0.6688,0.0087,0.71,0.2813,0.0,0.44,0.56,0.1232,0.23,0.6468,0.0,0.52,0.48,0.0,0.0,1.0
