Year,CountyName,DistrictName,SchoolName,SchoolCode,IndexScore,LowGrade,HighGrade,ReportCardType,TotalBonusPoints,OverallSchoolGrade,ELA_ExamCount,ELA_GrowthIndex,Math_ExamCount,Math_GrowthIndex,Science_ExamCount,Science_GrowthIndex,SocialStudies_ExamCount,SocialStudies_GrowthIndex,Overall_ExamCount,Overall_GrowthIndex,ELA_ExamCount_bq,ELA_GrowthIndex_bq,Math_ExamCount_bq,Math_GrowthIndex_bq,OverallExamCount_bq,OverallGrowthIndex_bq,AttendenceRate,AttendenceRate_Bonus,DropOutRate_Bonus,AP_participationIndex,AP_PerformanceIndex,AP_Bonus,GradRate,GradRate_Bonus,LowPerfm_Grade8,LowPerfm_Grade8_Bonus,CollegeEntranceExam_Participation,CollegeEntranceExam_Performance,CollegeEntranceExam_Bonus,EOIPerformanceRate,EOIPerformanceRate_Bonus,AchievedGrowthTarget,AchievedGrowthTarget_Bonus
2016,OKLAHOMA,MIDWEST CITY-DEL CITY,CARL ALBERT HS,55I052705,92,9,12,High School,9,96,238,94,246,89,,,,,484,92,59,83,61,64,120,73,,0,0,0.95,0.95,1,0.95,5,0.93,1,0.83,0.58,1,0.73,0,4,1
2016,OKLAHOMA,OKLAHOMA CITY,NORTHEAST HS,55I089760,70,9,12,High School,8,72,39,72,51,65,,,,,90,68,,,,,21,86,,0,0,0.95,0.95,1,0.95,5,0,1,0.95,0.29,1,0.33,0,4,1
2016,OKMULGEE,PRESTON,PRESTON HS,56I005705,88,9,12,High School,10,98,40,90,35,83,,,,,75,87,,,,,18,72,,0,0,0.95,0.95,1,0.95,5,0,1,0.79,0.59,1,0.85,1,5,1
2016,PITTSBURG,SAVANNA,SAVANNA HS,61I030705,84,9,12,High School,8,86,38,84,38,89,,,,,76,87,,,,,18,78,,0,0,0.95,0.95,1,0.95,5,0.93,1,,0.5,0,0.6,0,4,1
2016,POTTAWATOMIE,ASHER,ASHER HS,63I112705,81,9,12,High School,8,80,15,67,19,95,,,,,34,82,,,,,,,,0,0,0.95,0.95,1,0.95,5,0,1,,0.2,0,0.52,0,4,1
2016,STEPHENS,CENTRAL HIGH,CENTRAL HIGH HS,69I034705,89,10,12,High School,9,93,,,,,,,,,26,88,,,,,,,,0,0,0.95,0.95,1,0.95,5,0,1,0.77,0.48,1,0.74,0,4,1
2015,CANADIAN,PIEDMONT,PIEDMONT HS,09I022705,90,9,12,High School,9,90,385,94,582,80,217,71,195,83,1379,83,45,80,56,61,101,69,,0,0,0.95,0.95,1,0.95,5,0.91,1,0.9,0.69,1,0.78,0,4,1
2015,COMANCHE,STERLING,STERLING HS,16I003705,70,9,12,High School,8,70,60,87,73,60,29,45,29,59,191,66,,,,,11,45,,0,0,0.95,0.95,1,0.95,5,0,1,,0.55,0,0.67,0,4,1
2015,GARFIELD,DRUMMOND,DRUMMOND HS,24I085705,100,9,12,High School,8,100,37,97,42,90,14,64,25,72,118,86,,,,,,,,0,0,0.95,0.95,1,0.95,5,0.91,1,,0.43,0,0.67,0,5,1
2015,JACKSON,ELDORADO,ELDORADO HS,33I025705,62,9,12,High School,8,62,11,55,17,47,0,0,0,0,43,51,,,,,,,,0,0,0.95,0.95,1,0.95,5,0,1,,0.29,0,0.1,0,3,1
2015,KINGFISHER,OKARCHE,OKARCHE HS,37I105705,99,10,12,High School,9,99,57,93,47,66,0,0,0,0,143,79,,,,,,,,0,0,0.95,0.95,1,0.95,5,0,1,0.89,0.71,1,0.79,0,5,1
2015,LINCOLN,STROUD,STROUD HS,41I054705,78,9,12,High School,8,78,99,87,135,67,60,45,55,82,349,71,10,90,14,50,24,67,,0,0,0.95,0.95,1,0.95,5,0,1,,0.6,0,0.67,0,5,1
2015,OKLAHOMA,DEER CREEK,DEER CREEK HS,55I006705,97,9,12,High School,9,97,675,95,916,86,365,58,334,85,2290,84,75,89,69,87,144,88,,0,0,0.95,0.95,1,0.95,5,0.81,0,0.92,0.79,1,0.84,1,4,1
2015,OKLAHOMA,EDMOND,NORTH HS,55I012715,101,9,12,High School,10,101,1196,95,1397,89,686,79,572,91,3851,89,141,94,151,87,292,90,,0,0,0.95,0.95,1,0.95,5,0.87,1,0.93,0.84,1,0.83,1,5,1
2015,OKLAHOMA,MIDWEST CITY-DEL CITY,CARL ALBERT HS,55I052705,96,9,12,High School,9,96,507,90,642,88,288,59,245,80,1682,83,60,83,54,87,114,85,,0,0,0.95,0.95,1,0.95,5,0.89,1,0.78,0.61,1,0.79,0,4,1
2015,OKMULGEE,DEWAR,DEWAR HS,56I008715,87,9,12,High School,8,87,68,84,65,52,11,9,30,63,174,64,,,,,,,,0,0,0.95,0.95,1,0.95,5,0,1,,0.29,0,0.69,0,4,1
2015,OKMULGEE,PRESTON,PRESTON HS,56I005705,98,9,12,High School,10,98,92,96,133,83,46,57,44,82,315,83,,,,,19,89,,0,0,0.95,0.95,1,0.95,5,0,1,0.82,0.56,1,0.8,1,5,1
2015,OSAGE,HOMINY,HOMINY HS,57I038705,74,9,12,High School,9,74,81,72,108,62,48,23,46,54,283,57,,,,,18,67,,0,0,0.95,0.95,1,0.95,5,0,1,0.77,0.29,1,0.56,0,4,1
2015,PAYNE,RIPLEY,RIPLEY HS,60I003705,95,9,12,High School,9,95,60,83,86,85,22,82,27,96,195,86,,,,,11,82,,0,0,0.95,0.95,1,0.95,5,0.9,1,0.84,0.46,1,0.78,0,4,1
2015,POTTAWATOMIE,DALE,DALE HS,63I002705,92,9,12,High School,10,92,99,88,122,84,35,49,53,77,309,80,10,100,11,55,21,76,,0,0,0.95,0.95,1,0.95,5,0,1,0.86,0.63,1,0.89,1,5,1
2015,SEQUOYAH,CENTRAL,CENTRAL HS,68I007705,92,9,12,High School,9,92,91,92,110,83,53,70,33,91,287,84,,,,,21,71,,0,0,0.95,0.95,1,0.95,5,0,1,,0.56,0,0.82,1,5,1
2015,TEXAS,GOODWELL,GOODWELL HS,70I060705,103,9,12,High School,9,103,33,94,45,98,15,33,11,91,104,87,,,,,,,,0,0,0.95,0.95,1,0.95,5,0,1,0.95,0.42,1,0.57,0,5,1
2015,TULSA,LIBERTY,LIBERTY HS,72I014705,88,9,12,High School,8,88,94,94,114,68,37,35,52,62,297,71,,,,,15,87,,0,0,0.95,0.95,1,0.95,5,0,1,,0.52,0,0.49,0,4,1
2015,TULSA,TULSA,BOOKER T. WASHINGTON HS,72I001735,101,9,12,High School,10,101,649,98,737,87,341,72,285,87,2012,88,71,96,70,86,141,91,,0,0,0.95,0.95,1,0.95,5,0,1,0.95,0.72,1,0.91,1,5,1
2014,KINGFISHER,LOMEGA,LOMEGA HS,37I003705,95,9,12,High School,10,93,21,90,36,89,11,45,12,92,80,84,,,,,,,,,,0.95,0.95,1,0.95,5,,0,0.95,0.38,1,0.95,1,4,1
2014,LOGAN,MULHALL-ORLANDO,MULHALL-ORLANDO HS,42I003705,99,9,12,High School,10,107,36,89,44,95,13,54,39,74,132,83,,,,,,,,,,0.95,0.95,1,0.95,5,0.95,1,,0.57,0,0.93,1,4,1
2014,MAJOR,RINGWOOD,RINGWOOD HS,44I001705,83,9,12,High School,8,75,46,78,64,70,24,54,23,78,157,71,,,,,,,,,,0.95,0.95,1,0.95,5,0.95,1,0.93,0.56,1,0.94,1,5,1
2016,JOHNSTON,COLEMAN,COLEMAN HS,35I035705,77,9,12,High School,9,90,15,73,13,69,,,,,28,71,,,,,,,,0,0,0.92,0.95,1,0.95,5,0,1,0.85,0.29,1,0.47,0,4,1
2015,BLAINE,CANTON,CANTON HS,06I105705,99,9,12,High School,9,99,47,89,57,91,25,44,21,76,150,81,,,,,10,100,,0,0,0.92,0.95,1,0.95,5,0,1,0.95,0.33,1,0.79,0,5,1
2015,ELLIS,ARNETT,ARNETT HS,23I003705,93,9,12,High School,9,93,26,96,42,88,10,50,14,50,92,80,,,,,,,,0,0,0.92,0.95,1,0.95,5,0,1,,0.6,0,0.81,1,5,1
2016,ELLIS,FARGO,FARGO HS,23I002705,77,9,12,High School,10,71,11,73,10,80,,,,,21,76,,,,,,,,0,0,0.9,0.95,1,0.95,5,0.93,1,0.83,0.27,1,0.63,0,4,1
2015,GARFIELD,KREMLIN-HILLSDALE,KREMLIN-HILLSDALE HS,24I018705,89,9,12,High School,8,89,33,94,56,86,24,50,32,66,145,77,,,,,,,,0,0,0.89,0.95,1,0.95,5,0,1,,0.47,0,0.71,0,4,1
2014,MCCURTAIN,SMITHVILLE,SMITHVILLE HS,48I014705,88,9,12,High School,8,89,38,92,50,70,16,25,22,64,126,70,,,,,,,,,,0.89,0.95,1,0.95,5,0.95,1,0.95,0.36,1,0.5,0,4,1
2016,CUSTER,ARAPAHO-BUTLER,ARAPAHO-BUTLER HS,20I005715,92,9,12,High School,9,92,24,88,20,85,,,,,44,86,,,,,,,,0,0,0.87,0.95,1,0.95,5,0,1,,0.69,0,0.83,1,5,1
2015,POTTAWATOMIE,ASHER,ASHER HS,63I112705,80,9,12,High School,8,80,33,91,50,68,32,25,15,47,130,61,,,,,,,,0,0,0.86,0.95,1,0.95,5,0,1,,0.53,0,0.61,0,5,1
2016,PAYNE,RIPLEY,RIPLEY HS,60I003705,88,9,12,High School,9,95,25,88,25,80,,,,,50,84,,,,,12,92,,0,0,0.85,0.95,1,0.95,5,0,1,,0.41,0,0.86,1,5,1
2015,MUSKOGEE,OKTAHA,OKTAHA HS,51I008705,88,9,12,High School,9,88,108,83,146,84,60,58,44,57,358,76,10,80,13,62,23,70,,0,0,0.84,0.95,1,0.95,5,0,1,0.82,0.52,1,0.53,0,5,1
2016,PONTOTOC,ROFF,ROFF HS,62I037705,76,9,12,High School,4,78,25,76,17,88,,,,,42,81,,,,,10,50,,0,0,0.83,0.95,1,0.95,5,0,1,0.92,0.45,1,0.63,0,5,1
2015,JACKSON,DUKE,DUKE HS,33I014705,87,9,12,High School,9,87,31,84,29,52,0,0,0,0,89,63,,,,,,,,0,0,0.82,0.95,1,0.95,5,0,1,0.77,0.6,1,0.4,0,4,1
2016,TULSA,GLENPOOL,GLENPOOL HS,72I013705,85,9,12,High School,4,86,168,78,165,88,,,,,333,83,41,56,41,73,82,65,,0,0,0.81,0.95,1,0.95,5,0.93,1,0.77,0.49,1,0.64,0,4,1
2015,SEMINOLE,NEW LIMA,NEW LIMA HS,67I006705,93,9,12,High School,9,93,39,85,39,85,20,50,16,56,114,75,,,,,,,,0,0,0.81,0.95,1,0.95,5,0,1,0.91,0.4,1,0.6,0,4,1
2014,LOGAN,COYLE,COYLE HS,42I014705,82,9,12,High School,9,85,36,86,53,60,21,48,13,77,123,67,,,,,,,,,,0.81,0.95,1,0.95,5,0.92,1,0.88,0.47,1,0.24,0,4,1
2016,TILLMAN,DAVIDSON,DAVIDSON HS,71I009705,48,9,12,High School,9,62,,,,,,,,,,,,,,,,,,0,0,0.8,0.95,1,0.95,5,0,1,0.88,0.14,1,0,1,5,1
2015,HUGHES,STUART,STUART HS,32I054705,78,9,12,High School,8,78,47,85,63,68,21,29,22,55,153,66,,,,,,,,0,0,0.8,0.95,1,0.95,5,0.92,1,,0.5,0,0.57,0,4,1
2016,LOGAN,COYLE,COYLE HS,42I014705,91,9,12,High School,9,85,16,94,24,92,,,,,40,93,,,,,,,,0,0,0.79,0.95,1,0.95,5,0,1,0.88,0.33,1,0.23,0,4,1
2015,TULSA,BERRYHILL,BERRYHILL HS,72I010705,98,9,12,High School,9,98,206,95,279,85,107,64,109,75,701,83,24,92,25,88,49,90,,0,0,0.78,0.95,1,0.95,5,0.86,1,0.76,0.66,1,0.76,0,4,1
2016,ATOKA,CANEY,CANEY HS,03I026705,72,9,12,High School,3,74,18,72,14,64,,,,,32,69,,,,,,,,0,0,0.76,0.95,1,0.95,5,0,1,,0.33,0,0.41,0,4,1
2015,OKLAHOMA,OKLAHOMA CITY,NORTHEAST HS,55I089760,72,9,12,High School,8,72,106,73,155,57,57,9,54,46,372,52,11,64,13,85,24,75,,0,0,0.76,0.95,1,0.95,5,0,1,,0.23,0,0.45,0,4,1
2015,PITTSBURG,SAVANNA,SAVANNA HS,61I030705,86,9,12,High School,8,86,80,84,123,80,40,53,39,72,282,76,,,,,18,67,,0,0,0.76,0.95,1,0.95,5,0,1,,0.21,0,0.72,0,4,1
2016,TEXAS,HARDESTY,HARDESTY HS,70I015705,87,9,12,High School,10,82,,,,,,,,,14,79,,,,,,,,0,0,0.75,0.95,1,0.95,5,0,1,0.95,0.67,1,0.8,1,5,1
2016,ROGER MILLS,HAMMON,HAMMON HS,65I066705,84,9,12,High School,4,87,,,,,,,,,20,85,,,,,,,,0,0,0.74,0.95,1,0.95,5,0,1,0.95,0.3,1,0.64,0,4,1
2014,GARFIELD,WAUKOMIS,WAUKOMIS HS,24I001705,97,9,12,High School,8,93,46,91,69,90,24,42,26,85,165,82,,,,,11,91,,,,0.74,0.95,1,0.95,5,0.95,1,0.95,0.47,1,0.68,0,4,1
2016,ROGER MILLS,SWEETWATER,SWEETWATER HS,65I015705,92,9,12,High School,10,98,,,,,,,,,17,94,,,,,,,,0,0,0.73,0.95,1,0.95,5,0,1,0.8,0.75,1,0.25,0,4,1
2016,WOODS,WAYNOKA,WAYNOKA HS,76I003720,100,9,12,High School,9,97,10,80,14,100,,,,,24,92,,,,,,,,0,0,0.73,0.95,1,0.95,5,0,1,0.95,0.5,1,0.63,0,4,1
2014,WOODWARD,FORT SUPPLY,FORT SUPPLY HS,77I005705,88,9,12,High School,9,88,14,93,21,76,,,,,45,78,,,,,,,,,,0.73,0.95,1,0.95,5,0.95,1,0.29,0.95,1,0.95,1,5,1
2014,ELLIS,ARNETT,ARNETT HS,23I003705,98,9,12,High School,9,93,19,95,32,91,,,,,74,77,,,,,,,,,,0.72,0.95,1,0.95,5,0.95,1,0.83,0.53,1,0.53,0,4,1
2016,GARFIELD,KREMLIN-HILLSDALE,KREMLIN-HILLSDALE HS,24I018705,83,9,12,High School,8,89,27,89,13,54,,,,,40,78,,,,,,,,0,0,0.71,0.95,1,0.95,5,0,1,0.82,0.67,1,0.48,0,4,1
2015,STEPHENS,CENTRAL HIGH,CENTRAL HIGH HS,69I034705,93,10,12,High School,9,93,64,88,63,71,27,48,46,78,200,75,,,,,,,,0,0,0.69,0.95,1,0.95,5,0,1,0.94,0.41,1,0.78,0,5,1
2014,GARFIELD,DRUMMOND,DRUMMOND HS,24I085705,96,9,12,High School,8,100,50,88,53,91,20,60,22,91,145,86,,,,,,,,,,0.69,0.95,1,0.95,5,0.95,1,,0.22,0,0.59,0,3,1
2015,PITTSBURG,HAILEYVILLE,HAILEYVILLE HS,61I011705,85,9,12,High School,8,85,44,80,42,79,0,0,0,0,108,72,,,,,,,,0,0,0.67,0.95,1,0.95,5,0,1,,0.45,0,0.22,0,3,1
2014,LE FLORE,WHITESBORO,WHITESBORO HS,40I062705,88,9,12,High School,2,62,40,93,45,64,14,43,23,83,122,75,,,,,,,,,,0.67,0.95,1,0.95,5,0.95,1,,0.14,0,0.53,0,3,1
2014,MUSKOGEE,OKTAHA,OKTAHA HS,51I008705,90,9,12,High School,9,88,107,79,124,93,45,40,46,67,322,77,12,67,11,100,23,83,,,,0.67,0.95,1,0.95,5,0.95,1,,0.41,0,0.45,0,3,1
2015,CRAIG,KETCHUM,KETCHUM HS,18I006705,83,9,12,High School,9,83,99,85,123,65,59,42,44,75,325,68,,,,,21,71,,0,0,0.66,0.95,1,0.95,5,0,1,,0.35,0,0.88,1,4,1
2014,HUGHES,MOSS,MOSS HS,32I001705,89,9,12,High School,9,85,44,75,69,75,46,39,21,57,180,64,,,,,,,,,,0.66,0.95,1,0.95,5,0.95,1,0.93,0.29,1,0.53,0,4,1
2016,COTTON,WALTERS,WALTERS HS,17I001705,89,9,12,High School,8,82,34,91,46,91,,,,,80,91,,,,,19,84,,0,0,0.65,0.95,1,0.95,5,0.94,1,0.93,0.57,1,0.6,0,4,1
2016,CREEK,DEPEW,DEPEW HS,19I021705,83,9,12,High School,0,77,29,90,36,83,,,,,65,86,,,,,16,69,,0,0,0.65,0.95,1,0.95,5,0.88,1,,0.5,0,0.36,0,4,1
2015,SEMINOLE,BOWLEGS,BOWLEGS HS,67I003705,73,9,12,High School,8,73,32,69,41,63,21,29,16,44,110,55,,,,,,,,0,0,0.65,0.95,1,0.95,5,0,1,,0.33,0,0.37,0,4,1
2015,BRYAN,ACHILLE,ACHILLE HS,07I003705,91,9,12,High School,8,91,46,85,62,84,23,61,19,74,150,79,,,,,,,,0,0,0.64,0.95,1,0.95,5,0.91,1,,0.67,0,0.7,0,5,1
2015,JOHNSTON,COLEMAN,COLEMAN HS,35I035705,90,9,12,High School,9,90,42,83,53,66,15,40,15,60,125,68,,,,,,,,0,0,0.63,0.95,1,0.95,5,0,1,,0.5,0,0.82,1,4,1
2015,MCCLAIN,WASHINGTON,WASHINGTON HS,47I005705,88,9,12,High School,8,88,126,90,160,81,72,39,62,82,420,77,12,92,18,67,30,77,,0,0,0.63,0.95,1,0.95,5,0,1,,0.64,0,0.77,0,3,1
2016,JACKSON,NAVAJO,NAVAJO HS,33I001705,87,10,12,High School,2,90,,,,,,,,,36,78,,,,,,,,0,0,0.62,0.95,1,0.95,5,0,1,0.75,0.48,1,0.88,1,5,1
2014,PITTSBURG,KIOWA,KIOWA HS,61I014715,97,9,12,High School,10,99,40,88,64,88,24,71,24,83,152,84,,,,,,,,,,0.62,0.95,1,0.95,5,0.95,1,0.8,0.5,1,0.81,1,5,1
2014,GARFIELD,KREMLIN-HILLSDALE,KREMLIN-HILLSDALE HS,24I018705,103,9,12,High School,8,89,38,97,58,83,,,,,115,87,,,,,,,,,,0.6,0.95,1,0.95,5,0.95,1,0.86,0.58,1,0.29,0,4,1
2016,GARFIELD,COVINGTON-DOUGLAS,COVINGTON-DOUGLAS HS,24I094705,90,9,12,High School,9,95,18,89,12,83,,,,,30,87,,,,,,,,0,0,0.59,0.95,1,0.95,5,0,1,0.88,0.29,1,0.52,0,4,1
2016,JOHNSTON,WAPANUCKA,WAPANUCKA HS,35I037705,75,9,12,High School,8,79,12,75,14,93,,,,,26,85,,,,,,,,0,0,0.59,0.95,1,0.95,5,0,1,,0.5,0,0.42,0,4,1
2015,ELLIS,SHATTUCK,SHATTUCK HS,23I042705,92,9,12,High School,9,92,44,91,66,77,19,53,20,85,149,79,,,,,,,,0,0,0.59,0.95,1,0.95,5,0.86,1,0.88,0.36,1,0.67,0,4,1
2014,MCCURTAIN,EAGLETOWN,EAGLETOWN HS,48I013705,81,9,12,High School,2,64,39,82,51,49,21,19,22,45,133,53,,,,,,,,,,0.59,0.95,1,0.95,5,0.95,1,0.82,0.29,1,0.4,0,4,1
2015,CRAIG,WELCH,WELCH HS,18I017715,80,9,12,High School,9,80,39,85,66,71,30,23,18,67,153,65,,,,,,,,0,0,0.58,0.95,1,0.95,5,0,1,0.81,0.38,1,0.68,0,4,1
2014,LINCOLN,AGRA,AGRA HS,41I134705,96,9,12,High School,8,84,47,91,78,74,,,,,164,77,,,,,12,100,,,,0.58,0.95,1,0.95,5,0.95,1,0.79,0.32,1,0.59,0,4,1
2016,CADDO,BOONE-APACHE,APACHE HS,08I056705,82,9,12,High School,3,75,35,86,49,92,,,,,84,89,,,,,20,70,,0,0,0.55,0.95,1,0.95,5,0.86,1,,0.4,0,0.67,0,5,1
2015,SEMINOLE,VARNUM,VARNUM HS,67I007705,75,9,12,High School,9,75,35,63,44,61,18,22,16,69,113,57,,,,,,,,0,0,0.55,0.95,1,0.95,5,0,1,,0.4,0,0.92,1,4,1
2014,GRADY,TUTTLE,TUTTLE HS,26I097705,98,9,12,High School,10,101,242,92,375,89,131,72,62,89,810,87,30,83,28,89,58,86,,,,0.54,0.95,1,0.95,5,0.95,1,0.86,0.64,1,0.78,0,4,1
2015,HUGHES,MOSS,MOSS HS,32I001705,85,9,12,High School,9,85,45,87,56,63,21,43,22,45,144,65,,,,,,,,0,0,0.53,0.95,1,0.95,5,0,1,0.76,0.37,1,0.5,0,4,1
2014,LINCOLN,DAVENPORT,DAVENPORT HS,41I003705,74,9,12,High School,8,87,57,82,70,50,59,41,40,85,226,62,,,,,15,60,,,,0.52,0.95,1,0.95,5,0.89,1,,0.5,0,0.3,0,4,1
2014,MURRAY,SULPHUR,SULPHUR HS,50I001705,87,9,12,High School,7,81,173,84,264,77,94,61,75,89,606,78,20,85,25,60,45,71,,,,0.52,0.95,1,0.95,5,0.94,1,,0.55,0,0.72,0,3,1
2016,DEWEY,TALOGA,TALOGA HS,22I010705,76,9,12,High School,6,61,,,,,,,,,15,73,,,,,,,,0,0,0.5,0.95,1,0.95,5,0,1,0.95,0.25,1,0,0,4,1
2016,LINCOLN,DAVENPORT,DAVENPORT HS,41I003705,91,9,12,High School,8,87,26,96,21,86,,,,,47,91,,,,,11,82,,0,0,0.5,0.95,1,0.95,5,0.88,1,,0.39,0,0.29,0,4,1
2015,COTTON,WALTERS,WALTERS HS,17I001705,82,9,12,High School,8,82,104,88,125,82,39,36,62,77,330,78,,,,,17,53,,0,0,0.5,0.95,1,0.95,5,0,1,,0.49,0,0.6,0,4,1
2015,COAL,TUPELO,TUPELO HS,15I002705,87,9,12,High School,8,87,38,71,45,80,18,17,17,71,118,66,,,,,,,,0,0,0.48,0.95,1,0.95,5,0,1,,0.53,0,0.43,0,4,1
2015,LINCOLN,AGRA,AGRA HS,41I134705,84,9,12,High School,8,84,53,91,88,69,48,42,32,84,221,71,,,,,12,75,,0,0,0.48,0.95,1,0.95,5,0,1,,0.33,0,0.54,0,3,1
2014,CIMARRON,BOISE CITY,BOISE CITY HS,13I002705,79,9,12,High School,5,69,42,79,51,67,,,,,118,65,,,,,,,,,,0.48,0.95,1,0.95,5,0.95,1,0.86,0.25,1,0.61,0,4,1
2016,POTTAWATOMIE,DALE,DALE HS,63I002705,89,9,12,High School,10,92,45,89,64,89,,,,,109,89,11,82,16,69,27,74,,0,0,0.47,0.95,1,0.95,5,0,1,0.81,0.53,1,0.74,0,4,1
2015,LE FLORE,HEAVENER,HEAVENER HS,40I003705,82,9,12,High School,8,82,159,77,223,70,74,49,86,74,542,70,13,62,20,75,33,70,,0,0,0.47,0.95,1,0.95,5,0.91,1,,0.38,0,0.61,0,4,1
2016,BECKHAM,MERRITT,MERRITT HS,05I002705,90,9,12,High School,9,100,48,94,39,85,,,,,87,90,,,,,21,67,,0,0,0.46,0.95,1,0.95,5,0,1,0.95,0.39,1,0.59,0,4,1
2016,ROGER MILLS,REYDON,REYDON HS,65I006705,97,9,12,High School,4,98,,,,,,,,,10,90,,,,,,,,0,0,0.45,0.95,1,0.95,5,0,1,0.95,0.33,1,0.78,0,4,1
2015,CADDO,CYRIL,CYRIL HS,08I064715,79,9,12,High School,9,79,43,86,70,56,27,26,40,55,180,58,,,,,11,82,,0,0,0.44,0.95,1,0.95,5,0,1,0.79,0.41,1,0.46,0,4,1
2015,PONTOTOC,VANOSS,VANOSS HS,62I009705,89,9,12,High School,9,89,60,88,109,78,40,70,28,93,237,81,,,,,16,69,,0,0,0.44,0.95,1,0.95,5,0.92,1,0.81,0.52,1,0.73,0,5,1
2014,GARFIELD,PIONEER-PLEASANT VALE,PIONEER-PLEASANT VALE HS,24I056705,89,9,12,High School,8,88,76,93,111,71,39,56,40,78,266,76,,,,,16,81,,,,0.44,0.95,1,0.95,5,0.95,1,0.84,0.45,1,0.73,0,4,1
2016,PUSHMATAHA,RATTAN,RATTAN HS,64I001705,83,9,12,High School,9,92,32,78,35,97,,,,,67,88,,,,,16,69,,0,0,0.43,0.95,1,0.95,5,0.75,0,,0.41,0,0.72,0,4,1
2015,COAL,COALGATE,COALGATE HS,15I001705,86,9,12,High School,8,86,98,84,124,76,51,47,52,81,325,74,12,75,11,73,23,74,,0,0,0.43,0.95,1,0.95,5,0,1,,0.38,0,0.68,0,4,1
2015,MAYES,ADAIR,ADAIR HS,46I002705,99,9,12,High School,10,99,139,88,188,97,76,57,67,82,470,86,16,75,15,100,31,87,,0,0,0.43,0.95,1,0.95,5,0.92,1,0.91,0.67,1,0.83,1,5,1
2015,OTTAWA,QUAPAW,QUAPAW HS,58I014705,71,9,12,High School,8,71,65,89,88,49,40,23,34,79,227,60,,,,,14,64,,0,0,0.43,0.95,1,0.95,5,0,1,,0.37,0,0.66,0,5,1
2015,TILLMAN,DAVIDSON,DAVIDSON HS,71I009705,62,9,12,High School,9,62,13,85,17,35,0,0,0,0,38,53,,,,,,,,0,0,0.43,0.95,1,0.95,5,0,1,0.8,0.5,1,0.4,0,4,1
