,Year,CountyName,DistrictName,SchoolName,SchoolCode,IndexScore,LetterGrade,DistrictCode,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,SchoolType,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total,3_Math_Advanced,3_Math_Below_Satisfactory,3_Math_Satisfactory,3_Reading_Advanced,3_Reading_Below_Satisfactory,3_Reading_Satisfactory,4_Math_Advanced,4_Math_Below_Satisfactory,4_Math_Satisfactory,4_Reading_Advanced,4_Reading_Below_Satisfactory,4_Reading_Satisfactory,5_Math_Advanced,5_Math_Below_Satisfactory,5_Math_Satisfactory,5_Reading_Advanced,5_Reading_Below_Satisfactory,5_Reading_Satisfactory,5_Science_Advanced,5_Science_Below_Satisfactory,5_Science_Satisfactory,5_SocialStudies_Advanced,5_SocialStudies_Below_Satisfactory,5_SocialStudies_Satisfactory,5_Writing_Advanced,5_Writing_Below_Satisfactory,5_Writing_Satisfactory,Performance_Multiplier,GrowthMultiplier,BottomGrowth_Multiplier,TotalBonusPoints,OveralSchoolGrade,ELA_ExamCounty,ELA_GrowthIndex,Math_ExamCounty,Math_GrowthIndex,Science_ExamCounty,Science_GrowthIndex,SocialStudies_ExamCounty,SocialStudies_GrowthIndex,Writing_ExamCounty,Writing_GrowthIndex,Overall_ExamCounty,Overall_GrowthIndex,ELA_ExamCount_bq,ELA_GrowthIndex_bq,Math_ExamCount_bq,Math_GrowthIndex_bq,OverallExamCount_bq,OverallGrowthIndex_bq,AttendenceRate,LowPerfm_Grade8,LowPerfm_Grade8_Bonus,CollegeEntranceExam_Performance,CollegeEntranceExam_Bonus,EOIPerformanceRate,EOIPerformanceRate_Bonus,AchievedGrowthTarget,AchievedGrowthTarget_Bonus,LetterGradeGroup
1185,2016,LINCOLN,CHANDLER,EAST SIDE ES,41I001110,83.0,B,41I001,10.88383831609003,10.37399574196996,0.08,0.17,0.35,0.588,0.15,0.73,0.12,362.0,16.76,10.685802450179077,0.289,16.74,1.0,0.1,0.99,1.0,Elementary School,0.0414,0.0249,0.0,0.0138,0.0,0.674,0.2459,362,,0.2788771358828316,0.49999267697314886,0.029019293257514213,0.20329406986190088,0.7676866368805849,0.2171435303844564,0.24946258784621742,0.5333938817693262,0.037106853839801814,0.24202725020644097,0.7208658959537572,0.24825590277777781,0.2532595486111111,0.4984845486111112,0.09248153446033809,0.23993931512787167,0.6675791504117902,0.12334265217391305,0.40135652173913045,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375,0.03363265839320706,0.47536903984323975,0.4909983017635532,50.0,25.0,25.0,10.0,85.0,258.0,85.0,258.0,83.0,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,516.0,84.0,64.0,59.0,64.0,55.0,128.0,57.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
1186,2016,LINCOLN,CHANDLER,PARK ROAD ES,41I001120,83.0,B,41I001,10.88383831609003,10.37399574196996,0.08,0.17,0.35,0.485,0.15,0.73,0.12,357.0,20.0,10.67521367768325,0.17,16.24,2.0,0.1,1.0,1.0,Elementary School,0.028,0.0476,0.0,0.028,0.0,0.6022,0.2941,357,0.0806,0.38,0.5394,0.0088,0.12,0.8712,0.168,0.2,0.632,0.0243,0.19,0.7857,0.264,0.12,0.616,0.1479,0.13,0.7221,0.0812,0.42,0.4988,0.2624,0.18,0.5576,0.03363265839320706,0.47536903984323975,0.4909983017635532,50.0,25.0,25.0,10.0,85.0,258.0,85.0,258.0,83.0,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,516.0,84.0,64.0,59.0,64.0,55.0,128.0,57.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B
1187,2016,LOGAN,GUTHRIE,CENTRAL ES,42I001130,77.0,C+,42I001,11.047713696399743,10.579054858653452,0.06,0.14,0.31,0.688,0.22,0.67,0.1,272.0,13.99,10.644412003509396,0.07200000000000001,9.5,3.5,0.33,1.08,1.0,Elementary School,0.1471,0.0074,0.0037,0.0625,0.0037,0.636,0.1397,272,,0.2788771358828316,0.49999267697314886,0.029019293257514213,0.20329406986190088,0.7676866368805849,0.2171435303844564,0.24946258784621742,0.5333938817693262,0.037106853839801814,0.24202725020644097,0.7208658959537572,0.24825590277777781,0.2532595486111111,0.4984845486111112,0.09248153446033809,0.23993931512787167,0.6675791504117902,0.12334265217391305,0.40135652173913045,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375,0.03363265839320706,0.47536903984323975,0.4909983017635532,50.0,25.0,25.0,10.0,76.0,696.0,74.0,699.0,82.0,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,1395.0,78.0,172.0,53.0,173.0,59.0,345.0,56.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
1188,2016,LOGAN,GUTHRIE,COTTERAL ES,42I001120,77.0,C+,42I001,11.047713696399743,10.579054858653452,0.06,0.14,0.31,0.605,0.22,0.67,0.1,423.0,18.5,10.610451096058858,0.18899999999999997,8.59,2.43,0.33,1.58,1.0,Elementary School,0.1111,0.0142,0.0,0.0686,0.0,0.6525,0.1537,423,,0.2788771358828316,0.49999267697314886,0.029019293257514213,0.20329406986190088,0.7676866368805849,0.2171435303844564,0.24946258784621742,0.5333938817693262,0.037106853839801814,0.24202725020644097,0.7208658959537572,0.24825590277777781,0.2532595486111111,0.4984845486111112,0.09248153446033809,0.23993931512787167,0.6675791504117902,0.12334265217391305,0.40135652173913045,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375,0.03363265839320706,0.47536903984323975,0.4909983017635532,50.0,25.0,25.0,10.0,76.0,696.0,74.0,699.0,82.0,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,1395.0,78.0,172.0,53.0,173.0,59.0,345.0,56.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
1189,2016,LOGAN,GUTHRIE,FOGARTY ES,42I001110,77.0,C+,42I001,11.047713696399743,10.579054858653452,0.06,0.14,0.31,0.688,0.22,0.67,0.1,571.0,26.97,10.647127494642696,0.44799999999999995,10.35,3.5,0.33,2.08,1.93,Elementary School,0.1296,0.0175,0.0053,0.0648,0.0,0.6357,0.1471,571,0.1342,0.39,0.4758,0.0201,0.33,0.6499,0.2171435303844564,0.24946258784621742,0.5333938817693262,0.037106853839801814,0.24202725020644097,0.7208658959537572,0.24825590277777781,0.2532595486111111,0.4984845486111112,0.09248153446033809,0.23993931512787167,0.6675791504117902,0.12334265217391305,0.40135652173913045,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375,0.03363265839320706,0.47536903984323975,0.4909983017635532,50.0,25.0,25.0,10.0,76.0,696.0,74.0,699.0,82.0,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,1395.0,78.0,172.0,53.0,173.0,59.0,345.0,56.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
1190,2016,LOGAN,GUTHRIE,GUTHRIE UPPER ES,42I001125,77.0,C+,42I001,11.047713696399743,10.579054858653452,0.06,0.14,0.31,0.652,0.22,0.67,0.1,765.0,35.28,10.671496813695676,0.34,14.42,5.96,1.0,2.05,2.0,Elementary School,0.1386,0.0301,0.0026,0.081,0.0,0.634,0.1137,765,,0.2788771358828316,0.49999267697314886,0.029019293257514213,0.20329406986190088,0.7676866368805849,0.2835,0.19,0.5265,0.0468,0.22,0.7332,0.3696,0.12,0.5104,0.0486,0.19,0.7614,0.0924,0.34,0.5676,0.2584,0.24,0.5016,0.03363265839320706,0.47536903984323975,0.4909983017635532,50.0,25.0,25.0,10.0,76.0,696.0,74.0,699.0,82.0,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,1395.0,78.0,172.0,53.0,173.0,59.0,345.0,56.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
1191,2016,LOVE,MARIETTA,MARIETTA ES,43I016105,72.0,C-,43I016,10.88390903492071,10.239269908387174,0.05,0.16,0.32,0.815,0.13,0.7,0.17,535.0,30.86,10.630406009619648,0.125,11.17,2.0,1.0,1.33,2.0,Elementary School,0.4056,0.0598,0.0,0.0112,0.0,0.4318,0.0916,535,0.042,0.58,0.37799999999999995,0.0,0.27,0.73,0.063,0.37,0.5670000000000001,0.0,0.35,0.65,0.4232,0.08,0.4968,0.0656,0.18,0.7544,0.1452,0.34,0.5148,0.32,0.2,0.48,0.03363265839320706,0.47536903984323975,0.4909983017635532,50.0,25.0,25.0,10.0,78.0,134.0,66.0,135.0,79.0,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,269.0,72.0,33.0,52.0,33.0,58.0,66.0,55.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
1192,2016,MAYES,CHOUTEAU-MAZIE,CHOUTEAU-MAZIE EC CTR,46I032115,74.0,C,46I032,10.84277326171099,10.964496100046832,0.06,0.27,0.32,0.7290000000000001,0.16,0.68,0.16,225.0,16.17,10.664473972738957,0.09300000000000001,12.12,1.0,0.0,2.14,1.0,Elementary School,0.0578,0.2133,0.0,0.0,0.0044,0.5156,0.2089,225,,0.2788771358828316,0.49999267697314886,0.029019293257514213,0.20329406986190088,0.7676866368805849,0.2171435303844564,0.24946258784621742,0.5333938817693262,0.037106853839801814,0.24202725020644097,0.7208658959537572,0.24825590277777781,0.2532595486111111,0.4984845486111112,0.09248153446033809,0.23993931512787167,0.6675791504117902,0.12334265217391305,0.40135652173913045,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375,0.03363265839320706,0.47536903984323975,0.4909983017635532,50.0,25.0,25.0,10.0,73.0,121.0,69.0,121.0,79.0,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,242.0,74.0,29.0,45.0,29.0,59.0,58.0,52.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
1193,2016,MAYES,LOCUST GROVE,LOCUST GROVE EARLY LRNING CTR,46I017105,66.0,D,46I017,10.753915153030462,9.99524689010077,0.09,0.2,0.23,1.0,0.12,0.73,0.15,315.0,16.7,10.618001088112921,0.0,11.32,1.71,1.0,3.71,1.57,Elementary School,0.0,0.4095,0.0,0.0,0.0,0.3778,0.2127,315,,0.2788771358828316,0.49999267697314886,0.029019293257514213,0.20329406986190088,0.7676866368805849,0.2171435303844564,0.24946258784621742,0.5333938817693262,0.037106853839801814,0.24202725020644097,0.7208658959537572,0.24825590277777781,0.2532595486111111,0.4984845486111112,0.09248153446033809,0.23993931512787167,0.6675791504117902,0.12334265217391305,0.40135652173913045,0.47530082608695656,0.38837873263888884,0.2189626736111111,0.39265859375,0.03363265839320706,0.47536903984323975,0.4909983017635532,50.0,25.0,25.0,10.0,68.0,199.0,65.0,199.0,64.0,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,398.0,65.0,49.0,41.0,49.0,37.0,98.0,39.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
1194,2016,MAYES,LOCUST GROVE,LOCUST GROVE UPPER ES,46I017110,66.0,D,46I017,10.753915153030462,9.99524689010077,0.09,0.2,0.23,1.0,0.12,0.73,0.15,424.0,21.0,10.65755836902686,0.23800000000000002,13.6,3.29,0.5,3.29,1.5,Elementary School,0.0,0.4552,0.0047,0.0024,0.0,0.3561,0.1816,424,0.1975,0.21,0.5925,0.0,0.19,0.81,0.0912,0.24,0.6688,0.0152,0.24,0.7448,0.231,0.23,0.539,0.152,0.24,0.608,0.0616,0.44,0.4984,0.2993,0.27,0.4307,0.03363265839320706,0.47536903984323975,0.4909983017635532,50.0,25.0,25.0,10.0,68.0,199.0,65.0,199.0,64.0,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,398.0,65.0,49.0,41.0,49.0,37.0,98.0,39.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D
1195,2016,MAYES,PRYOR,JEFFERSON ES,46I001110,76.0,C,46I001,10.89619158297024,11.969173163745662,0.07,0.23,0.31,0.705,0.21,0.68,0.12,305.0,17.53,10.738744786065734,0.183,9.44,1.0,1.0,1.53,1.3,Elementary School,0.0918,0.3279,0.0098,0.0197,0.0,0.5082,0.0426,305,0.1001,0.23,0.6699,0.0,0.23,0.77,0.0469,0.33,0.6231,0.0,0.2,0.8,0.4641,0.09,0.4459,0.1034,0.06,0.8366,0.1078,0.23,0.6622,0.4988,0.14,0.3612,0.03363265839320706,0.47536903984323975,0.4909983017635532,50.0,25.0,25.0,10.0,80.0,129.0,78.0,128.0,80.0,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,257.0,79.0,32.0,38.0,32.0,41.0,64.0,39.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
1196,2016,MAYES,PRYOR,LINCOLN ES,46I001105,76.0,C,46I001,10.89619158297024,11.969173163745662,0.07,0.23,0.31,0.632,0.21,0.68,0.12,782.0,39.04,10.79434785469979,0.193,14.83,5.0,0.8,2.53,3.8,Elementary School,0.078,0.4079,0.0153,0.0128,0.0,0.4143,0.0716,782,0.1072,0.33,0.5628,0.0267,0.11,0.8633,0.0936,0.28,0.6264,0.0435,0.13,0.8265,0.1584,0.34,0.5016,0.039,0.22,0.741,0.046,0.54,0.414,0.1071,0.37,0.5229,0.03363265839320706,0.47536903984323975,0.4909983017635532,50.0,25.0,25.0,10.0,91.0,172.0,79.0,172.0,78.0,59.513950892857146,47.8125,58.119382964453386,63.83165660630449,0.01026694045174538,0.09240246406570841,344.0,78.0,42.0,45.0,42.0,43.0,84.0,44.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
