RecordNumber,YR,SchoolCode,DistrictCode,Site,ReadingRemediation,PTConfAttendence,AvgDaysAbsent,Mobility,SuspRatioLess10,SuspRatioGreat10,AvgVolunteerHrs,FRL,SpecialEd
,2015,64I001705,64I001,RATTAN HIGH SCHOOL,0,0.64,7.7999,0.05303,33,,0.49242,0.4773,0.1818
,2015,64I010105,64I010,CRAIN ELEMENTARY,0.5395,0.85,5.9675,0.22564,,,0,0.9611,0.2944
,2015,64I010705,64I010,CLAYTON HIGH SCHOOL,0,0.47,9.1726,0.17172,16.66667,100,0,0.81,0.35
,2015,64I013105,64I013,BRANTLY ELEMENTARY,0.3123,0.95,9.0278,0.02191,538,,1.05019,0.7788,0.1822
,2015,64I013510,64I013,OBUCH MIDDLE SCHOOL,0,0.77,12.0588,0.09292,32,112,0,0.692,0.2679
,2015,64I013705,64I013,ANTLERS HIGH SCHOOL,0,0.62,9.0693,0.10976,37.57143,,2.6616,0.5817,0.1863
,2015,64I022105,64I022,MOYERS ELEMENTARY,0.1385,0.73,8.3063,0.07831,52.66667,,0.79114,0.8797,0.3291
,2015,64I022705,64I022,MOYERS HIGH SCHOOL,0,0.33,10.5149,0.22222,18.66667,,1.78571,0.8571,0.1964
,2015,65I003105,65I003,LEEDEY ELEMENTARY,0.2069,0.95,7.7812,0.0069,157,,7.64331,0.3503,0.1783
,2015,65I003705,65I003,LEEDEY HIGH SCHOOL,0,0.75,7.5172,0.04762,15.5,,7.25806,0.3226,0.1452
,2015,65I006105,65I006,REYDON ELEMENTARY,0.4444,0.95,8.586,0.07407,115,,5.34783,0.5043,0.2
,2015,65I006705,65I006,REYDON HIGH SCHOOL,0,0.8,6.3845,0.17857,,,6.53846,0.5385,0.0385
,2015,65I007105,65I007,CHEYENNE ELEMENTARY,0.2713,0.954,7.8622,0.09541,,,1.14685,0.3636,0.1503
,2015,65I007705,65I007,CHEYENNE HIGH SCHOOL,0,0.3,8.2631,0.06173,13.16667,26.33333,0.31646,0.2025,0.1392
,2015,65I015105,65I015,SWEETWATER ELEMENTARY,0.2292,0.9,8.2154,0.09709,34,,0.29412,0.8235,0.1471
,2015,65I015705,65I015,SWEETWATER HIGH SCHOOL,0,0.5,9.823,0.13793,29,,1.03448,0.931,0.2069
,2015,65I066105,65I066,HAMMON ELEMENTARY,0.1429,0.94,11.5275,0.09179,104,,0.04808,0.601,0.0913
,2015,65I066705,65I066,HAMMON HIGH SCHOOL,0,0.838,12.0958,0.03636,3.93333,,0,0.3051,0.1864
,2015,66C009105,66C009,JUSTUS-TIAWAH ELEMENTARY,0.203,0.8,9.0282,0.10236,164.66667,,2.76923,0.3421,0.1134
,2015,66I001105,66I001,CLAREMONT ELEMENTARY,0.5017,0.85,9.8427,0.17886,28.17647,,3.00626,0.7829,0.1754
,2015,66I001110,66I001,ROOSA ELEMENTARY,0.3067,0.92,9.3614,0.07925,103,,8.67536,0.5388,0.1189
,2015,66I001115,66I001,WESTSIDE ELEMENTARY,0.3571,0.93,9.4959,0.14098,17.2,,0.96844,0.6312,0.1213
,2015,66I001135,66I001,CATALAYAH ELEMENTARY,0.373,0.86,9.2464,0.16429,136,,2.92892,0.5417,0.0882
,2015,66I001610,66I001,WILL ROGERS JR HIGH SCHOOL,0,0.56,7.9127,0.03148,10.55128,58.78571,0.0243,0.5784,0.1652
,2015,66I001705,66I001,CLAREMORE HIGH SCHOOL,0,0.95,12.1046,0.06067,6.75862,98,0.20117,0.5,0.1771
,2015,66I002105,66I002,J. W. SAM ELEMENTARY,0.5411,0.973,8.0175,0.10032,15.8,,6.00949,0.7025,0.1361
,2015,66I002110,66I002,CHEROKEE ELEMENTARY,0,0.91,10.8061,0.08772,16.27778,,3.92491,0.8123,0.2423
,2015,66I002115,66I002,HELEN PAUL LEARNING CTR,0.4657,0.82,13.0374,0.11343,,,4.12946,0.8281,0.058
,2015,66I002510,66I002,WELLS MIDDLE SCHOOL,0,0.68,10.7646,0.07968,22.77273,125.25,1.52096,0.6667,0.1856
,2015,66I002705,66I002,CATOOSA HIGH SCHOOL,0,0.68,13.998,0.10998,28.47619,74.75,1.46488,0.4766,0.1656
,2015,66I003110,66I003,ART GOAD ELEMENTARY SCHOOL,0.4895,0.95,12.3457,0.14437,17.76923,,0.8658,0.7835,0.2165
,2015,66I003510,66I003,CHELSEA MIDDLE SCHOOL,0,0.82,8.284,0.07937,15.5,62,0.65591,0.7204,0.2258
,2015,66I003705,66I003,CHELSEA HIGH SCHOOL,0,0.2,10.9019,0.07037,67.5,90,0.37037,0.6333,0.2111
,2015,66I004105,66I004,OOLOGAH-TALALA LOWER ELEMENTARY,0.3247,0.92,10.5975,0.11064,19.36,484,3.78409,0.5021,0.124
,2015,66I004205,66I004,OOLOGAH-TALALA UPPER ELEMENTARY,0.3247,0.87,8.4804,0.07123,49.42857,,1.7052,0.4422,0.1416
,2015,66I004505,66I004,OOLOGAH-TALALA MIDDLE SCHOOL,0,0.6,10.2926,0.10502,17.29167,207.5,0.33735,0.4627,0.1325
,2015,66I004705,66I004,OOLOGAH-TALALA HIGH SCHOOL,0,0.38,8.6783,0.11168,64.55556,193.66667,0,0.3838,0.1222
,2015,66I005105,66I005,INOLA ELEMENTARY,0.3236,0.95,10.1614,0.07206,,,0.34483,0.569,0.1672
,2015,66I005515,66I005,INOLA MIDDLE SCHOOL,0,0.7,6.2454,0.06813,22.88235,77.8,2.44216,0.5219,0.1774
,2015,66I005715,66I005,INOLA HIGH SCHOOL,0,0.35,8.0001,0.03263,42.3,52.875,0.1773,0.3995,0.182
,2015,66I006105,66I006,SEQUOYAH ELEMENTARY,0.2475,0.85,7.6938,0.05977,63.5,,1.01102,0.4567,0.1402
,2015,66I006510,66I006,SEQUOYAH MIDDLE SCHOOL,0,0.5,7.1674,0.03754,22.84615,,3.367,0.404,0.1582
,2015,66I006705,66I006,SEQUOYAH HIGH SCHOOL,0,0.18,8.6526,0.01878,29.53333,55.375,0.00903,0.3341,0.1264
,2015,66I007105,66I007,FOYIL ELEMENTARY,0.2807,0.74,10.0827,0.09938,30.63636,,0.14837,0.7982,0.1632
,2015,66I007610,66I007,FOYIL JR HIGH SCHOOL,0,0.33,11.0254,0.1203,128,128,0.3125,0.7266,0.2344
,2015,66I007705,66I007,FOYIL HIGH SCHOOL,0,0.52,11.7882,0.04301,,,0.37383,0.7103,0.1682
,2015,66I008105,66I008,VERDIGRIS ELEMENTARY,0.3839,1,8.4978,0.07342,197.5,,1.26392,0.2987,0.1342
,2015,66I008305,66I008,VERDIGRIS UPPER ELEMENTARY,0,0.5,7.5424,0.03873,32.44444,292,0.24658,0.2603,0.2466
,2015,66I008615,66I008,VERDIGRIS JR HIGH SCHOOL,0,0.62,8.3655,0.05351,298,,1.04362,0.1879,0.1141
,2015,66I008705,66I008,VERDIGRIS HIGH SCHOOL,0,0.98,11.3818,0.01107,28.1,,0.21352,0.1779,0.1744
,2015,67C054105,67C054,JUSTICE ELEMENTARY,0.3684,0.64,6.536,0.07059,,,1.32584,0.9101,0.2528
,2015,67I001105,67I001,WILSON ELEMENTARY,0.3804,0.87,13.9277,0.14884,114.83333,,1.2061,0.7533,0.1771
