,Year,SchoolCode,SchoolName,IndexScore,AvgIncome,AvgPropValADM,Unemployment,PovertyRate,SingleParentFam,FRL,College,HighSchool,BelowHS,FallEnrollment,NonSpEdTeachers,AvgTeacherSalary,AdvancedDegrees,AvgYrsExperience,SpEdTeachersFTE,CounselorsFTE,OtherStaffFTE,AdministratorsFTE,Hispanic%,NativeAmerican%,Asian%,AfricanAmerican%,PacificIslander%,White%,TwoRaces%,Total,EOI_Algebra_Advanced,EOI_Algebra_Below_Satisfactory,EOI_Algebra_Satisfactory,EOI_AlgebraII_Advanced,EOI_AlgebraII_Below_Satisfactory,EOI_AlgebraII_Satisfactory,EOI_Biology_Advanced,EOI_Biology_Below_Satisfactory,EOI_Biology_Satisfactory,EOI_EnglishII_Advanced,EOI_EnglishII_Below_Satisfactory,EOI_EnglishII_Satisfactory,EOI_EnglishIII_Advanced,EOI_EnglishIII_Below_Satisfactory,EOI_EnglishIII_Satisfactory,EOI_Geometry_Advanced,EOI_Geometry_Below_Satisfactory,EOI_Geometry_Satisfactory,EOI_USHistory_Advanced,EOI_USHistory_Below_Satisfactory,EOI_USHistory_Satisfactory
360,2015,51I003705,FORT GIBSON HS,84,68951.18,68437.13,0.07,0.14,0.33,0.39399999999999996,0.26,0.69,0.05,632,35.97,48079.69,0.298,16.18,4.5,2.0,1.0,2.0,0.0459,0.48100000000000004,0.0047,0.0174,0.0,0.4367,0.0142,632.0,0.0144,0.28,0.7056,0.57,0.05,0.38,0.12,0.4,0.48,0.2457,0.09,0.6643,0.3168,0.04,0.6432,0.2904,0.12,0.5896,0.441,0.1,0.45899999999999996
361,2014,26I002715,MINCO HS,93,57644.0,79662.0,0.06,0.09,0.2,0.43,0.13,0.76,0.11,172,12.34,42012.31,0.08199999999999999,17.77,1.0,0.33,0.0,1.0,0.0698,0.0291,0.0,0.0,0.0,0.843,0.0581,172.0,0.54,0.0,0.46,0.4048,0.08,0.5152,0.0081,0.73,0.2619,0.1513,0.11,0.7387,0.285,0.05,0.665,0.485,0.03,0.485,0.531,0.1,0.369
362,2016,58I001715,WYANDOTTE HS,76,51609.96,24384.62,0.09,0.18,0.27,0.615,0.15,0.68,0.17,247,17.85,44809.79,0.248,11.1,1.29,0.43,0.62,1.0,0.0283,0.4251,0.0121,0.0081,0.0,0.4615,0.0648,247.0,0.07,0.3,0.63,0.0608,0.24,0.6992,0.0224,0.72,0.2576,0.0142,0.29,0.6958,0.1827,0.13,0.6873,0.2418,0.07,0.6882,0.0649,0.41,0.5251
363,2015,55I088705,BETHANY HS,92,46863.8,8282.11,0.05,0.21,0.18,0.331,0.32,0.57,0.12,516,28.91,45451.71,0.369,11.57,2.86,2.1,1.83,2.04,0.1357,0.0504,0.0174,0.0329,0.0039,0.6667,0.09300000000000001,516.0,0.2523,0.13,0.6177,0.3496,0.08,0.5704,0.126,0.4,0.474,0.4074,0.03,0.5626,0.5,0.0,0.5,0.4641,0.09,0.4459,0.5115,0.07,0.4185
364,2015,64I001705,RATTAN HS,92,48494.75,12839.33,0.14,0.18,0.39,0.47700000000000004,0.15,0.73,0.13,132,10.54,51616.08,0.136,18.9,0.45,0.21,0.51,0.5,0.0227,0.4318,0.0,0.0,0.0,0.5227,0.0227,132.0,0.46,0.08,0.46,0.1953,0.07,0.7347,0.0798,0.43,0.4902,0.247,0.05,0.703,0.17,0.0,0.83,0.4224,0.04,0.5376,0.1014,0.22,0.6786
365,2014,39I003705,BUFFALO VALLEY HS,91,54674.0,31511.0,0.05,0.1,0.31,0.72,0.16,0.71,0.13,60,4.92,45076.36,0.318,11.95,0.43,0.07,0.14,0.43,0.0167,0.4833,0.0,0.0167,0.0,0.45,0.0333,60.0,0.0949,0.27,0.6351,0.0,0.33,0.67,0.0,0.67,0.33,0.0,0.33,0.67,0.0528,0.12,0.8272,0.75,0.0,0.25,0.146,0.27,0.584
366,2015,67I014705,STROTHER HS,85,69572.84,38797.36,0.05,0.15,0.13,0.642,0.15,0.74,0.11,120,5.81,50158.52,0.026000000000000002,10.48,0.0,0.5,0.18,0.5,0.075,0.3083,0.0,0.0,0.0,0.6167,0.0,120.0,0.1896,0.21,0.6004,0.0616,0.44,0.4984,0.0231,0.67,0.3069,0.1204,0.14,0.7396,0.2728,0.12,0.6072,,,,0.1575,0.37,0.4725
367,2015,66I004705,OOLOGAH-TALALA HS,90,79565.83,70171.22,0.06,0.07,0.22,0.384,0.25,0.68,0.07,581,31.0,44146.4,0.172,11.34,2.8,1.33,1.0,2.59,0.0327,0.3133,0.0361,0.0069,0.0,0.5577,0.0534,581.0,0.0711,0.21,0.7189,0.4032,0.04,0.5568,0.1628,0.26,0.5772,0.2304,0.04,0.7296,0.3069,0.01,0.6831,0.376,0.06,0.564,0.4004,0.09,0.5096
368,2016,35I020705,TISHOMINGO HS,79,46330.95,30707.33,0.08,0.23,0.55,0.6679999999999999,0.15,0.68,0.17,250,22.57,42673.98,0.5,14.68,1.0,1.0,2.02,1.0,0.052000000000000005,0.34,0.0,0.016,0.0,0.524,0.068,250.0,0.258,0.14,0.602,0.2184,0.16,0.6216,0.2368,0.26,0.5032,0.2002,0.09,0.7098,0.1222,0.06,0.8178,0.3344,0.12,0.5456,0.1863,0.31,0.5037
369,2014,59I006705,CLEVELAND HS,78,56843.0,27194.0,0.09,0.12,0.34,0.56,0.16,0.7,0.14,501,28.82,44554.08,0.159,11.35,2.92,1.3,1.37,2.0,0.0279,0.1317,0.008,0.008,0.0,0.7764,0.0479,501.0,0.11900000000000001,0.3,0.581,0.1846,0.29,0.5254,0.1197,0.43,0.4503,0.1134,0.19,0.6966,0.18600000000000003,0.07,0.7440000000000001,0.22399999999999998,0.2,0.5760000000000001,0.3276,0.16,0.5124
